,Contestant,Season,Team
169,Regina Love,9,Team Gwen
170,Darius Scott,9,Team Pharrell
171,Nadjah Nicole,9,Team Blake
172,Laith Al-Saadi,10,Team Adam
173,Hannah Huston,10,Team Pharrell
174,Alisan Porter,10,Team Christina
175,Adam Wakefield,10,Team Blake
176,Shalyah Fearing,10,Team Adam
177,Daniel Passino,10,Team Pharrell
178,Bryan Bautista,10,Team Christina
179,Mary Sarah,10,Team Blake
180,Owen Danoff,10,Team Adam
181,Emily Keener,10,Team Pharrell
182,Nick Hagelin,10,Team Christina
183,Paxton Ingram,10,Team Blake
184,Caroline Burns,10,Team Adam
185,Lacy Mandigo,10,Team Pharrell
186,Ryan Quinn,10,Team Christina
187,Katie Basden,10,Team Blake
188,Nate Butler,10,Team Adam
189,Moushumi,10,Team Pharrell
190,Kata Hay,10,Team Christina
191,Joe Maye,10,Team Blake
192,Brian Nhira,10,Team Adam
193,Caity Peters,10,Team Pharrell
194,Tamar Davis,10,Team Christina
195,Justin Whisnant,10,Team Blake
196,Billy Gilman,11,Team Adam
197,Ali Caldwell,11,Team Miley
198,Wé McDonald,11,Team Alicia
199,Sundance Head,11,Team Blake
200,Josh Gallagher,11,Team Adam
201,Aaron Gibson,11,Team Miley
202,Christian Cuevas,11,Team Alicia
203,Austin Allsup,11,Team Blake
204,Brendan Fletcher,11,Team Adam
205,Darby Walker,11,Team Miley
206,Sa'Rayah,11,Team Alicia
207,Courtney Harrell,11,Team Blake
208,Riley Elmore,11,Team Adam
209,Sophia Urista,11,Team Miley
210,Kylie Rothfield,11,Team Alicia
211,Dana Harper,11,Team Blake
212,Simone Gundy,11,Team Adam
213,Belle Jewel,11,Team Miley
214,Josh Halverson,11,Team Alicia
215,Jason Warrior,11,Team Blake
216,Jesse Larson,12,Team Adam
217,Brennley Brown,12,Team Gwen
218,Chris Blue,12,Team Alicia
219,Lauren Duski,12,Team Blake
220,Mark Isaiah,12,Team Adam
221,Hunter Plake,12,Team Gwen
222,Vanessa Ferguson,12,Team Alicia
223,Aliyah Moulden,12,Team Blake
224,Lilli Passero,12,Team Adam
225,Troy Ramey,12,Team Gwen
226,Stephanie Rice,12,Team Alicia
227,TSoul,12,Team Blake
228,Hanna Eyre,12,Team Adam
229,Johnny Gates,12,Team Gwen
230,Jack Cassidy,12,Team Alicia
231,Casi Joy,12,Team Blake
232,Johnny Hayes,12,Team Adam
233,JChosen,12,Team Gwen
234,Ashley Levin,12,Team Alicia
235,Aaliyah Rose,12,Team Blake
236,Josh West,12,Team Adam
237,Quizz Swanigan,12,Team Gwen
238,Anatalia Villaranda,12,Team Alicia
239,Felicia Temple,12,Team Blake
240,Addison Agen,13,Team Adam
241,Brooke Simpson,13,Team Miley
242,Noah Mac,13,Team Jennifer
243,Chloe Kohanski,13,Team Blake
244,Adam Cunningham,13,Team Adam
245,Ashland Craft,13,Team Miley
246,Davon Fleming,13,Team Jennifer
247,Red Marlow,13,Team Blake
248,Jon Mero,13,Team Adam
249,Janice Freeman,13,Team Miley
250,Shi'Ann Jones,13,Team Jennifer
251,Keisha Renee,13,Team Blake
