,Unnamed: 0,Contestant,Season,Team,Total Sales
139,139,Corey Kent White,8,Team Blake,25
140,140,Tonya Boyd-Cannon,8,Team Adam,0
141,141,Caitlin Caporale,8,Team Pharrell,0
142,142,Lexi DÃ¡vila,8,Team Christina,0
143,143,Brooke Adee,8,Team Blake,6
144,144,Nathan Hermida,8,Team Adam,2
145,145,Lowell Oakley,8,Team Pharrell,0
146,146,Sonic,8,Team Christina,17
147,147,Sarah Potenza,8,Team Blake,9
148,148,Jordan Smith,9,Team Adam,1300
149,149,Jeffery Austin,9,Team Gwen,224
150,150,Madi Davis,9,Team Pharrell,165
151,151,Emily Ann Roberts,9,Team Blake,376
152,152,Shelby Brown,9,Team Adam,68
153,153,Braiden Sunshine,9,Team Gwen,60
154,154,Evan McKeel,9,Team Pharrell,24
155,155,Barrett Baber,9,Team Blake,219
156,156,Amy Vachal,9,Team Adam,243
157,157,Korin Bukowski,9,Team Gwen,36
158,158,Mark Hood,9,Team Pharrell,18
159,159,Zach Seabaugh,9,Team Blake,76
160,160,Blaine Mitchell,9,Team Adam,13
161,161,Viktor KirÃ¡ly,9,Team Gwen,10
162,162,Celeste Betton,9,Team Pharrell,18
163,163,Ivonne Acero,9,Team Blake,7
164,164,Chance PeÃ±a,9,Team Adam,36
165,165,Ellie Lawrence,9,Team Gwen,54
166,166,Riley Biederer,9,Team Pharrell,5
167,167,Morgan Frazier,9,Team Blake,14
168,168,Keith Semple,9,Team Adam,7
169,169,Regina Love,9,Team Gwen,14
170,170,Darius Scott,9,Team Pharrell,5
171,171,Nadjah Nicole,9,Team Blake,1
172,172,Laith Al-Saadi,10,Team Adam,211
173,173,Hannah Huston,10,Team Pharrell,207
174,174,Alisan Porter,10,Team Christina,361
175,175,Adam Wakefield,10,Team Blake,295
176,176,Shalyah Fearing,10,Team Adam,50
177,177,Daniel Passino,10,Team Pharrell,15
178,178,Bryan Bautista,10,Team Christina,82
179,179,Mary Sarah,10,Team Blake,104
180,180,Owen Danoff,10,Team Adam,29
181,181,Emily Keener,10,Team Pharrell,21
182,182,Nick Hagelin,10,Team Christina,30
183,183,Paxton Ingram,10,Team Blake,56
184,184,Caroline Burns,10,Team Adam,4
185,185,Lacy Mandigo,10,Team Pharrell,6
186,186,Ryan Quinn,10,Team Christina,10
187,187,Katie Basden,10,Team Blake,7
188,188,Nate Butler,10,Team Adam,1
189,189,Moushumi,10,Team Pharrell,1
190,190,Kata Hay,10,Team Christina,4
191,191,Joe Maye,10,Team Blake,5
192,192,Brian Nhira,10,Team Adam,4
193,193,Caity Peters,10,Team Pharrell,6
194,194,Tamar Davis,10,Team Christina,2
195,195,Justin Whisnant,10,Team Blake,3
196,196,Billy Gilman,11,Team Adam,231
197,197,Ali Caldwell,11,Team Miley,29
198,198,WÃ© McDonald,11,Team Alicia,104
199,199,Sundance Head,11,Team Blake,292
200,200,Josh Gallagher,11,Team Adam,86
201,201,Aaron Gibson,11,Team Miley,20
202,202,Christian Cuevas,11,Team Alicia,67
203,203,Austin Allsup,11,Team Blake,12
204,204,Brendan Fletcher,11,Team Adam,57
205,205,Darby Walker,11,Team Miley,14
206,206,Sa'Rayah,11,Team Alicia,5
207,207,Courtney Harrell,11,Team Blake,6
208,208,Riley Elmore,11,Team Adam,2
209,209,Sophia Urista,11,Team Miley,0
210,210,Kylie Rothfield,11,Team Alicia,6
211,211,Dana Harper,11,Team Blake,0
212,212,Simone Gundy,11,Team Adam,0
213,213,Belle Jewel,11,Team Miley,0
214,214,Josh Halverson,11,Team Alicia,22
215,215,Jason Warrior,11,Team Blake,10
216,216,Jesse Larson,12,Team Adam,84
217,217,Brennley Brown,12,Team Gwen,57
218,218,Chris Blue,12,Team Alicia,179
219,219,Lauren Duski,12,Team Blake,287
220,220,Mark Isaiah,12,Team Adam,7
221,221,Hunter Plake,12,Team Gwen,115
222,222,Vanessa Ferguson,12,Team Alicia,38
223,223,Aliyah Moulden,12,Team Blake,70
224,224,Lilli Passero,12,Team Adam,3
225,225,Troy Ramey,12,Team Gwen,2
226,226,Stephanie Rice,12,Team Alicia,7
227,227,TSoul,12,Team Blake,7
228,228,Hanna Eyre,12,Team Adam,0
229,229,Johnny Gates,12,Team Gwen,2
230,230,Jack Cassidy,12,Team Alicia,13
231,231,Casi Joy,12,Team Blake,3
232,232,Johnny Hayes,12,Team Adam,0
233,233,JChosen,12,Team Gwen,2
234,234,Ashley Levin,12,Team Alicia,0
235,235,Aaliyah Rose,12,Team Blake,0
236,236,Josh West,12,Team Adam,2
237,237,Quizz Swanigan,12,Team Gwen,0
238,238,Anatalia Villaranda,12,Team Alicia,0
239,239,Felicia Temple,12,Team Blake,0
240,240,Addison Agen,13,Team Adam,1
241,241,Brooke Simpson,13,Team Miley,1
242,242,Davon Fleming,13,Team Jennifer,0
243,243,Chloe Kohanski,13,Team Blake,0
244,244,Adam Cunningham,13,Team Adam,0
245,245,Ashland Craft,13,Team Miley,1
246,246,Noah Mac,13,Team Jennifer,0
247,247,Red Marlow,13,Team Blake,0
248,248,Jon Mero,13,Team Adam,0
249,249,Janice Freeman,13,Team Miley,0
250,250,Shi'Ann Jones,13,Team Jennifer,0
251,251,Keisha Renee,13,Team Blake,0
