,name,Top 100,end,change
0,Ed Sheeran - Shape of You,42.0,194k,+69%
1,ZAYN & Taylor Swift - I Don't Wanna Live Forever,71.0,144k,+32%
2,Bruno Mars - That's What I Like,32.0,83k,+310%
3,Kygo & Selena Gomez - It Ain't Me,1.0,14k,
4,Katy Perry - Chained to the Rhythm,7.0,109k,
5,Lady Gaga - Million Reasons,130.0,91k,-37%
6,Sam Hunt - Body Like a Back Road,16.0,59k,-25%
7,Maroon 5 - Cold,3.0,27k,
8,The Weeknd - I Feel It Coming,91.0,53k,+61%
9,James Arthur - Say You Won't Let Go,111.0,38k,+18%
10,Bruno Mars - 24K Magic,133.0,47k,+45%
11,Migos - Bad and Boujee,98.0,40k,-3%
12,The Chainsmokers - Paris,35.0,41k,+2%
13,KYLE - iSpy,47.0,35k,+40%
14,Marian Hill - Down,34.0,37k,+4%
15,Shawn Mendes - Mercy,124.0,38k,+19%
16,Rihanna - Love on the Brain,129.0,34k,+8%
17,Keith Urban - The Fighter,22.0,45k,
18,Clean Bandit - Rockabye,47.0,32k,+8%
19,DJ Khaled - Shining,4.0,24k,
20,Rae Sremmurd - Black Beatles,147.0,26k,+49%
21,Nick Jonas & Nicki Minaj - Bom Bidi Bom,7.0,43k,
22,Machine Gun Kelly & Camila Cabello - Bad Things,117.0,32k,-7%
23,Jon Bellion - All Time Low,140.0,29k,+1%
24,Julia Michaels - Issues,30.0,26k,+35%
25,NAV - Some Way,2.0,8k,
26,Amine - Caroline,164.0,27k,+2%
27,Big Sean - Bounce Back,100.0,25k,-17%
28,Sia - Helium,7.0,36k,
29,The Chainsmokers - Closer,203.0,32k,+34%
30,Drake - Fake Love,116.0,23k,-3%
31,Little Big Town - Better Man,117.0,24k,+11%
32,The Weeknd - Starboy,148.0,25k,+14%
33,Train - Play That Song,119.0,22k,-9%
34,Brett Young - In Case You Didn't Know,96.0,21k,+42%
35,Bebe Rexha - I Got You,46.0,19k,+46%
36,Justin Timberlake - CAN'T STOP THE FEELING,287.0,24k,+22%
37,Post Malone - Congratulations,30.0,18k,+17%
38,Niall Horan - This Town,141.0,21k,-5%
39,Jon Pardi - Dirt on My Boots,134.0,19k,+1%
40,Hey Violet - Guys My Age,52.0,20k,+5%
41,Imagine Dragons - Believer,17.0,19k,-59%
42,LINKIN PARK & Kiiara - Heavy,1.0,3k,
43,Chris Young - Sober Saturday Night,13.0,14k,+136%
44,Adele - Hello,236.0,21k,+174%
45,Fitz & The Tantrums - HandClap,255.0,18k,-15%
46,Kelsea Ballerini - Peter Pan,217.0,14k,+276%
47,Keith Urban - Blue Ain't Your Color,189.0,18k,+0%
48,Lukas Graham - 7 Years,302.0,26k,+271%
49,Maren Morris - My Church,218.0,25k,+330%
50,Noah Cyrus - Make Me,79.0,18k,-31%
51,Ed Sheeran - Castle on the Hill,42.0,19k,+58%
52,Adele - Water Under the Bridge,115.0,16k,+13%
53,Maroon 5 - Don't Wanna Know,128.0,15k,-13%
54,Alessia Cara - Scars To Your Beautiful,163.0,16k,-34%
55,Rae Sremmurd - Swang,17.0,11k,+95%
56,twenty one pilots - Heathens,245.0,16k,+25%
57,Halsey - Not Afraid Anymore,16.0,16k,+408%
58,Kaleo - Way Down We Go,80.0,15k,-9%
59,DJ Snake - Let Me Love You,196.0,14k,-6%
60,Beyoncé - Formation,198.0,14k,+72%
61,Ariana Grande - Side To Side,178.0,14k,-6%
62,Migos - T-Shirt,35.0,12k,+4%
63,Michael Ray - Think a Little Less,65.0,12k,+3%
64,twenty one pilots - Stressed Out,492.0,17k,+149%
65,Kard - Don't Recall,1.0,2k,
66,Little Big Town - Girl Crush,328.0,12k,+110%
67,John Legend - Love Me Now,119.0,14k,-12%
68,Corinne Bailey Rae - The Scientist,7.0,15k,
69,Ed Sheeran - Thinking Out Loud,498.0,10k,+80%
70,D.R.A.M. - Broccoli,250.0,12k,-3%
71,Zac Brown Band - My Old Man,14.0,12k,-67%
72,Adele - Send My Love,253.0,12k,+69%
73,Juicy J - Ain't Nothing,7.0,12k,
74,Ayo Teo - Rolex,5.0,9k,+54%
75,Dierks Bentley - Black,40.0,10k,+10%
76,Luke Combs - Hurricane,23.0,9k,+16%
77,Luke Bryan - Fast,19.0,9k,+9%
78,Thomas Rhett - Star of the Show,139.0,9k,+8%
79,Disturbed - The Sound of Silence,396.0,9k,-4%
80,Jason Aldean - Any Ol' Barstool,25.0,8k,+9%
81,Anna Kendrick & Justin Timberlake - True Colors,42.0,11k,+91%
82,Calum Scott - Dancing On My Own,44.0,9k,-0%
83,Sia - The Greatest,163.0,10k,-13%
84,Starley - Call on Me,13.0,9k,+11%
85,Travis Scott - goosebumps,26.0,8k,+11%
86,Dustin Lynch - Seein' Red,50.0,9k,+8%
87,Miranda Lambert - We Should Be Friends,9.0,9k,+147%
88,Beyoncé - Hold Up,160.0,9k,+70%
89,Big Sean - No Favors,13.0,10k,-76%
90,Erika Jayne - Xxpen$ive,3.0,6k,
