,name,Top 100,end,change
0,Wiz Khalifa - See You Again,55,288k,-9%
1,WALK THE MOON - Shut Up and Dance,145,140k,-0%
2,Jason Derulo - Want to Want Me,55,117k,+13%
3,Fetty Wap - Trap Queen,102,106k,-1%
4,"Andy Grammer - Honey, I'm Good.",103,104k,+45%
5,T-Wayne - Nasty Freestyle,27,106k,+33%
6,David Guetta - Hey Mama,48,93k,+7%
7,Mark Ronson - Uptown Funk,175,88k,-11%
8,Maroon 5 - Sugar,111,84k,-12%
9,Flo Rida - GDFR,187,81k,-5%
10,The Weeknd - Earned It,126,82k,-13%
11,Little Big Town - Girl Crush,108,80k,-28%
12,Fifth Harmony - Worth It,72,61k,+31%
13,Meghan Trainor - Dear Future Husband,190,64k,+10%
14,Tove Lo - Talking Body,88,62k,-3%
15,Ellie Goulding - Love Me Like You Do,116,60k,-14%
16,Rachel Platten - Fight Song,33,54k,+45%
17,Nick Jonas - Chains,102,59k,-15%
18,Natalie La Rose - Somebody,98,56k,-8%
19,Ed Sheeran - Thinking Out Loud,217,55k,-13%
20,Blake Shelton - Sangria,25,58k,+43%
21,DJ Snake & AlunaGeorge - You Know You Like It,44,48k,+16%
22,Skrillex & Diplo - Where ...,51,42k,+5%
23,Sam Hunt - Take Your Time,164,45k,-25%
24,Tori Kelly - Nobody Love,68,42k,+46%
25,Sam Smith - Lay Me Down,92,45k,-14%
26,Sheppard - Geronimo,143,35k,+10%
27,X Ambassadors - Renegades,29,34k,+14%
28,George Ezra - Budapest,82,35k,-2%
29,Zac Brown Band - Homegrown,112,41k,+3%
30,Taylor Swift - Style,189,37k,-14%
31,Echosmith - Bright,51,33k,-1%
32,Rihanna - Bitch Better Have My Money,39,37k,-14%
33,Rihanna and Kanye West and Paul McCartney - FourFi...,99,31k,-27%
34,Omi - Cheerleader,13,25k,+39%
35,Silento - Watch Me,22,26k,+29%
36,Florida Georgia Line - Sippin' On Fire,59,30k,-21%
37,Eric Church - Like a Wrecking Ball,61,29k,+7%
38,Omarion - Post To Be,82,30k,-2%
39,Ariana Grande - One Last Time,79,27k,-15%
40,Pitbull & Ne-Yo - Time of Our Lives,153,25k,-16%
41,Taylor Swift - Shake It Off,259,25k,-5%
42,Nicki Minaj - Truffle Butter,102,25k,-19%
43,A Thousand Horses - Smoke,72,24k,-1%
44,Billy Currington - Don't It,56,23k,+7%
45,Sia - Elastic Heart,130,24k,-1%
46,Trey Songz - Slow Motion,72,25k,+0%
47,Taylor Swift - Blank Space,189,22k,-12%
48,twenty one pilots - Stressed Out,6,32k,
49,Mumford & Sons - Believe,56,20k,-9%
50,Fall Out Boy - Centuries,241,20k,-10%
51,Major Lazer - Lean On,20,20k,+23%
52,Rae Sremmurd - Throw Sum Mo,122,22k,-13%
53,Nate Ruess - Nothing Without Love,26,23k,-22%
54,Fall Out Boy - Uma Thurman,61,18k,+12%
55,Ben E. King - Stand By Me,3,14k,
56,Canaan Smith - Love You Like That,48,20k,+2%
57,Hozier - Take Me to Church,277,20k,-18%
58,Zedd - I Want You to Know,70,20k,-12%
59,Kelly Clarkson - Heartbeat Song,112,19k,-13%
60,Meghan Trainor - Lips Are Movin,195,18k,-6%
61,LunchMoney Lewis - Bills,53,18k,-21%
62,Lee Brice - Drinking Class,209,19k,+11%
63,Vance Joy - Riptide,323,18k,-17%
