,name,Top 100,end,change
0,Taylor Swift - Blank Space,49,258k,-1%
1,Hozier - Take Me to Church,137,201k,+30%
2,Mark Ronson - Uptown Funk,35,172k,+13%
3,Meghan Trainor - Lips Are Movin,55,121k,+6%
4,Ed Sheeran - Thinking Out Loud,77,137k,+129%
5,Taylor Swift - Shake It Off,119,80k,-1%
6,Sam Smith - I'm Not the Only One,100,83k,-9%
7,Meghan Trainor - All About That Bass,161,74k,-5%
8,James Newton Howard - The Hanging Tree,21,87k,-47%
9,Selena Gomez - The Heart Wants What It Wants,39,74k,-6%
10,Nick Jonas - Jealous,98,74k,-27%
11,Nicki Minaj - Only,47,60k,+24%
12,Big Sean - I Don't Fuck With You,85,64k,+3%
13,Maroon 5 - Animals,113,57k,-8%
14,Ariana Grande & The Weeknd - Love Me Harder,71,57k,+3%
15,Fall Out Boy - Centuries,101,51k,-3%
16,Mr. Probz - Waves,124,49k,-2%
17,I LOVE MAKONNEN - Tuesday,91,50k,-6%
18,Iggy Azalea - Beg For It,52,49k,-6%
19,"Jessie J, Ariana Grande & Nicki Minaj - Bang Bang",139,45k,-1%
20,Ed Sheeran - Don't,185,46k,+8%
21,Taylor Swift - Style,49,50k,+231%
22,"Pentatonix - Mary, Did You Know",28,41k,-13%
23,Vance Joy - Riptide,183,36k,-0%
24,Mariah Carey - All I Want For Christmas Is You,54,37k,+0%
25,Beyoncé - 7/11,21,37k,-14%
26,Tove Lo - Habits,191,33k,-12%
27,Fergie - L.A.LOVE,76,33k,-18%
28,Carrie Underwood - Something in the Water,77,35k,+27%
29,Calvin Harris - Blame,99,31k,+3%
30,Rae Sremmurd - No Type,77,30k,-3%
31,Blake Shelton - Lonely Tonight,22,41k,+133%
32,Alesso - Heroes,86,29k,+6%
33,O.T. Genasis - CoCo,25,34k,+8%
34,Jason Derulo - Trumpets,208,31k,-16%
35,Sam Smith - Stay With Me,262,32k,-12%
36,Usher - I Don't Mind,23,33k,-10%
37,Milky Chance - Stolen Dance,158,29k,+5%
38,Ella Henderson - Ghost,50,31k,+2%
39,DJ Snake & Lil Jon - Turn Down For What,355,24k,+18%
40,Tim McGraw - Shotgun Rider,90,27k,-6%
41,One Direction - Night Changes,31,25k,-3%
42,Imagine Dragons - I Bet My Life,49,25k,-2%
43,Nicki Minaj - Bed of Lies,28,25k,+4%
44,The White Buffalo & The Forest Rangers - Come Join...,5,38k,
45,OneRepublic - I Lived,32,23k,+18%
46,Ed Sheeran - Make It Rain,13,62k,-40%
47,Nicki Minaj - Anaconda,126,19k,-3%
48,Iggy Azalea - Black Widow,163,20k,-7%
49,Jeremih - Don't Tell 'Em,178,21k,-8%
50,Florida Georgia Line - Sun Daze,75,21k,-1%
51,Flo Rida - GDFR,47,20k,+14%
52,Ariana Grande - Santa Tell Me,20,16k,-3%
53,Pitbull - Fireball,142,20k,-16%
54,Meghan Trainor - Dear Future Husband,96,18k,-0%
55,Charli XCX - Break the Rules,9,16k,+24%
56,Nicki Minaj - All Things Go,12,20k,-15%
57,RaeLynn - God Made Girls,41,22k,-33%
58,David Guetta - Dangerous,69,21k,-19%
59,Eric Church - Talladega,61,19k,+2%
60,Chris Brown - New Flame,132,17k,+9%
61,Clean Bandit - Rather Be,24,19k,-5%
62,Echosmith - Cool Kids,165,19k,-21%
63,Luke Bryan - I See You,17,20k,+10%
64,Taylor Swift - Bad Blood,49,16k,+0%
65,Bobby Shmurda - Hot N*gga,130,17k,-1%
66,Lorde - Yellow Flicker Beat,34,17k,-46%
67,Sam Hunt - Take Your Time,29,20k,+7%
68,Charli XCX - Boom Clap,165,13k,+35%
69,Idina Menzel - Let It Go,340,17k,-10%
70,Jason Aldean - Burnin' It Down,146,16k,+0%
71,Sia - Chandelier,224,17k,+2%
72,Pitbull & Ne-Yo - Time of Our Lives,15,14k,+6%
73,J. Cole - Wet Dreamz,6,25k,
74,Jessie J - Burnin' Up,39,16k,-8%
75,Lee Brice - Drinking Class,71,17k,-10%
76,Taylor Swift - Wildest Dreams,49,16k,+7%
77,Jason Aldean - Just Gettin' Started,23,17k,+6%
78,Hoodie Allen - All About It,3,12k,+33%
79,Drake - 0 To 100 / The Catch Up,142,16k,+16%
80,Nicki Minaj - Pills N Potions,103,11k,+17%
81,Colbie Caillat - Try,138,15k,-9%
82,Iggy Azalea - Fancy,254,13k,+21%
83,Maddie & Tae - Girl In a Country Song,134,13k,+1%
84,One Direction - Steal My Girl,74,14k,-23%
85,Sam Smith - Have Yourself a Merry Little Christmas,9,24k,+117%
86,Sam Hunt - Leave the Night On,179,14k,+0%
87,Kevin Ross - This Is My Wish,12,16k,-15%
88,Ariana Grande - Break Free,159,15k,+10%
89,Meghan Trainor - Title,51,13k,-3%
90,WALK THE MOON - Shut Up and Dance,19,15k,-12%
91,Rich Gang - Lifestyle,131,14k,-6%
92,Beyoncé - Flawless Remix,21,15k,-35%
93,Thomas Rhett - Make Me Wanna,22,14k,+0%
94,Idina Menzel - Baby It's Cold Outside,18,14k,-14%
95,Pharrell Williams - Happy,333,13k,+8%
96,Robin Schulz & LILLYWOOD - Prayer in C,7,13k,+7%
97,Brad Paisley - Perfect Storm,77,13k,-6%
98,Brett Eldredge - Mean To Me,13,13k,+7%
99,Sheppard - Geronimo,25,15k,-40%
100,Craig Wayne Boyd - The Old Rugged Cross,6,63k,
101,Nico & Vinz - In Your Arms,44,12k,-5%
102,Ariana Grande - Problem,187,12k,+23%
