,name,Top 100,end,change
0,Ed Sheeran - Thinking Out Loud,133,269k,+21%
1,Mark Ronson - Uptown Funk,91,320k,-11%
2,Rihanna and Kanye West and Paul McCartney - FourFi...,15,181k,+23%
3,Hozier - Take Me to Church,193,134k,+17%
4,Sam Smith - Stay With Me,318,81k,+96%
5,Maroon 5 - Sugar,27,164k,+8%
6,Ellie Goulding - Love Me Like You Do,32,112k,+9%
7,Sam Smith - I'm Not the Only One,156,76k,+22%
8,Taylor Swift - Style,105,91k,+27%
9,Taylor Swift - Blank Space,105,86k,-11%
10,Meghan Trainor - Lips Are Movin,111,83k,-7%
11,Taylor Swift - Shake It Off,175,67k,+0%
12,Pitbull & Ne-Yo - Time of Our Lives,69,79k,-4%
13,Fall Out Boy - Centuries,157,71k,-19%
14,The Weeknd - Earned It,42,69k,+26%
15,Meghan Trainor - All About That Bass,217,51k,-4%
16,Usher - I Don't Mind,79,57k,+5%
17,Kelly Clarkson - Heartbeat Song,28,56k,+118%
18,Nicki Minaj - Truffle Butter,18,64k,-7%
19,Sia - Chandelier,277,30k,+44%
20,Maroon 5 - My Heart Is Open,6,22k,
21,Louisa Wendorff - Blank Space Style,1,15k,
22,Kanye West - Only One,24,25k,+42%
23,Ella Henderson - Ghost,106,49k,-11%
24,John Legend - All of Me,443,33k,+113%
25,Flo Rida - GDFR,103,49k,-9%
26,Ed Sheeran - Don't,241,31k,+16%
27,Sam Hunt - Take Your Time,80,47k,+4%
28,Imagine Dragons - Shots,9,25k,-67%
29,Nick Jonas - Jealous,154,42k,-22%
30,Pharrell Williams - Happy,372,22k,+51%
31,Ne-Yo - She Knows,48,45k,-7%
32,Fifth Harmony - Sledgehammer,58,43k,+14%
33,Prince Royce - Stuck On a Feeling,33,37k,-0%
34,Big Sean - Blessings,9,55k,+371%
35,James Newton Howard - The Hanging Tree,77,39k,-36%
36,Katy Perry - By the Grace of God,6,15k,
37,Maroon 5 - Animals,169,31k,-6%
38,Vance Joy - Riptide,239,35k,-7%
39,One Direction - Night Changes,87,29k,-0%
40,Nicki Minaj - Only,103,39k,-7%
41,Robin Schulz & LILLYWOOD - Prayer in C,49,37k,+10%
42,Miranda Lambert - Little Red Wagon,1,16k,+99%
43,Imagine Dragons - I Bet My Life,105,29k,-13%
44,Ariana Grande & The Weeknd - Love Me Harder,127,28k,-2%
45,Madonna - Living For Love,6,10k,
46,Selena Gomez - The Heart Wants What It Wants,95,33k,-19%
47,Sia - Elastic Heart,46,31k,-10%
48,Big Sean - I Don't Fuck With You,141,32k,-28%
49,Skylar Grey - I Know You,6,63k,
50,"Jessie J, Ariana Grande & Nicki Minaj - Bang Bang",195,23k,+2%
51,OneRepublic - I Lived,88,28k,-20%
52,Katy Perry - Roar,262,40k,+131%
53,Common & John Legend - Glory,11,10k,+127%
54,Calvin Harris - Outside,42,27k,+9%
55,Natalie La Rose - Somebody,14,27k,+49%
56,Missy Elliott - Work It,8,74k,+298%
57,Chris Brown & Tyga - Ayo,34,28k,+52%
58,Blake Shelton - Lonely Tonight,76,27k,-7%
59,Eric Church - Talladega,117,23k,+1%
60,Nick Jonas - Chains,18,23k,+37%
61,Beyoncé - 7/11,77,25k,+3%
62,Thomas Rhett - Make Me Wanna,63,25k,+2%
63,Vaults - One Last Night,6,52k,
64,WALK THE MOON - Shut Up and Dance,61,24k,+0%
65,Florida Georgia Line - Sun Daze,131,22k,-9%
66,Katy Perry - Dark Horse,388,26k,+60%
67,Zac Brown Band - Homegrown,28,23k,+11%
68,Missy Elliott - Get Ur Freak On,8,69k,+314%
69,Annie Lennox - I Put a Spell On You,1,9k,
70,Luke Bryan - I See You,73,23k,-0%
71,Beyoncé - Drunk in Love,150,19k,+472%
72,Rae Sremmurd - No Type,133,22k,-14%
73,Sia - Salted Wound,10,22k,-63%
74,Ariana Grande - Just a Little Bit of Your Heart,5,8k,
75,Lennon & Maisy - Boom Clap,4,20k,
76,Thomas Rhett - When I Was Your Man,6,26k,
77,Rae Sremmurd - Throw Sum Mo,38,20k,+7%
78,Cole Swindell - Ain't Worth the Whiskey,37,21k,+1%
79,Ed Sheeran - Sing,151,12k,+22%
80,Mr. Probz - Waves,180,19k,-6%
81,Lee Brice - Drinking Class,126,20k,-3%
82,Sheppard - Geronimo,61,20k,+1%
83,Jason Aldean - Burnin' It Down,181,18k,+52%
84,Carrie Underwood - Something in the Water,133,18k,-13%
85,Alesso - Heroes,142,20k,-22%
86,Fetty Wap - Trap Queen,18,19k,+24%
87,Jason Aldean - Just Gettin' Started,78,19k,-2%
88,Coldplay - A Sky Full of Stars,201,14k,+41%
89,Sam Smith - Lay Me Down,8,13k,+56%
90,Iggy Azalea - Fancy,283,13k,+14%
91,Nicki Minaj - Feeling Myself,56,19k,-7%
92,Milky Chance - Stolen Dance,214,18k,-11%
