,name,Top 100,end,change
0,Luis Fonsi & Daddy Yankee - Despacito,74.0,110k,-5%
1,Imagine Dragons - Believer,150.0,89k,+81%
2,DJ Khaled - I'm the One,63.0,62k,-9%
3,DJ Khaled - Wild Thoughts,14.0,60k,-33%
4,Sam Hunt - Body Like a Back Road,149.0,48k,+0%
5,Niall Horan - Slow Hands,57.0,48k,-4%
6,Miley Cyrus - Malibu,49.0,41k,-27%
7,Julia Michaels - Issues,163.0,35k,-8%
8,Selena Gomez - Bad Liar,43.0,35k,-33%
9,The Chainsmokers & Coldplay - Something Just Like ...,128.0,31k,-13%
10,Shawn Mendes - There's Nothing Holdin' Me Back,72.0,31k,-9%
11,Bruno Mars - That's What I Like,165.0,33k,-0%
12,Post Malone - Congratulations,163.0,31k,-10%
13,Halsey - Now Or Never,87.0,31k,-4%
14,Kendrick Lamar - HUMBLE.,91.0,31k,-11%
15,Lady Gaga - The Cure,75.0,27k,+53%
16,Charlie Puth - Attention,70.0,24k,+3%
17,James Arthur - Say You Won't Let Go,244.0,24k,-3%
18,Childish Gambino - Redbone,132.0,25k,-5%
19,Ed Sheeran - Castle on the Hill,175.0,24k,-6%
20,Ed Sheeran - Shape of You,175.0,24k,-8%
21,Imagine Dragons - Thunder,58.0,22k,+97%
22,Liam Payne - Strip That Down,42.0,23k,-2%
23,Luis Fonsi - Despacito,161.0,23k,-1%
24,French Montana - Unforgettable,84.0,20k,+20%
25,Jason Derulo - Swalla,109.0,23k,-13%
26,Zedd & Alessia Cara - Stay,127.0,20k,-12%
27,Brett Young - In Case You Didn't Know,229.0,19k,-6%
28,Drake - Signs,7.0,28k,
29,Kygo & Selena Gomez - It Ain't Me,134.0,19k,-8%
30,Camila Cabello - Crying in the Club,38.0,18k,+39%
31,Billy Currington - Do I Make You Wanna,17.0,13k,+89%
32,Khalid - Location,136.0,17k,+52%
33,Keith Urban - The Fighter,155.0,17k,-8%
34,"Florida Georgia Line - God, Your Mama, And Me",142.0,15k,+15%
35,Auli'i Cravalho - How Far I'll Go,210.0,16k,+27%
36,AJR - Weak,103.0,16k,-5%
37,Calvin Harris - Feels,14.0,12k,-40%
38,Future - Mask Off,130.0,17k,-12%
39,Thomas Rhett - Craving You,91.0,14k,-7%
40,Dustin Lynch - Small Town Boy,99.0,13k,+7%
41,Bruno Mars - 24K Magic,266.0,15k,+9%
42,David Guetta - 2U,21.0,14k,-20%
43,Midland - Drinkin' Problem,66.0,13k,-2%
44,Justin Timberlake - CAN'T STOP THE FEELING,420.0,14k,-3%
45,Lil Uzi Vert - XO TOUR Llif3,98.0,14k,-10%
46,Luke Combs - Hurricane,156.0,12k,-8%
47,Harry Styles - Sign of the Times,84.0,14k,-23%
48,Lady Antebellum - You Look Good,150.0,12k,-8%
49,Cassie - Me & U,4.0,11k,
50,Kane Brown - What Ifs,49.0,11k,+9%
51,Dylan Scott - My Girl,79.0,10k,+11%
52,KYLE - iSpy,180.0,12k,-16%
53,Brothers Osborne - It Ain't My Fault,51.0,10k,+2%
54,Portugal. The Man - Feel It Still,39.0,10k,+0%
55,Kendrick Lamar - LOYALTY.,30.0,11k,+28%
56,Calvin Harris - Slide,126.0,11k,-21%
57,Old Dominion - No Such Thing as a Broken Heart,80.0,9k,+1%
58,Miranda Lambert - Tin Man,88.0,7k,+8%
59,Metro Boomin - No Complaints,6.0,12k,
60,Imagine Dragons - Whatever It Takes,18.0,10k,+132%
61,DJ Khaled & Calvin Harris - Don't Quit,7.0,11k,
62,Faith Evans & Puff Daddy - I'll Be Missing You,4.0,8k,
63,Cheat Codes - No Promises,50.0,11k,-10%
64,Kendrick Lamar - DNA.,77.0,10k,-15%
65,Train - Play That Song,252.0,9k,-9%
66,Jon Pardi - Heartache on the Dance Floor,11.0,8k,+23%
67,Migos - Slippery,37.0,9k,-0%
68,A Boogie Wit da Hoodie - Drowning,75.0,9k,-8%
69,Katy Perry - Swish Swish,42.0,11k,+7%
70,Ayo & Teo - Rolex,99.0,10k,-15%
71,Carly Pearce - Every Little Thing,14.0,8k,+26%
72,Hailee Steinfeld - Most Girls,47.0,8k,-0%
73,Cole Swindell - Flatliner,98.0,9k,-2%
74,DJ Khaled - All I Do Is Win,19.0,7k,+17%
75,Dwayne Johnson - You're Welcome,139.0,8k,+31%
76,Big Sean - I Don't Fuck With You,210.0,8k,+87%
77,Fitz & The Tantrums - HandClap,351.0,8k,+5%
78,Drake - Passionfruit,104.0,8k,-14%
79,Jon Pardi - Dirt on My Boots,266.0,7k,-5%
80,Migos - Bad and Boujee,213.0,7k,+28%
81,The Chainsmokers - Closer,335.0,8k,-10%
82,Rag'n'Bone Man - Human,105.0,8k,+10%
83,Fall Out Boy - Champion,8.0,9k,+249%
84,Florida Georgia Line - H.O.L.Y.,265.0,5k,+16%
85,Kendrick Lamar - LOVE.,69.0,6k,-1%
86,Playboi Carti - Magnolia,17.0,7k,+9%
87,Whitney Houston - I Have Nothing,2.0,2k,
88,Clean Bandit - Rockabye,180.0,7k,-14%
89,Logan Paul - Help Me Help You,40.0,7k,-21%
90,Jake Paul - It's Everyday Bro,28.0,6k,-5%
91,Chris Stapleton - Tennessee Whiskey,362.0,7k,+3%
92,The Revivalists - Wish I Knew You,41.0,6k,-10%
93,Keith Urban - Blue Ain't Your Color,311.0,6k,-4%
94,Luke Combs - When It Rains It Pours,1.0,5k,+0%
95,Brett Eldredge - Somethin' I'm Good At,24.0,6k,-1%
96,Kip Moore - More Girls Like You,4.0,5k,+112%
97,Walker Hayes - You Broke Up with Me,1.0,5k,+12%
98,Brett Young - Mercy,2.0,6k,+6%
99,Logic - 1-800-273-8255,19.0,6k,+6%
100,Darius Rucker - If I Told You,81.0,6k,-16%
101,Bruno Mars - Versace On The Floor,20.0,5k,+24%
102,The Weeknd - The Hills,307.0,6k,+360%
103,Russell Dickerson - Yours,10.0,9k,-46%
104,Future - Pie,3.0,4k,
105,Chris Janson - Fix a Drink,6.0,6k,-8%
106,Blake Shelton - Every Time I Hear That Song,19.0,6k,-0%
107,Chris Brown - Privacy,8.0,5k,+27%
108,Eric Church - Round Here Buzz,2.0,5k,+108%
109,The Chainsmokers - Paris,166.0,6k,-10%
110,Travis Scott - goosebumps,148.0,6k,-8%
111,Mark Ronson - Uptown Funk,594.0,6k,+3%
112,MercyMe - Even If,81.0,5k,-0%
113,Ed Sheeran - Thinking Out Loud,536.0,5k,-9%
114,YFN Lucci - Everyday We Lit,,5k,+13%
115,Lord Huron - The Night We Met,64.0,5k,-0%
116,The Weeknd - I Feel It Coming,217.0,6k,-6%
117,Chris Lane - For Her,15.0,5k,-5%
118,Maroon 5 - She Will Be Loved,9.0,5k,
119,LANco - American Love Story,4.0,5k,+1%
120,Fifth Harmony - Down,10.0,5k,-0%
121,Cardi B - Bodak Yellow,2.0,5k,+89%
122,Chris Stapleton - Either Way,34.0,5k,-8%
123,Rihanna - Love on the Brain,232.0,5k,-12%
124,The Killers - The Man,4.0,4k,-30%
125,Alessia Cara - Scars To Your Beautiful,222.0,5k,-8%
126,Lee Brice - Boy,9.0,3k,+24%
127,Migos - T-Shirt,120.0,5k,+0%
128,Flo Rida - My House,398.0,5k,+11%
129,Gucci Mane - Tone it Down,6.0,6k,+110%
130,Zac Brown Band - My Old Man,79.0,5k,-51%
131,Florida Georgia Line - May We All,192.0,4k,+9%
132,The Notorious B.I.G. - Hypnotize,5.0,6k,+366%
133,Chris Young - Losing Sleep,8.0,4k,+1%
134,Macklemore - Glorious,7.0,1k,-86%
135,Justin Moore - Somebody Else Will,,5k,+12%
136,Maren Morris - I Could Use a Love Song,12.0,4k,+23%
137,Bruno Mars - Perm,9.0,3k,+228%
138,Little Big Town - Better Man,188.0,5k,+31%
139,Ed Sheeran - Perfect,40.0,4k,-0%
140,The Weeknd - Can't Feel My Face,281.0,5k,+280%
141,Yo Gotti - Rake It Up,,4k,
142,Shawn Mendes - Mercy,194.0,5k,-9%
143,Nicki Minaj - Super Bass,,3k,
144,Florida Georgia Line - Cruise,247.0,3k,+48%
145,Ed Sheeran - Galway Girl,52.0,5k,-1%
146,Lady Gaga - Million Reasons,224.0,5k,-4%
147,HAIM - Little of Your Love,1.0,5k,
148,twenty one pilots - Heathens,287.0,4k,+3%
149,SZA - Love Galore,2.0,4k,+72%
150,Rachel Platten - Fight Song,408.0,3k,+15%
151,Grace VanderWaal - Moonlight,3.0,5k,+51%
152,Disturbed - The Sound of Silence,410.0,4k,-6%
153,Alessia Cara - How Far I'll Go,129.0,5k,+24%
154,Dan + Shay - How Not To,,4k,-16%
155,Maroon 5 - Cold,124.0,5k,-18%
156,Clean Bandit - Symphony,1.0,4k,-5%
157,Kodak Black - Tunnel Vision,112.0,5k,-16%
158,LOCASH - Ring on Every Finger,,4k,+13%
159,Drake White - Makin' Me Look Good Again,,3k,+4%
160,Opetaia Foa'i & Lin-Manuel Miranda - We Know the W...,25.0,4k,+57%
161,Flo Rida & 99 Percent - Cake,92.0,5k,-40%
162,Scotty McCreery - Five More Minutes,9.0,3k,-10%
163,Sir Sly - High,,3k,+59%
164,Prince & The Revolution - Purple Rain,35.0,4k,+342%
165,Andra Day - Rise Up,110.0,4k,-13%
166,DJ Khaled - Shining,76.0,5k,+21%
167,The Weeknd - Reminder,11.0,4k,-27%
168,Anna Kendrick & Justin Timberlake - True Colors,61.0,4k,-12%
169,The Chainsmokers - Don't Let Me Down,398.0,4k,-5%
170,Judah & the Lion - Take It All Back,,3k,-6%
171,The Weeknd - Earned It,283.0,3k,
172,2 Chainz - It's a Vibe,6.0,3k,-42%
173,Imagine Dragons - Demons,266.0,4k,+31%
174,Kenny Chesney - All the Pretty Girls,,3k,+22%
175,Rae Sremmurd - Swang,116.0,4k,-0%
176,Russ - Losin Control,3.0,2k,-27%
177,Chris Stapleton - Broken Halos,44.0,3k,+25%
178,ZAYN & Taylor Swift - I Don't Wanna Live Forever,164.0,4k,-9%
179,Trey Songz - Nobody Else But You,7.0,4k,+44%
180,Tee Grizzley - First Day Out,,4k,-0%
181,Rascal Flatts - Yours If You Want It,15.0,3k,+4%
182,Big Sean - Bounce Back,188.0,4k,+17%
183,Jake Paul - Ohio Fried Chicken,4.0,4k,-49%
184,Lil Wayne - Lollipop,,2k,
185,Imagine Dragons - Walking The Wire,9.0,5k,-67%
186,Journey - Don't Stop Believin',,3k,-2%
187,Fitz & The Tantrums - Fool,,4k,
188,Maluma - Felices los 4,,3k,-2%
189,Imagine Dragons - Radioactive,251.0,3k,+27%
190,Thomas Rhett - Die a Happy Man,333.0,3k,-5%
191,Little Big Town - When Someone Stops Loving You,9.0,3k,
192,Prince - When Doves Cry,20.0,3k,
193,Citizen Way - Bulletproof,,2k,+1%
194,Aerosmith - Dream On,1.0,1k,+95%
195,Toby Keith - Wacky Tobaccy,,3k,
196,DJ Khaled - To the Max,11.0,5k,-5%
197,Tauren Wells - Hills and Valleys,,2k,+27%
198,"Christopher Jackson, Rachel House, Nicole Scherzin...",7.0,3k,+50%
199,Easton Corbin - A Girl Like You,1.0,2k,+85%
200,Niall Horan - This Town,162.0,3k,-5%
201,Katy Perry - Chained to the Rhythm,118.0,3k,-29%
202,Khalid - Young Dumb & Broke,,3k,+26%
203,Drake & Future - Jumpman,253.0,2k,+309%
204,Rae Sremmurd - Come Get Her,52.0,2k,
205,Jemaine Clement - Shiny,2.0,3k,+34%
206,BLACKPINK - As If It's Your Last,4.0,6k,+50%
207,AC/DC - Thunderstruck,22.0,3k,-5%
208,Imagine Dragons - Rise Up,,3k,
209,SZA - The Weekend,,2k,+57%
210,Tim McGraw - Humble and Kind,270.0,3k,-18%
211,Nicki Minaj - Only,173.0,2k,+365%
212,2 Chainz - 4 AM,10.0,3k,-40%
213,Lorde - Green Light,69.0,3k,-54%
214,Nicky Jam - El Amante,6.0,2k,+25%
215,The Weeknd - Starboy,220.0,3k,-0%
216,DNCE - Cake By the Ocean,420.0,3k,-43%
217,J. Cole - Neighbors,11.0,2k,+17%
218,Monique Bingham & Black Coffee - Deep in the Botto...,,,
219,Hillsong Worship - What a Beautiful Name,64.0,3k,-4%
220,Dierks Bentley - Black,114.0,3k,-18%
221,New Edition - Can You Stand the Rain,7.0,2k,
222,Shawn Mendes - Treat You Better,240.0,3k,-14%
223,Drake - Best I Ever Had,,2k,
224,Romeo Santos - Imitadora,3.0,5k,
225,Eminem - Lose Yourself,6.0,3k,-6%
226,Bruno Mars & David Guetta - Versace On The Floor,,,
227,Josh Turner - Hometown Girl,67.0,2k,-6%
228,Whitney Houston - I Will Always Love You,,1k,+90%
229,Jonas Blue - Mama,,2k,+47%
230,Tim McGraw & Faith Hill - Speak to a Girl,51.0,3k,-42%
231,Whitney Houston - I Wanna Dance With Somebody,,1k,+47%
232,Sam Hunt - House Party,238.0,2k,+4%
233,Pharrell Williams - Happy,432.0,2k,-9%
234,LINKIN PARK & Kiiara - Heavy,121.0,3k,-34%
235,twenty one pilots - Stressed Out,498.0,2k,+2%
236,Christina Perri - A Thousand Years,12.0,2k,-34%
237,"2Pac, Roger Troutman & Dr. Dre - California Love",1.0,2k,-37%
238,Maroon 5 - This Love,,2k,
239,Owl City - Fireflies,,2k,+45%
240,twenty one pilots - Ride,303.0,2k,+7%
241,Maroon 5 - Don't Wanna Know,177.0,3k,-3%
242,Alan Walker - Faded,10.0,2k,+17%
243,Judah & The Lion - Take It All Back 2.0,,2k,+1%
244,Bishop Briggs - River,71.0,1k,-59%
245,Lecrae - I'll Find You,8.0,3k,-30%
246,Machine Gun Kelly & Camila Cabello - Bad Things,192.0,2k,+0%
247,Tamar Braxton - My Man,3.0,2k,
248,Sam Hunt - Break Up In a Small Town,248.0,2k,+1%
249,Queen - Bohemian Rhapsody,2.0,2k,+4%
250,New Edition - If It Isn't Love,5.0,2k,
251,Drake - Portland,31.0,3k,-7%
252,WALK THE MOON - Shut Up and Dance,397.0,2k,-0%
253,Noah Cyrus - Stay Together,7.0,2k,+41%
254,Imagine Dragons - I Don't Know Why,,3k,
255,Zac Brown Band - Chicken Fried,8.0,2k,-18%
256,Demi Lovato - Cool for the Summer,125.0,1k,
257,The 1975 - Somebody Else,12.0,2k,-1%
258,Marian Hill - Down,114.0,2k,-13%
259,Kendrick Lamar - ELEMENT.,8.0,1k,+16%
260,Darius Rucker - Wagon Wheel,68.0,2k,-25%
261,Martin Garrix & Bebe Rexha - In the Name of Love,161.0,1k,+31%
262,"Drake - Hold On, We're Going Home",161.0,2k,
263,Maroon 5 - Sunday Morning,,1k,
264,Post Malone - Candy Paint,,2k,-1%
265,Wiz Khalifa - See You Again,313.0,2k,+0%
266,Anna Kendrick - Get Back Up Again,,2k,-12%
267,Meek Mill - Whatever You Need,8.0,2k,-21%
268,Lukas Graham - 7 Years,307.0,2k,-7%
269,Miley Cyrus - Party In the U.S.A.,13.0,2k,-34%
270,Prince - Little Red Corvette,18.0,1k,+495%
271,Jason Aldean - They Don't Know,,2k,+7%
272,Jason Aldean - Any Ol' Barstool,91.0,2k,-6%
273,Sam Hunt - Take Your Time,328.0,2k,+3%
