,name,Top 100,end,change
0,Mark Ronson - Uptown Funk,126,190k,-9%
1,Maroon 5 - Sugar,62,178k,+4%
2,Ellie Goulding - Love Me Like You Do,67,152k,-2%
3,Ed Sheeran - Thinking Out Loud,168,136k,-12%
4,Sam Smith - Lay Me Down,43,141k,+442%
5,Rihanna and Kanye West and Paul McCartney - FourFi...,50,126k,-11%
6,Flo Rida - GDFR,138,91k,+9%
7,The Weeknd - Earned It,77,97k,-1%
8,Taylor Swift - Style,140,82k,-4%
9,Nick Jonas - Chains,53,68k,+2%
10,WALK THE MOON - Shut Up and Dance,96,65k,+24%
11,Fetty Wap - Trap Queen,53,67k,+14%
12,Pitbull & Ne-Yo - Time of Our Lives,104,66k,-14%
13,Hozier - Take Me to Church,228,62k,-24%
14,Nicki Minaj - Truffle Butter,53,60k,-3%
15,Mumford & Sons - Believe,7,102k,
16,Natalie La Rose - Somebody,49,57k,+14%
17,Sam Hunt - Take Your Time,115,55k,-2%
18,Taylor Swift - Blank Space,140,48k,-9%
19,Usher - I Don't Mind,114,46k,-5%
20,Fall Out Boy - Centuries,192,44k,-10%
21,Ariana Grande - One Last Time,30,42k,+0%
22,Meghan Trainor - Lips Are Movin,146,41k,-7%
23,Kelly Clarkson - Heartbeat Song,63,46k,-30%
24,Jason Derulo - Want to Want Me,6,51k,
25,Tove Lo - Talking Body,39,36k,+11%
26,Zac Brown Band - Homegrown,63,48k,+26%
27,Sheppard - Geronimo,94,39k,+42%
28,Taylor Swift - Shake It Off,210,36k,-8%
29,Zedd - I Want You to Know,21,41k,-17%
30,"Andy Grammer - Honey, I'm Good.",54,37k,+26%
31,Ne-Yo - She Knows,83,42k,-19%
32,Calvin Harris - Outside,77,33k,-1%
33,James Newton Howard - The Hanging Tree,112,33k,+9%
34,Meghan Trainor - All About That Bass,252,31k,+2%
35,Vance Joy - Riptide,274,30k,-11%
36,Empire Cast - You're So Beautiful,19,42k,-46%
37,Ella Henderson - Ghost,141,31k,-19%
38,Jessie J - Masterpiece,24,33k,+181%
39,Fall Out Boy - Immortals,44,28k,-13%
40,"Idina Menzel, Kristen Bell & The Cast of Frozen - ...",4,19k,
41,Maroon 5 - Animals,204,24k,+5%
42,Kanye West - All Day,13,34k,-75%
43,Drake - Energy,31,28k,-15%
44,Sam Smith - I'm Not the Only One,191,28k,-10%
45,Cole Swindell - Ain't Worth the Whiskey,72,25k,+0%
46,Miranda Lambert - Little Red Wagon,34,24k,+37%
47,Nick Jonas - Jealous,189,26k,-10%
48,One Direction - Night Changes,122,23k,-2%
49,Empire Cast - Conqueror,13,38k,-68%
50,Nicki Minaj - Only,138,25k,-10%
51,Rae Sremmurd - Throw Sum Mo,73,22k,+2%
52,Big Sean - Blessings,44,25k,-19%
