,name,Top 100,end,change
0,Pitbull - Timber,90,301k,-31%
1,Katy Perry - Dark Horse,111,230k,-19%
2,A Great Big World - Say Something,62,238k,-32%
3,OneRepublic - Counting Stars,112,244k,-39%
4,Eminem - The Monster,69,219k,-48%
5,Lorde - Royals,112,189k,-38%
6,Passenger - Let Her Go,112,182k,-32%
7,Katy Perry - Roar,112,159k,-36%
8,One Direction - Story Of My Life,71,162k,-41%
9,Idina Menzel - Let It Go,40,132k,-10%
10,Lorde - Team,111,124k,-19%
11,Avicii - Wake Me Up,112,141k,-24%
12,Imagine Dragons - Demons,112,139k,-52%
13,Bastille - Pompeii,112,113k,-14%
14,Sara Bareilles - Brave,112,71k,-14%
15,Ellie Goulding - Burn,98,104k,-33%
16,Lady Gaga - Do What U Want,77,107k,-5%
17,Miley Cyrus - Wrecking Ball,112,106k,-39%
18,Macklemore & Ryan Lewis - White Walls,95,103k,-36%
19,Beyoncé - Drunk in Love,17,96k,-22%
20,DJ Snake & Lil Jon - Turn Down For What,17,100k,-29%
21,The Neighbourhood - Sweater Weather,112,90k,-45%
22,Imagine Dragons - Radioactive,112,89k,-38%
23,"Kristen Bell, Agatha Lee Monn & Katie Lopez - Do Y...",38,70k,-1%
24,Aloe Blacc - The Man,26,42k,+48%
25,Demi Lovato - Let It Go,42,80k,-26%
26,Mike Will Made-It - 23,109,85k,-49%
27,Robin Thicke - Blurred Lines,112,79k,+12%
28,Katy Perry - Unconditionally,76,80k,-50%
29,Zendaya - Replay,106,71k,-34%
30,Luke Bryan - Drink a Beer,61,68k,-35%
31,Lady Gaga - Applause,112,73k,-38%
32,Capital Cities - Safe and Sound,107,61k,+17%
33,Miley Cyrus - Adore You,36,60k,-6%
34,American Authors - Best Day of My Life,55,60k,-0%
35,Jason Derulo - Talk Dirty,7,46k,+62%
36,Kid Ink - Show Me,63,58k,-13%
37,JAY Z - Holy Grail,112,62k,-39%
38,Luke Bryan - That's My Kind of Night,112,63k,-48%
39,Kristen Bell & Idina Menzel - For the First Time i...,31,48k,-12%
40,Watercolor - Stick Around,1,10k,
41,Florida Georgia Line - Cruise,111,60k,-25%
42,Zedd - Stay the Night,112,58k,-33%
43,Macklemore & Ryan Lewis - Can't Hold Us,89,58k,-17%
44,Fall Out Boy - My Songs Know What You Did In the D...,102,53k,-7%
45,AWOLNATION - Sail,112,56k,-32%
46,Avicii - Hey Brother,43,48k,+7%
47,"Drake - Hold On, We're Going Home",112,57k,-47%
48,Florida Georgia Line - Stay,87,56k,-41%
49,Pharrell Williams - Happy,6,31k,+23%
50,YG - My Nigga,102,57k,-47%
51,Miley Cyrus - We Can't Stop,103,49k,-29%
52,Macklemore & Ryan Lewis - Thrift Shop,47,48k,-5%
53,David Nail - Whatever She's Got,105,49k,-33%
54,Eminem - Rap God,83,47k,-59%
55,John Newman - Love Me Again,51,39k,-20%
56,P!nk - Just Give Me a Reason,58,40k,+15%
57,Jason Derulo - Marry Me,102,51k,-54%
58,Ylvis - The Fox,111,47k,-40%
59,Paramore - Still Into You,108,43k,-43%
60,Cassadee Pope - Wasting All These Tears,112,42k,-43%
61,Justin Timberlake - Mirrors,60,40k,-29%
62,Martin Garrix - Animals,98,47k,-19%
63,Daughtry - Waiting For Superman,51,39k,+15%
64,Jason Aldean - When She Says Baby,41,38k,-29%
65,Bruno Mars - Treasure,73,37k,-24%
66,Cole Swindell - Chillin' It,108,39k,-33%
67,One Direction - Best Song Ever,64,40k,-47%
68,John Legend - All of Me,89,34k,-9%
69,Justin Bieber - All That Matters,40,36k,-47%
70,Josh Gad - In Summer,11,32k,-16%
71,Bruno Mars - When I Was Your Man,20,32k,-9%
72,Daft Punk - Get Lucky,60,37k,-5%
73,Fall Out Boy - Alone Together,39,34k,-38%
74,Eminem - Berzerk,112,40k,-58%
75,Darius Rucker - Wagon Wheel,57,32k,-21%
76,Parmalee - Carolina,103,35k,-44%
77,Sage the Gemini - Gas Pedal,111,42k,-55%
78,Drake - All Me,104,34k,-54%
79,Beyoncé - XO,12,29k,-11%
80,Rihanna - Stay,10,26k,+25%
81,Brantley Gilbert - Bottoms Up,20,31k,-41%
82,The Fray - Love Don't Die,12,25k,+2%
83,Lady Antebellum - Compass,63,31k,-19%
84,Selena Gomez - Slow Down,112,32k,-47%
85,Eminem - Survival,74,35k,-36%
86,B.o.B - HeadBand,95,33k,-47%
87,Blake Shelton - Boys 'Round Here,35,28k,-37%
88,Frankie Ballard - Helluva Life,18,27k,-16%
89,Ed Sheeran - I See Fire,26,26k,-19%
90,Zedd - Clarity,54,26k,-14%
91,Flo Rida - How I Feel,21,22k,-4%
92,Kristen Bell & Santino Fontana - Love Is an Open D...,3,23k,-15%
93,Enrique Iglesias - Heart Attack,48,29k,-37%
94,Dierks Bentley - I Hold On,4,23k,-23%
95,Jerrod Niemann - Drink to That All Night,7,25k,-15%
96,Beyoncé - Mine,17,28k,-45%
97,Zac Brown Band - Sweet Annie,61,25k,-25%
98,Macklemore & Ryan Lewis - Same Love,47,26k,-33%
99,2 Chainz & Wiz Khalifa - We Own It,18,28k,-29%
100,Britney Spears - Work Bitch,93,26k,-12%
101,Dan + Shay - 19 You + Me,7,23k,-18%
102,Jon Pardi - Up All Night,29,26k,-15%
103,Eli Young Band - Drunk Last Night,106,25k,-29%
104,Thomas Rhett - It Goes Like This,101,27k,-45%
105,Christina Perri - Human,10,23k,+80%
106,Demi Lovato - Neon Lights,,23k,-26%
107,Bruno Mars - Locked Out of Heaven,,20k,-13%
108,Luke Bryan - Crash My Party,36,24k,-42%
109,Keith Urban & Miranda Lambert - We Were Us,108,25k,-35%
110,SoMo - Ride,4,23k,-26%
111,Pitbull - Feel This Moment,1,23k,+47%
112,Scotty McCreery - See You Tonight,18,24k,-36%
113,Thomas Rhett - Get Me Some of That,8,22k,-18%
114,New Politics - Harlem,2,23k,-21%
115,Arctic Monkeys - Do I Wanna Know,5,22k,-22%
116,Beyoncé - Partition,5,23k,-19%
117,Beyoncé - Pretty Hurts,8,23k,-39%
118,Eric Church - The Outsiders,68,23k,-37%
119,The Lumineers - Ho Hey,,21k,+17%
120,Sevyn Streeter - It Won't Stop,66,23k,-31%
121,Blake Shelton - Mine Would Be You,90,24k,-32%
122,Ariana Grande - The Way,22,24k,-38%
123,Florida Georgia Line - This Is How We Roll,41,27k,-29%
124,Taylor Swift - I Knew You Were Trouble,,22k,-23%
125,Drake - The Language,17,22k,-41%
126,Imagine Dragons - It's Time,,21k,-35%
127,Britney Spears - Perfume,22,21k,-28%
128,Chris Brown - Love More,94,23k,-46%
129,Eric Paslay - Friday Night,9,21k,-32%
130,Panic! At the Disco - Miss Jackson,14,21k,-21%
131,Justin Timberlake - Suit & Tie,2,21k,-27%
132,Drake - Started from the Bottom,20,22k,-29%
133,Florida Georgia Line - Round Here,54,22k,-32%
134,Anna Kendrick - Cups,49,21k,-22%
135,Lana Del Rey - Summertime Sadness,72,21k,-39%
136,Maroon 5 - Love Somebody,23,21k,-34%
137,Christina Perri - A Thousand Years,6,20k,-25%
138,Selena Gomez - Come & Get It,5,20k,-20%
139,T-Pain - Up Down,11,20k,-23%
140,Jason Aldean - Night Train,66,20k,-42%
141,Hunter Hayes - Everybody's Got Somebody But Me,19,21k,-42%
142,Lana Del Rey - Young and Beautiful,54,12k,-9%
143,JAY Z - Tom Ford,17,20k,-37%
144,Joe Nichols - Sunny and 75,91,20k,-45%
145,Danielle Bradbery - The Heart of Dixie,2,19k,-30%
146,The Band Perry - Don’t Le...,15,19k,-30%
147,"Phillip Phillips - Gone, Gone, Gone",45,20k,-21%
148,MKTO - Classic,,17k,-15%
149,Sara Bareilles - Love Song,,3k,-31%
150,Brett Eldredge - Don't Ya,,19k,-32%
151,Hunter Hayes - I Want Crazy,1,18k,-36%
152,Hillsong United - Oceans,5,14k,+11%
153,Sage the Gemini - Red Nose,5,20k,-49%
154,Beyoncé - ***Flawless,5,18k,-28%
155,Train - Drops of Jupiter,,18k,-28%
156,One Direction - Midnight Memories,15,19k,-52%
157,Karmin - Acapella,4,18k,-36%
158,Alex & Sierra - Say Something,21,19k,-47%
159,Justin Timberlake - TKO,89,21k,-55%
160,Imagine Dragons - On Top of the World,,17k,-27%
161,Ty Dolla $ign - Paranoid,,16k,-3%
162,Juicy J - Bounce It,15,19k,-42%
163,Taylor Swift - Everything Has Changed,67,17k,-33%
164,Fall Out Boy - Thnks Fr Th Mmrs,,17k,-33%
165,Demi Lovato - Heart Attack,,17k,-21%
