,name,Top 100,end,change
0,Niall Horan - Slow Hands,1.0,32k,
1,DJ Khaled - I'm the One,7.0,174k,
2,Luis Fonsi & Daddy Yankee - Despacito,18.0,72k,+10%
3,Bruno Mars - That's What I Like,109.0,66k,-13%
4,Kendrick Lamar - HUMBLE.,35.0,60k,-2%
5,The Chainsmokers & Coldplay - Something Just Like ...,72.0,59k,+3%
6,Imagine Dragons - Believer,94.0,52k,+83%
7,Julia Michaels - Issues,107.0,48k,-6%
8,Sam Hunt - Body Like a Back Road,93.0,53k,-12%
9,Kygo & Selena Gomez - It Ain't Me,78.0,43k,+0%
10,Ed Sheeran - Shape of You,119.0,45k,-15%
11,James Arthur - Say You Won't Let Go,188.0,40k,-9%
12,Zedd & Alessia Cara - Stay,71.0,37k,-13%
13,KYLE - iSpy,124.0,35k,-8%
14,Brett Young - In Case You Didn't Know,173.0,31k,-2%
15,Harry Styles - Sweet Creature,3.0,26k,
16,Halsey - Now Or Never,31.0,27k,+96%
17,Harry Styles - Sign of the Times,28.0,31k,+1%
18,Post Malone - Congratulations,107.0,29k,-14%
19,Luis Fonsi - Despacito,105.0,27k,+31%
20,Future - Mask Off,74.0,27k,-32%
21,Kendrick Lamar - DNA.,21.0,25k,-34%
22,Luke Combs - Hurricane,100.0,23k,+11%
23,Imagine Dragons - Thunder,8.0,29k,+472%
24,Jason Derulo - Swalla,53.0,23k,-6%
25,Flo Rida & 99 Percent - Cake,43.0,23k,-12%
26,The Weeknd - I Feel It Coming,168.0,23k,-20%
27,Kygo & Ellie Goulding - First Time,7.0,26k,
28,Clean Bandit - Rockabye,124.0,23k,-12%
29,Ed Sheeran - Castle on the Hill,119.0,20k,+1%
30,Calvin Harris - Slide,70.0,19k,-4%
31,Lady Gaga - The Cure,19.0,17k,-17%
32,Keith Urban - The Fighter,99.0,23k,-5%
33,LINKIN PARK & Kiiara - Heavy,78.0,20k,-12%
34,Drake - Passionfruit,48.0,20k,-4%
35,Shawn Mendes - There's Nothing Holdin' Me Back,16.0,19k,-53%
36,Lil Uzi Vert - XO TOUR Llif3,42.0,19k,-8%
37,Darius Rucker - If I Told You,28.0,17k,+115%
38,Rag'n'Bone Man - Human,60.0,16k,+91%
39,Thomas Rhett - Craving You,35.0,14k,-2%
40,Machine Gun Kelly - At My Best,31.0,17k,-5%
41,HAIM - Want You Back,1.0,3k,
42,Bruno Mars - 24K Magic,210.0,17k,-9%
43,Halsey - Eyes Closed,1.0,3k,
44,Train - Play That Song,196.0,16k,+10%
45,Childish Gambino - Redbone,76.0,15k,+0%
46,Justin Timberlake - CAN'T STOP THE FEELING,364.0,15k,-4%
47,Auli'i Cravalho - How Far I'll Go,154.0,16k,-28%
48,The Chainsmokers - Paris,112.0,17k,-17%
49,Hailee Steinfeld - Most Girls,7.0,15k,
50,Maroon 5 - Cold,80.0,14k,-17%
51,Khalid - Location,80.0,14k,-14%
52,French Montana - Unforgettable,28.0,11k,+2%
53,Lord Huron - The Night We Met,32.0,14k,-15%
54,"Florida Georgia Line - God, Your Mama, And Me",86.0,14k,-7%
55,G-Eazy & Kehlani - Good Life,30.0,18k,-25%
56,Ayo & Teo - Rolex,43.0,14k,-12%
57,AJR - Weak,48.0,13k,-6%
58,Miranda Lambert - Tin Man,35.0,11k,-12%
59,Marian Hill - Down,111.0,14k,-28%
60,Rihanna - Love on the Brain,206.0,12k,-20%
61,Fall Out Boy - Young and Menace,8.0,18k,+300%
62,Kendrick Lamar - LOVE.,21.0,11k,-19%
63,Jon Pardi - Dirt on My Boots,211.0,12k,-15%
64,ZAYN & Taylor Swift - I Don't Wanna Live Forever,148.0,11k,+4%
65,Charlie Puth - Attention,14.0,11k,-53%
66,A Boogie Wit da Hoodie - Drowning,19.0,11k,+6%
67,Lady Antebellum - You Look Good,95.0,11k,-7%
68,Dylan Scott - My Girl,32.0,10k,-10%
69,Kodak Black - Tunnel Vision,77.0,11k,-13%
70,The Chainsmokers - Closer,280.0,11k,+1%
71,Lauren Duski - Somewhere In My Broken Heart,4.0,20k,
72,Migos - Bad and Boujee,175.0,10k,-8%
73,Portugal. The Man - Feel It Still,1.0,6k,-7%
74,6LACK - Prblms,11.0,8k,-39%
75,Ed Sheeran - Galway Girl,44.0,7k,-9%
76,Lady Gaga - Million Reasons,207.0,10k,-23%
77,MercyMe - Even If,68.0,9k,+5%
78,OneRepublic - No Vacancy,7.0,15k,
79,Cole Swindell - Flatliner,44.0,9k,-2%
