,name,Top 100,end,change
0,Meghan Trainor - NO,21,128k,+31%
1,Lukas Graham - 7 Years,69,124k,-1%
2,Flo Rida - My House,153,88k,-7%
3,Rihanna - Work,58,83k,-12%
4,Fifth Harmony - Work from Home,28,65k,+17%
5,Mike Posner - I Took a Pill In Ibiza,72,63k,-1%
6,Ariana Grande - Dangerous Woman,15,63k,-45%
7,ZAYN - PILLOWTALK,57,61k,-5%
8,Zara Larsson & MNEK - Never Forget You,42,51k,+13%
9,DNCE - Cake By the Ocean,168,52k,+1%
10,twenty one pilots - Stressed Out,213,56k,-13%
11,Justin Bieber - Love Yourself,133,54k,-11%
12,"G-Eazy & Bebe Rexha - Me, Myself & I",147,51k,-3%
13,Charlie Puth - One Call Away,130,50k,-3%
14,DJ Snake - Middle,67,44k,+64%
15,Taylor Swift - New Romantics,40,33k,+9%
16,Troye Sivan - YOUTH,38,35k,-37%
17,Tim McGraw - Humble and Kind,64,34k,+4%
18,Desiigner - Panda,26,29k,+48%
19,The Chainsmokers - Don't Let Me Down,47,29k,+47%
20,James Bay - Let It Go,134,32k,+0%
21,Kevin Gates - 2 Phones,79,29k,+14%
22,Iggy Azalea - Team,7,35k,
23,Maren Morris - My Church,65,30k,-8%
24,Ruth B. - Lost Boy,60,26k,+32%
25,Disturbed - The Sound of Silence,89,30k,+7%
26,Blake Shelton - Came Here to Forget,17,31k,-43%
27,Selena Gomez - Hands To Myself,116,29k,-12%
28,Dierks Bentley - Somewhere on a Beach,66,28k,-0%
29,The Chainsmokers - Roses,176,27k,-14%
30,Justin Bieber - Sorry,154,26k,-12%
31,Cole Swindell - You Should Be Here,102,25k,-3%
32,Thomas Rhett - T-Shirt,32,23k,+15%
33,Chris Young - Think of You,63,22k,+0%
34,Gwen Stefani - Make Me Like You,38,24k,+67%
35,Kelly Clarkson - Piece By Piece,31,22k,-33%
36,Brett Eldredge - Drunk On Your Love,79,21k,-8%
37,Ariana Grande - Be Alright,7,45k,
38,Fifth Harmony - The Life,1,3k,
39,Sia - Cheap Thrills,21,12k,+41%
40,Thomas Rhett - Die a Happy Man,189,21k,-11%
41,Jeremih - Oui,62,16k,+8%
42,Alessia Cara - Wild Things,29,18k,+16%
43,Old Dominion - Snapback,57,19k,-1%
44,Adele - Hello,154,19k,-21%
45,Yo Gotti - Down in the DM,100,18k,-14%
46,Andy Grammer - Good To Be Alive,127,11k,+10%
47,Shakira - Try Everything,21,21k,-24%
48,Future - Low Life,49,16k,+1%
49,ZAYN - BeFoUr,7,15k,+147%
50,Jon Pardi - Head Over Boots,35,15k,+3%
51,Rascal Flatts - I Like the Sound of That,35,15k,+14%
52,Meghan Trainor - Like I'm Gonna Lose You,309,15k,+14%
53,ZAYN - LIKE I WOULD,12,10k,-65%
54,Drake - Summer Sixteen,55,14k,-3%
55,Niykee Heaton - Bad Intentions,7,14k,
56,Kevin Gates - Really Really,91,14k,+26%
57,Rachel Platten - Stand By You,172,15k,-27%
58,Florida Georgia Line - Confession,86,13k,+4%
59,Robin Schulz - Sugar,69,14k,-16%
60,Chris Stapleton - Nobody To Blame,103,13k,-0%
61,Zac Brown Band - Beautiful Drug,138,13k,-9%
62,Shawn Mendes - Stitches,317,14k,-8%
63,Fetty Wap - 679,270,12k,-2%
64,Chris Brown - Back To Sleep,99,12k,-23%
65,Panic! At the Disco - Victorious,45,11k,+34%
66,Daya - Hide Away,210,13k,-13%
67,Andra Day - Rise Up,13,6k,-7%
68,Adele - When We Were Young,126,13k,-20%
69,Drake & Future - Jumpman,186,12k,-15%
70,Dan + Shay - From the Ground Up,24,12k,+25%
71,The Lumineers - Ophelia,48,11k,+5%
72,Zedd & Aloe Blacc - Candyman,27,12k,+7%
73,Dustin Lynch - Mind Reader,37,11k,+2%
74,Coldplay - Adventure of a Lifetime,138,13k,-23%
75,ZAYN - iT's YoU,11,6k,-20%
76,Bryson Tiller - Don't,124,10k,-2%
77,Kane Brown - There Goes My Everything,7,20k,
78,Chris Stapleton - Tennessee Whiskey,139,11k,-11%
79,Mark Ronson - Uptown Funk,482,12k,-6%
80,Rihanna - Needed Me,34,11k,+19%
81,Elle King - Ex's & Oh's,297,12k,-14%
82,Carrie Underwood - Heartbeat,99,12k,-17%
83,Belly - Might Not,16,10k,-12%
84,Dawin - Dessert,108,11k,-4%
85,Jake Owen - American Country Love Song,21,10k,-24%
86,Justin Bieber - What Do You Mean,210,10k,-7%
87,Kid Ink - Promise,13,10k,+2%
88,Sam Hunt - Break Up In a Small Town,240,11k,-12%
89,Fetty Wap - Jimmy Choo,49,11k,-14%
90,Lil Dicky - $ave Dat Money,19,9k,+34%
91,The Weeknd - The Hills,303,11k,-16%
92,Bryson Tiller - Exchange,33,9k,-5%
93,The Weeknd - Acquainted,18,9k,+6%
94,"Luke Bryan - Huntin', Fishin' and Lovin' Every Day",9,8k,+50%
95,X Ambassadors - Unsteady,16,10k,+0%
96,Flume - Never Be Like You,14,8k,-20%
97,Justin Bieber - Company,5,9k,+17%
98,Fat Joe & Remy Ma - All the Way Up,3,7k,+80%
99,twenty one pilots - Ride,7,9k,+0%
100,The Weeknd - In the Night,124,9k,-11%
101,Sia - Chandelier,333,5k,+12%
102,Chris Lane - Fix,6,9k,+2%
103,Rachel Platten - Fight Song,357,10k,-15%
104,Demi Lovato - Confident,167,9k,-4%
105,Lauren Daigle - Trust In You,11,9k,-1%
106,Trent Harmon - Sharp Dressed Man,,1k,
107,Adam Lambert - Welcome to the Show,8,14k,+305%
108,Elle King - America's Sweetheart,2,9k,+2%
109,Drake - Hotline Bling,233,9k,-13%
110,Gwen Stefani - Used to Love You,91,10k,+24%
111,Luke Bryan - Home Alone Tonight,125,9k,-22%
112,Dreezy - Body,10,8k,+9%
113,Maroon 5 - Sugar,294,8k,+23%
114,Sia - Elastic Heart,244,6k,-0%
115,Wiz Khalifa - See You Again,311,9k,-20%
116,Tori Kelly - Hollow,61,10k,-2%
117,Kane Brown - Used to Love You Sober,25,7k,+48%
118,Zendaya - Something New,4,8k,-6%
119,Kygo - Stole the Show,7,8k,+12%
120,Eric Church - Record Year,1,8k,+19%
121,Fetty Wap - Again,214,8k,-8%
122,Post Malone - White Iverson,182,8k,-6%
123,Frankie Ballard - It All Started with a Beer,,8k,+1%
124,A Tribe Called Quest - Check the Rhime,1,2k,
125,"Daya - Sit Still, Look Pretty",,7k,+26%
126,Tory Lanez - Say It,108,8k,-9%
127,Selena Gomez - Same Old Love,188,8k,-8%
128,Alessia Cara - Here,223,8k,-12%
129,Ellie Goulding - Something In the Way You Move,45,8k,-23%
130,Fetty Wap - Trap Queen,387,8k,-7%
