,name,Top 100,end,change
0,Justin Bieber - What Do You Mean,21,130k,-19%
1,The Weeknd - The Hills,114,104k,-9%
2,Taylor Swift - Wildest Dreams,102,83k,-1%
3,Drake - Hotline Bling,49,83k,+29%
4,The Weeknd - Can't Feel My Face,102,80k,-26%
5,Macklemore & Ryan Lewis - Downtown,22,77k,+17%
6,R. City - Locked Away,64,82k,-9%
7,Ellie Goulding - On My Mind,1,12k,
8,Shawn Mendes - Stitches,129,74k,-7%
9,Fetty Wap - RGF Island,2,17k,
10,Fetty Wap - 679,81,59k,-6%
11,Silento - Watch Me,159,74k,-10%
12,Charlie Puth - Marvin Gaye,110,54k,-2%
13,Selena Gomez - Good For You,88,55k,+6%
14,Omi - Cheerleader,150,54k,-3%
15,Rachel Platten - Fight Song,170,45k,-17%
16,Elle King - Ex's & Oh's,108,46k,+12%
17,Selena Gomez - Same Old Love,8,61k,+445%
18,Hailee Steinfeld - Love Myself,39,44k,+4%
19,Luke Bryan - Strip It Down,63,40k,+0%
20,Meghan Trainor - Like I'm Gonna Lose You,120,38k,+3%
21,Ed Sheeran - Photograph,129,38k,-6%
22,One Direction - Drag Me Down,49,40k,-15%
23,Drake - Right Hand,14,29k,+339%
24,Cam - Burning House,78,31k,+2%
25,Demi Lovato - Cool for the Summer,79,34k,-25%
26,"@iHeartMemphis - ""Hit the Quan"" #HTQ",56,37k,-7%
27,X Ambassadors - Renegades,166,32k,+11%
28,Nick Jonas - Levels,28,28k,+20%
29,Fetty Wap - My Way,63,28k,-7%
30,Fetty Wap - Trap Queen,239,27k,-3%
31,Major Lazer - Lean On,156,32k,-23%
32,"Flo Rida - I Don't Like It, I Love It",99,24k,+11%
33,Skrillex & Diplo - Where ...,188,33k,-26%
34,Fall Out Boy - Uma Thurman,198,29k,-13%
35,Fetty Wap - Again,42,24k,-12%
36,Chris Janson - Buy Me a Boat,139,27k,-14%
37,"Keith Urban - John Cougar, John Deere, John 3:16",101,26k,-12%
38,Brett Eldredge - Lose My Mind,108,23k,+16%
39,Calvin Harris & Disciples - How Deep Is Your Love,63,25k,-16%
40,Alessia Cara - Here,50,21k,+1%
41,Thomas Rhett - Crash and Burn,147,24k,-14%
42,"Andy Grammer - Honey, I'm Good.",240,24k,+0%
43,Sam Hunt - House Party,121,26k,-21%
44,Carrie Underwood - Smoke Break,28,21k,+9%
45,Taylor Swift - Bad Blood,212,25k,-19%
46,WALK THE MOON - Shut Up and Dance,282,24k,-21%
47,Drake - Back To Back,49,20k,-14%
48,Old Dominion - Break up with Him,98,17k,-1%
49,Jess Glynne - Hold My Hand,39,18k,+6%
50,Wiz Khalifa - See You Again,192,18k,-6%
51,Eric Church - Like a Wrecking Ball,198,19k,-21%
52,Rich Homie Quan - Flex,142,19k,-9%
53,Little Mix - Black Magic,43,19k,+1%
54,Fifth Harmony - Worth It,209,18k,-10%
55,P!NK - Today's the Day,8,25k,
56,Rachel Platten - Stand By You,7,21k,
57,Ed Sheeran - Thinking Out Loud,354,16k,-10%
58,Daya - Hide Away,21,15k,-7%
59,Chris Young - I'm Comin' Over,129,14k,+2%
60,Jason Derulo - Want to Want Me,192,16k,-9%
61,Florida Georgia Line - Anything Goes,103,14k,-8%
62,Mark Ronson - Uptown Funk,312,16k,-17%
63,Post Malone - White Iverson,15,14k,+22%
64,Luke Bryan - Kick the Dust Up,122,17k,-23%
65,Meek Mill - All Eyes On You,84,15k,-5%
