,name,Top 100,end,change
0,Sia - Cheap Thrills,140.0,120k,+30%
1,Miranda Lambert - Vice,4.0,71k,
2,Justin Timberlake - CAN'T STOP THE FEELING,77.0,87k,-6%
3,Katy Perry - Rise,7.0,138k,
4,Meghan Trainor - Me Too,74.0,63k,-3%
5,Florida Georgia Line - H.O.L.Y.,84.0,64k,+0%
6,Calvin Harris - This Is What You Came For,84.0,69k,+6%
7,Drake - One Dance,108.0,56k,-6%
8,twenty one pilots - Ride,120.0,56k,-7%
9,Adele - Send My Love,116.0,52k,+0%
10,The Chainsmokers - Don't Let Me Down,166.0,48k,-10%
11,"Kelly Clarkson, Chloe & H...",8.0,7k,
12,Shawn Mendes - Treat You Better,50.0,44k,+2%
13,Kent Jones - Don't Mind,87.0,40k,+14%
14,Rihanna - Needed Me,152.0,39k,+0%
15,twenty one pilots - Heathens,35.0,40k,+1%
16,"gnash - i hate u, i love u",86.0,35k,+81%
17,P!NK - Just Like Fire,98.0,40k,-9%
18,Kiiara - Gold,47.0,36k,+10%
19,Flume - Never Be Like You,116.0,35k,+2%
20,Dan + Shay - From the Ground Up,135.0,31k,+65%
21,Andra Day - Rise Up,34.0,15k,+93%
22,Britney Spears - Make Me...,7.0,93k,
23,Drake - Too Good,77.0,31k,+3%
24,Ruth B. - Lost Boy,179.0,35k,-18%
25,D.R.A.M. - Broccoli,40.0,30k,+0%
26,Beyoncé - Sorry,88.0,29k,-3%
27,DJ Khaled - For Free,49.0,29k,+1%
28,Charlie Puth - We Don't Talk Anymore,45.0,30k,-7%
29,Ariana Grande - Into You,77.0,27k,+42%
30,Dierks Bentley - Different for Girls,56.0,24k,+12%
31,Disturbed - The Sound of Silence,208.0,21k,-3%
32,Coldplay - Hymn for the Weekend,38.0,24k,+6%
33,Jason Aldean - A Little More Summertime,7.0,38k,
34,Drake - Controlla,77.0,25k,-4%
35,Desiigner - Panda,145.0,25k,-21%
36,Fifth Harmony - All In My Head,35.0,21k,+8%
37,OneRepublic - Wherever I Go,51.0,24k,+9%
38,DNCE - Toothbrush,38.0,24k,-38%
39,Lukas Graham - 7 Years,188.0,20k,-6%
40,Kelsea Ballerini - Peter Pan,100.0,20k,-11%
41,Mike Posner - I Took a Pill In Ibiza,191.0,22k,-9%
42,Fifth Harmony - Work from Home,147.0,21k,-15%
43,Lukas Graham - Mama Said,10.0,21k,+142%
44,Thomas Rhett - Vacation,52.0,20k,+15%
45,Selena Gomez - Kill Em With Kindness,55.0,22k,+7%
46,X Ambassadors - Unsteady,116.0,21k,-51%
47,Jon Pardi - Head Over Boots,154.0,18k,-6%
48,French Montana - No Shopping,6.0,20k,
49,Jason Aldean - Lights Come On,108.0,21k,+19%
50,Sam Hunt - Make You Miss Me,87.0,17k,-0%
51,"Daya - Sit Still, Look Pretty",75.0,18k,-11%
52,Flo Rida - My House,272.0,19k,-12%
