,name,Top 100,end,change
0,Wiz Khalifa - See You Again,48,320k,-15%
1,WALK THE MOON - Shut Up and Dance,138,141k,-4%
2,Mark Ronson - Uptown Funk,168,100k,-22%
3,Fetty Wap - Trap Queen,95,108k,-6%
4,Jason Derulo - Want to Want Me,48,103k,+6%
5,Maroon 5 - Sugar,104,96k,-11%
6,David Guetta - Hey Mama,41,86k,+15%
7,Twayne - Nasty Freestyle,20,80k,+69%
8,The Weeknd - Earned It,119,95k,-10%
9,Little Big Town - Girl Crush,101,113k,+27%
10,Flo Rida - GDFR,180,86k,-12%
11,"Andy Grammer - Honey, I'm Good.",96,72k,+7%
12,Nick Jonas - Chains,95,70k,-12%
13,Ellie Goulding - Love Me Like You Do,109,70k,-15%
14,Tove Lo - Talking Body,81,65k,+4%
15,Natalie La Rose - Somebody,91,61k,+0%
16,Ed Sheeran - Thinking Out Loud,210,64k,-16%
17,Meghan Trainor - Dear Future Husband,183,58k,+5%
18,Fifth Harmony - Worth It,65,47k,-1%
19,Sam Hunt - Take Your Time,157,61k,+6%
20,Sam Smith - Lay Me Down,85,53k,-2%
21,Taylor Swift - Style,182,44k,-9%
22,DJ Snake & AlunaGeorge - You Know You Like It,37,42k,+24%
23,Rachel Platten - Fight Song,26,37k,+16%
24,Zac Brown Band - Homegrown,105,40k,-3%
25,Rihanna and Kanye West and Paul McCartney - FourFi...,92,43k,-23%
26,Skrillex & Diplo - Where ...,44,40k,-16%
27,Rihanna - Bitch Better Have My Money,32,44k,-13%
28,George Ezra - Budapest,75,36k,-12%
29,Sheppard - Geronimo,136,32k,+13%
30,Blake Shelton - Sangria,18,40k,+70%
31,Echosmith - Bright,44,33k,+8%
32,X Ambassadors - Renegades,22,30k,-5%
33,Nate Ruess - Nothing Without Love,19,30k,+183%
34,Tori Kelly - Nobody Love,61,28k,+32%
35,Florida Georgia Line - Sippin' On Fire,52,38k,+11%
36,Pitbull & Ne-Yo - Time of Our Lives,146,29k,-16%
37,Omarion - Post To Be,75,31k,+1%
38,Ariana Grande - One Last Time,72,31k,-22%
39,Panic! At the Disco - Hallelujah,8,63k,+468%
40,Nicki Minaj - Truffle Butter,95,31k,-20%
41,Taylor Swift - Shake It Off,252,26k,-4%
42,Miranda Lambert - Little Red Wagon,76,37k,+44%
43,Taylor Swift - Blank Space,182,26k,-5%
44,Nashville Cast - Shotgun,5,26k,
45,Eric Church - Like a Wrecking Ball,54,27k,-1%
46,Carly Rae Jepsen - I Really Like You,35,26k,-31%
47,LunchMoney Lewis - Bills,46,23k,-27%
48,Zedd - I Want You to Know,63,23k,-5%
49,Rae Sremmurd - Throw Sum Mo,115,26k,+27%
50,A Thousand Horses - Smoke,65,24k,-3%
51,Hozier - Take Me to Church,270,24k,-21%
52,Fall Out Boy - Centuries,234,23k,-15%
53,Sia - Elastic Heart,123,24k,-9%
54,Trey Songz - Slow Motion,65,25k,+4%
55,Silento - Watch Me,15,20k,+12%
56,Kelly Clarkson - Heartbeat Song,105,22k,-21%
57,Vance Joy - Riptide,316,22k,-25%
58,Dillon Francis & DJ Snake - Get Low,32,21k,-22%
59,Mumford & Sons - Believe,49,22k,-25%
60,Billy Currington - Don't It,49,21k,+3%
61,Meghan Trainor - Lips Are Movin,188,19k,-7%
62,Meghan Trainor - All About That Bass,294,18k,-5%
63,Omi - Cheerleader,6,18k,+47%
64,Canaan Smith - Love You Like That,41,19k,-10%
65,Tyler Farr - A Guy Walks Into a Bar,86,18k,-0%
66,Cole Swindell - Ain't Worth the Whiskey,114,26k,-11%
67,Iggy Azalea - Trouble,32,24k,-18%
68,Jason Aldean - Tonight Looks Good On You,24,21k,+31%
69,Nick Jonas - Jealous,231,19k,-5%
70,Lee Brice - Drinking Class,202,17k,-1%
71,Big Sean - Blessings,86,19k,-10%
72,Fall Out Boy - Uma Thurman,54,16k,+12%
73,Jessie J - Flashlight,3,12k,
74,Carrie Underwood - Little Toy Guns,46,18k,-3%
75,Major Lazer - Lean On,13,16k,+17%
76,Yelawolf - Best Friend,12,18k,-10%
77,Drake - Know Yourself,68,17k,-22%
78,Tim McGraw - Diamond Rings and Old Barstools,22,16k,+3%
79,Keith Urban - Raise 'Em Up,11,18k,+15%
80,Chris Brown & Tyga - Ayo,109,15k,-10%
81,Reba McEntire - Going Out Like That,17,26k,+37%
82,Zac Brown Band - Loving You Easy,4,12k,
83,Sleeping At Last - Chasing Cars,3,9k,
84,Calvin Harris - Outside,118,16k,-18%
85,Sam Smith - I'm Not the Only One,225,16k,+7%
86,Kanye West - All Day,55,16k,-4%
87,Fall Out Boy - Immortals,79,14k,-20%
88,Eric Paslay - She Don't Love You,41,16k,-27%
89,Kenny Chesney - Wild Child,22,19k,-10%
90,Imagine Dragons - I Bet My Life,175,14k,-9%
91,Drake - Energy,69,15k,-12%
92,Maroon 5 - Animals,236,13k,-9%
93,Dierks Bentley - Say You Do,26,15k,-0%
94,Kelsea Ballerini - Love Me Like You Mean It,33,15k,-6%
95,Ryn Weaver - OctaHate,1,13k,+11%
96,Nicki Minaj - Only,172,14k,-10%
97,One Direction - Night Changes,158,14k,-16%
98,Jeremih - Tonight Belongs To U,6,15k,
99,Mumford & Sons - Snake Eyes,7,18k,
100,"Kid Ink, Tyga, YG, Wale & Rich Homie Quan - Ride O...",26,14k,-27%
101,Easton Corbin - Baby Be My Love Song,7,14k,+2%
102,Sam Smith - Stay With Me,379,13k,-1%
103,Who Is Fancy - Goodbye,35,13k,-22%
104,Usher - I Don't Mind,148,14k,-16%
105,Pharrell Williams - Happy,426,13k,-1%
106,Wale - The Matrimony,21,14k,-0%
107,Wiz Khalifa & Iggy Azalea - Go Hard Or Go Home,27,13k,-24%
108,DJ Snake & Lil Jon - Turn Down For What,407,11k,-6%
109,Zac Brown Band - Heavy Is the Head,10,11k,+7%
110,Shawn Mendes - Something Big,59,12k,-26%
111,DeJ Loaf - Me U & Hennessy,5,13k,
112,Shaggy - I Need Your Love,,10k,+30%
113,Rascal Flatts - Riot,5,17k,+119%
114,Big Sean - I Don't Fuck With You,201,12k,-9%
115,Luke Bryan - Games,23,13k,+0%
116,Jana Kramer - I Got the Boy,3,11k,-3%
117,OneRepublic - I Lived,139,11k,-3%
118,John Legend - All of Me,471,11k,-4%
119,Van Morrison - Brown Eyed Girl,,8k,+85%
120,"Jessie J, Ariana Grande & Nicki Minaj - Bang Bang",231,10k,-8%
121,Sia - Chandelier,326,11k,-8%
122,Future - F*ck up Some Commas,,12k,-6%
123,Chase Rice - Ride,40,12k,-10%
124,Mumford & Sons - The Wolf,13,15k,-58%
125,Kalin and Myles - Trampoline,20,12k,-27%
126,Drake - Legend,50,11k,-18%
127,Brantley Gilbert - One Hell of an Amen,,11k,+9%
128,Florence + The Machine - What Kind of Man,13,11k,+114%
129,Alabama Shakes - Don't Wanna Fight,3,12k,+25%
130,Thomas Rhett - Crash and Burn,8,12k,-18%
131,Jeremih - Planes,11,11k,+4%
132,Kendrick Lamar - King Kunta,3,12k,-7%
133,Chedda Da Connect - Flicka da Wrist,,11k,-10%
134,Martin Garrix - Don't Look Down,,9k,+30%
135,Sam Hunt - Leave the Night On,203,12k,+13%
136,Tech N9ne - Speedom,5,19k,
137,Life of Dillon - Overload,,9k,-11%
138,Ella Henderson - Ghost,164,10k,-14%
139,Snow Patrol - Chasing Cars,1,6k,+493%
