,name,Top 100,end,change
0,Pharrell Williams - Happy,76,370k,-28%
1,John Legend - All of Me,159,218k,+3%
2,Jason Derulo - Talk Dirty,77,198k,+0%
3,Katy Perry - Dark Horse,181,166k,-9%
4,Idina Menzel - Let It Go,110,124k,-36%
5,Aloe Blacc - The Man,96,118k,+8%
6,The Chainsmokers - #Selfie,26,108k,+29%
7,Bastille - Pompeii,182,103k,-8%
8,DJ Snake & Lil Jon - Turn Down For What,87,80k,+9%
9,Florida Georgia Line - This Is How We Roll,97,80k,+36%
10,Lorde - Team,181,83k,-11%
11,American Authors - Best Day of My Life,124,85k,+0%
12,Beyoncé - Drunk in Love,87,81k,-10%
13,Avicii - Hey Brother,113,68k,+1%
14,Pitbull - Timber,160,65k,-13%
15,OneRepublic - Counting Stars,182,61k,-6%
16,A Great Big World - Say Something,132,66k,-21%
17,Brantley Gilbert - Bottoms Up,90,64k,-4%
18,Martin Garrix - Animals,168,56k,+17%
19,Kid Ink - Show Me,133,55k,-6%
20,Passenger - Let Her Go,182,49k,-18%
21,Keith Urban - Cop Car,50,46k,+4%
22,"Kristen Bell, Agatha Lee Monn & Katie Lopez - Do Y...",108,44k,-14%
23,Austin Mahone - Mmm Yeah,31,32k,+41%
24,One Direction - Story Of My Life,141,41k,-10%
25,Christina Perri - Human,69,40k,-21%
26,Demi Lovato - Neon Lights,65,35k,-0%
27,Coldplay - Magic,14,52k,-54%
28,Eminem - The Monster,139,38k,-11%
29,Justin Timberlake - Not a Bad Thing,20,39k,+23%
30,Lorde - Royals,182,38k,-12%
31,Young Money - Trophies,18,39k,+8%
32,Imagine Dragons - Demons,182,35k,-5%
33,Imagine Dragons - Radioactive,182,38k,-3%
34,Paramore - Ain't It Fun,20,34k,+42%
35,Luke Bryan - Play It Again,12,31k,+57%
36,Shakira - Can't Remember To Forget You,61,36k,-10%
37,Eric Church - Give Me Back My Hometown,67,36k,-1%
38,MKTO - Classic,37,31k,+15%
39,Jerrod Niemann - Drink to That All Night,77,31k,-2%
40,Katy Perry - Roar,182,30k,-9%
41,Ellie Goulding - Burn,168,32k,-4%
42,Blake Shelton - Doin' What She Likes,59,30k,-2%
43,Avicii - Wake Me Up,182,31k,-6%
44,YG - My Nigga,171,31k,+9%
45,Thomas Rhett - Get Me Some of That,77,33k,+0%
46,Chris Brown - Loyal,50,33k,+0%
47,Trey Songz - Na Na,39,28k,+21%
48,Naughty Boy - La La La,17,29k,+35%
49,Kristen Bell & Idina Menzel - For the First Time i...,95,24k,-21%
50,Luke Bryan - Drink a Beer,131,29k,-12%
51,Miley Cyrus - Adore You,106,30k,-23%
52,Beyoncé - Partition,40,31k,+10%
53,Rascal Flatts - Rewind,60,29k,+3%
54,Demi Lovato - Let It Go,112,26k,-26%
55,Bruno Mars - Young Girls,57,25k,-7%
56,Sara Evans - Slow Me Down,6,23k,+106%
57,Cole Swindell - Chillin' It,178,28k,-14%
58,Kristen Bell & Santino Fontana - Love Is an Open D...,27,21k,+39%
59,Cash Cash - Take Me Home,47,27k,+3%
60,Ty Dolla $ign - Paranoid,57,28k,+0%
61,Dierks Bentley - I Hold On,69,25k,-14%
62,Tove Lo - Stay High,7,21k,+50%
63,John Newman - Love Me Again,121,25k,-20%
64,Sara Bareilles - Brave,182,24k,-21%
65,YG - Who Do You Love,15,25k,+29%
66,Imagine Dragons - On Top of the World,38,23k,+2%
67,David Nail - Whatever She's Got,175,26k,-26%
68,Tegan and Sara & The Lonely Island - Everything Is...,38,22k,-28%
69,Florida Georgia Line - Cruise,177,20k,-1%
70,Jake Owen - Beachin',13,23k,+20%
71,Scotty McCreery - See You Tonight,59,21k,-6%
72,Jason Aldean - When She Says Baby,111,22k,-11%
73,Pitbull - Wild Wild Love,20,24k,-28%
74,Zedd - Find You,14,19k,+147%
75,Hunter Hayes - Invisible,20,19k,+30%
76,Miley Cyrus - Wrecking Ball,182,18k,-15%
77,Luke Bryan - Good Lookin' Girl,6,21k,
78,Lana Del Rey - Young and Beautiful,54,5k,+18%
79,AWOLNATION - Sail,182,20k,-18%
80,Capital Cities - Safe and Sound,161,16k,-3%
81,Luke Bryan - That's My Kind of Night,172,17k,-1%
82,Zendaya - Replay,176,19k,-15%
83,Eminem - Headlights,11,18k,+17%
84,Arctic Monkeys - Do I Wanna Know,55,18k,-1%
85,Young Thug - Stoner,35,19k,-0%
86,Frankie Ballard - Helluva Life,61,18k,-7%
87,Ricky Dillon - Don't Say Goodnight,1,,
88,Bruno Mars - Treasure,138,16k,-14%
89,Dan + Shay - 19 You + Me,74,18k,-38%
90,Disclosure - Latch,9,18k,+5%
91,Neon Trees - Sleeping With a Friend,9,16k,+3%
92,Lady Antebellum - Compass,131,17k,-7%
93,Schoolboy Q - Man of the Year,37,18k,-7%
94,Daft Punk - Get Lucky,117,17k,-22%
95,Robin Thicke - Blurred Lines,180,17k,-13%
96,SoMo - Ride,70,18k,-6%
97,Luke Bryan - She Get Me High,4,16k,
98,Brett Eldredge - Beat of the Music,12,17k,-0%
99,Mali Music - Beautiful,4,15k,
100,Fitz & The Tantrums - The Walker,12,16k,-12%
101,T-Pain - Up Down,31,17k,-4%
102,Hillsong United - Oceans,28,16k,-11%
103,Miranda Lambert - Automatic,15,16k,+1%
104,The 1975 - Chocolate,32,16k,-10%
105,Jennifer Lopez - I Luh Ya Papi,3,14k,
106,Jhene Aiko - The Worst,4,16k,-1%
