,name,Top 100,end,change
0,Iggy Azalea - Fancy,83,293k,-13%
1,Ariana Grande - Problem,40,245k,-17%
2,Nico & Vinz - Am I Wrong,49,151k,-3%
3,MAGIC! - Rude,37,140k,+27%
4,DJ Snake & Lil Jon - Turn Down For What,164,135k,-0%
5,Jason Derulo - Wiggle,35,130k,+4%
6,Lil Wayne - Believe Me,4,75k,
7,Sam Smith - Stay With Me,66,105k,+26%
8,Pharrell Williams - Happy,153,109k,-10%
9,John Legend - All of Me,236,117k,-19%
10,Calvin Harris - Summer,76,98k,+13%
11,Paramore - Ain't It Fun,97,84k,-0%
12,Disclosure - Latch,86,72k,+5%
13,Luke Bryan - Play It Again,89,77k,-14%
14,Ed Sheeran - Sing,56,80k,-28%
15,5 Seconds of Summer - She Looks So Perfect,62,74k,+2%
16,Rixton - Me and My Broken Heart,68,61k,+24%
17,OneRepublic - Love Runs Out,48,70k,-23%
18,Jake Owen - Beachin',90,60k,+5%
19,MKTO - Classic,114,65k,-6%
20,Idina Menzel - Let It Go,187,56k,-8%
21,Florida Georgia Line - This Is How We Roll,174,57k,-21%
22,Jason Derulo - Talk Dirty,154,54k,-28%
23,Justin Timberlake - Not a Bad Thing,97,54k,-16%
24,Katy Perry - Birthday,41,55k,-25%
25,Kongos - Come With Me Now,68,47k,+1%
26,Nicki Minaj - Pills N Potions,11,59k,-22%
27,Dierks Bentley - Drunk On a Plane,29,46k,+11%
28,5 Seconds of Summer - Good Girls,6,136k,
29,Lee Brice - I Don't Dance,70,45k,+7%
30,Katy Perry - Dark Horse,258,43k,-14%
31,Michael Jackson & Justin Timberlake - Love Never F...,31,43k,-33%
32,Coldplay - A Sky Full of Stars,32,51k,-49%
33,Pitbull - Wild Wild Love,97,42k,-18%
34,Lana Del Rey - Once Upon a Dream,12,21k,+240%
35,American Authors - Best Day of My Life,201,39k,-7%
36,Naughty Boy - La La La,93,41k,-17%
37,John Mayer - XO,6,44k,
38,Bastille - Pompeii,259,36k,-11%
39,Sia - Chandelier,28,38k,-21%
40,Lady Antebellum - Bartender,14,40k,-16%
41,Christina Perri - Human,146,37k,-28%
42,Brantley Gilbert - Bottoms Up,167,38k,-5%
43,Blake Shelton - My Eyes,41,35k,-5%
44,Jason Derulo - Trumpets,12,29k,+41%
45,OneRepublic - Counting Stars,259,31k,-26%
46,Miranda Lambert - Somethin' Bad,14,38k,-62%
47,Shakira - Empire,74,31k,-27%
48,Austin Mahone - Mmm Yeah,108,29k,+17%
49,Chris Brown - Loyal,127,31k,-11%
50,Jerrod Niemann - Drink to That All Night,154,30k,-1%
51,Joe Nichols - Yeah,45,30k,+14%
52,Miranda Lambert - Automatic,89,26k,-15%
53,Billy Currington - We Are Tonight,25,24k,+21%
54,Ingrid Michaelson - Girls Chase Boys,57,25k,+2%
55,One Direction - You & I,14,22k,+27%
56,5 Seconds of Summer - Don't Stop,19,29k,-15%
57,Tove Lo - Stay High,84,25k,+15%
58,Imagine Dragons - On Top of the World,115,24k,-3%
59,Brad Paisley - River Bank,40,25k,+7%
60,Lana Del Rey - Shades of Cool,7,52k,
61,Chris Young - Who I Am With You,50,26k,-4%
62,Aloe Blacc - The Man,173,23k,-28%
63,Enrique Iglesias - Bailando,11,21k,+21%
64,Neon Trees - Sleeping With a Friend,86,24k,-12%
65,Pitbull - Timber,237,22k,-12%
66,Rascal Flatts - Rewind,137,23k,-21%
67,Iggy Azalea - Work,28,23k,-3%
68,Tyler Farr - Whiskey in My Water,70,23k,+1%
69,Dustin Lynch - Where It's At,48,24k,-6%
70,Pharrell Williams - Come Get It Bae,15,18k,+9%
71,Katy Tiz - The Big Bang,19,20k,+26%
72,Chase Rice - Ready Set Roll,40,20k,+9%
73,AJR - I'm Ready,7,18k,+13%
74,Trey Songz - Na Na,115,21k,-9%
75,Tinashe - 2 On,6,19k,+18%
76,Coldplay - Magic,91,23k,-38%
77,Thomas Rhett - Get Me Some of That,154,21k,-11%
78,Keith Urban - Cop Car,127,23k,-17%
79,YG - Who Do You Love,90,20k,-3%
80,"Kristen Bell, Agatha Lee Monn & Katie Lopez - Do Y...",180,20k,-8%
81,Florida Georgia Line - Cruise,232,18k,-10%
82,Young Money - Trophies,95,20k,-9%
83,Sara Bareilles - I Choose You,27,19k,-4%
84,Lana Del Rey - Young and Beautiful,92,18k,+31%
85,Brantley Gilbert - Small Town Throwdown,21,20k,-19%
86,Avicii - Hey Brother,189,18k,-15%
87,Imagine Dragons - Demons,254,18k,-19%
88,Phillip Phillips - Raging Fire,32,21k,-38%
89,Charli XCX - Boom Clap,1,15k,+19%
90,Eric Church - Give Me Back My Hometown,144,19k,-14%
91,Katy Perry - Roar,247,17k,-12%
92,Brett Eldredge - Beat of the Music,78,17k,-9%
93,Becky G - Shower,1,16k,+14%
94,Craig Campbell - Keep Them Kisses Comin',4,16k,+7%
95,Lorde - Team,257,17k,-26%
96,Martin Garrix - Animals,244,17k,-18%
97,George Strait - I Got a Car,12,16k,-6%
98,Tiësto - Red Lights,57,18k,-3%
99,One Direction - Story Of My Life,212,17k,-11%
100,Wiz Khalifa - We Dem Boyz,16,17k,-0%
101,Lana Del Rey - West Coast,16,22k,+171%
102,Tim McGraw - Meanwhile Back At Mama's,18,17k,-10%
103,Passenger - Let Her Go,251,16k,-14%
104,Imagine Dragons - Radioactive,238,16k,-18%
105,Luke Bryan - That's My Kind of Night,189,15k,-12%
106,"Jason Mraz - Hello, You Beautiful Thing",7,17k,+50%
107,Beyoncé - Partition,113,17k,-16%
108,Avicii - Wake Me Up,237,15k,-9%
109,K CAMP - Cut Her Off,5,16k,-10%
110,Kid Ink - Main Chick,6,15k,+3%
111,Justin Moore - Lettin' the Night Roll,28,16k,-24%
112,The Lonely Island - When Will the Bass Drop,2,11k,
113,A Great Big World - Say Something,192,15k,-13%
114,Lorde - Royals,234,14k,-19%
115,Luke Bryan - Drink a Beer,163,14k,-15%
116,Fitz & The Tantrums - The Walker,55,14k,-12%
117,Cole Swindell - Hope You Get Lonely Tonight,16,15k,+1%
118,Demi Lovato - Neon Lights,124,15k,-16%
119,Eric Paslay - Song About a Girl,1,15k,-9%
120,The Chainsmokers - #Selfie,90,14k,-15%
121,Ne-Yo - Money Can’t Buy,3,15k,
122,Lorde - Tennis Court,27,13k,-39%
123,Kid Ink - Show Me,188,15k,-11%
124,Sara Bareilles - Brave,207,14k,-8%
125,Tiësto - Wasted,7,14k,+2%
126,Arctic Monkeys - Do I Wanna Know,84,14k,-4%
127,ScHoolboy Q - Studio,,13k,-0%
128,Usher - Good Kisser,12,14k,-7%
129,Beyoncé - Drunk in Love,141,14k,-15%
130,Vance Joy - Riptide,,12k,+36%
131,The Black Keys - Fever,21,13k,-14%
132,Jennifer Lopez - First Love,2,13k,-18%
133,Ellie Goulding - Burn,210,13k,-4%
134,Jana Kramer - Love,3,15k,
135,Eli Young Band - Dust,,14k,-1%
136,will.i.am - It’s My Birth...,,7k,
137,Christina Perri - A Thousand Years,6,13k,-6%
138,Future - Move That Dope,25,13k,-12%
139,Sam Smith - Leave Your Lover,5,14k,-71%
140,AWOLNATION - Sail,190,13k,-6%
141,Darius Rucker - Wagon Wheel,65,12k,-11%
142,TeeFLii - 24 Hours,,11k,
143,Ty Dolla $ign - Or Nah,,13k,+4%
144,Hillsong United - Oceans,33,12k,-5%
145,Cherub - Doses & Mimosas,,13k,-5%
146,Macklemore & Ryan Lewis - Can't Hold Us,140,12k,+0%
147,Frankie Ballard - Sunshine & Whiskey,,11k,+13%
148,Fall Out Boy - My Songs Know What You Did In the D...,145,12k,-16%
149,Blake Shelton - Doin' What She Likes,100,12k,-10%
150,Eminem - The Monster,185,12k,-7%
151,Robin Thicke - Blurred Lines,183,12k,-18%
152,The Band Perry - Chainsaw,1,12k,-1%
153,Peter Gabriel - In Your Eyes,,1k,
154,Lana Del Rey - Summertime Sadness,72,11k,+45%
155,Kristen Bell & Santino Fontana - Love Is an Open D...,72,12k,-5%
156,Bleachers - I Wanna Get Better,,12k,-2%
157,Schoolboy Q - Man of the Year,71,12k,-0%
158,Clean Bandit - Rather Be feat. Jess Glynne,,12k,+73%
159,Capital Cities - Safe and Sound,163,11k,-1%
160,Jhene Aiko - The Worst,8,12k,+0%
161,Dan + Shay - 19 You + Me,124,11k,-9%
162,Jason Aldean - When She Says Baby,139,11k,-3%
163,Tove Lo - Habits,,11k,+6%
164,Cher Lloyd - Sirens,,10k,+197%
165,"Drake - Hold On, We're Going Home",161,11k,-0%
166,Blake Shelton - Boys 'Round Here,36,10k,-9%
167,Kristen Bell & Idina Menzel - For the First Time i...,146,11k,-7%
168,Sam Smith - Latch,1,11k,-23%
169,Tegan and Sara & The Lonely Island - Everything Is...,41,11k,+16%
170,Ariana Grande - The Way,22,11k,-9%
171,The Cadillac Three - The South,1,11k,-10%
172,Afrojack - Ten Feet Tall,,11k,+6%
173,Sam Smith - Money On My Mind,3,11k,+14%
174,Cole Swindell - Chillin' It,189,10k,+17%
175,Ty Dolla $ign - Paranoid,87,11k,-3%
176,Ed Sheeran - One,13,14k,-56%
177,Hunter Hayes - Invisible,76,10k,-17%
178,Eminem - Rap God,132,10k,-4%
179,Luke Bryan - Country Girl,,9k,+3%
180,Easton Corbin - Clockwork,,10k,+23%
181,Jason Mraz - Love Someone,8,13k,-53%
