,name,Top 100,end,change
0,The Weeknd - Can't Feel My Face,74,111k,-9%
1,R. City - Locked Away,36,92k,+36%
2,Omi - Cheerleader,122,104k,-11%
3,The Weeknd - The Hills,86,79k,+3%
4,Rachel Platten - Fight Song,142,85k,+3%
5,Silento - Watch Me,131,81k,-7%
6,Selena Gomez - Good For You,60,68k,-2%
7,Fetty Wap - 679,53,64k,+2%
8,Charlie Puth - Marvin Gaye,82,62k,-0%
9,Shawn Mendes - Stitches,101,52k,+15%
10,Major Lazer - Lean On,128,62k,-30%
11,Ed Sheeran - Photograph,101,54k,+7%
12,Demi Lovato - Cool for the Summer,51,55k,-3%
13,One Direction - Drag Me Down,21,54k,-21%
14,Sam Hunt - House Party,93,46k,-1%
15,WALK THE MOON - Shut Up and Dance,254,44k,+5%
16,Fall Out Boy - Uma Thurman,170,44k,-8%
17,Fetty Wap - My Way,35,44k,-21%
18,Nelly - The Fix,7,41k,
19,X Ambassadors - Renegades,138,37k,+5%
20,Taylor Swift - Bad Blood,184,44k,-18%
21,5 Seconds of Summer - She's Kinda Hot,35,46k,+33%
22,Jason Derulo - Want to Want Me,164,44k,-10%
23,Luke Bryan - Kick the Dust Up,94,45k,-27%
24,"Flo Rida - I Don't Like It, I Love It",71,36k,+32%
25,Drake - Hotline Bling,21,37k,+28%
26,Skrillex & Diplo - Where ...,160,39k,-9%
27,Luke Bryan - Strip It Down,35,35k,-24%
28,Cam - Burning House,50,32k,+0%
29,Fifth Harmony - Worth It,181,39k,-8%
30,Fetty Wap - Again,14,42k,-51%
31,Meghan Trainor - Like I'm Gonna Lose You,92,32k,+5%
32,"Andy Grammer - Honey, I'm Good.",212,38k,-16%
33,Little Mix - Black Magic,15,27k,+133%
34,Drake - Back To Back,21,38k,-38%
35,"Keith Urban - John Cougar, John Deere, John 3:16",73,34k,-17%
36,Eazy-E - Boyz-N-The-Hood,7,36k,+381%
37,Chris Janson - Buy Me a Boat,111,35k,-4%
38,Thomas Rhett - Crash and Burn,119,34k,-9%
39,Fetty Wap - Trap Queen,211,33k,-20%
40,Eric Church - Like a Wrecking Ball,170,30k,-11%
41,Elle King - Ex's & Oh's,80,26k,+4%
42,"@iHeartMemphis - ""Hit the Quan"" #HTQ",28,29k,+11%
43,Jidenna - Classic Man,97,29k,+6%
44,Rich Homie Quan - Flex,114,27k,+12%
45,Wiz Khalifa - See You Again,164,29k,-8%
46,Mark Ronson - Uptown Funk,284,25k,-5%
47,N.W.A. - Straight Outta Compton,8,31k,+156%
48,Tori Kelly - Should've Been Us,43,23k,-7%
49,Brett Eldredge - Lose My Mind,80,22k,+6%
50,Ed Sheeran - Thinking Out Loud,326,25k,+13%
51,Hailee Steinfeld - Love Myself,11,19k,+38%
52,Lana Del Rey - High By the Beach,11,28k,-59%
53,Meek Mill - All Eyes On You,56,21k,-7%
54,Little Big Town - Girl Crush,217,23k,-25%
55,Alessia Cara - Here,22,17k,+5%
56,Calvin Harris & Disciples - How Deep Is Your Love,35,20k,-6%
57,K CAMP - Comfortable,15,16k,+45%
58,David Guetta - Hey Mama,157,22k,-16%
59,Old Dominion - Break up with Him,70,19k,-1%
60,N.W.A. - F**k Tha Police,6,21k,
61,Sam Hunt - Take Your Time,273,21k,-14%
62,Zac Brown Band - Loving You Easy,101,21k,-16%
63,Chris Young - I'm Comin' Over,101,17k,-10%
64,Maroon 5 - Sugar,220,19k,+0%
65,Florida Georgia Line - Anything Goes,75,18k,-1%
66,Jeremih - Planes,91,16k,-7%
67,Kenny Chesney - Save It for a Rainy Day,29,16k,-8%
68,Zedd - Beautiful Now,79,14k,+17%
69,Omarion - Post To Be,191,16k,-8%
70,The Weeknd - Often,81,13k,+2%
71,Ice Cube - No Vaseline,6,15k,
72,The Weeknd - Earned It,235,13k,-2%
73,5 Seconds of Summer - Fly Away,7,61k,
74,Adam Lambert - Ghost Town,73,14k,-2%
75,DJ Snake & AlunaGeorge - You Know You Like It,153,14k,-17%
76,Disclosure - Omen,24,13k,-0%
77,Rae Sremmurd - This Could Be Us,48,13k,-8%
78,Michael Ray - Kiss You In the Morning,83,15k,-27%
79,Jason Derulo - Cheyenne,12,13k,-4%
80,Dustin Lynch - Hell of a Night,26,13k,-1%
81,The Band Perry - Live Forever,7,18k,
82,Jake Owen - Real Life,81,13k,-15%
83,Tove Lo - Talking Body,197,13k,-20%
84,Taylor Swift - Shake It Off,368,14k,-6%
85,Brothers Osborne - Stay a Little Longer,16,12k,+3%
86,Sia - Elastic Heart,239,13k,-17%
87,Jess Glynne - Hold My Hand,14,10k,+11%
88,"Dove Cameron, Cameron Boyce, Booboo Stewart & Sofi...",21,14k,-38%
89,NEEDTOBREATHE - Brother,42,11k,-3%
90,Bea Miller - Fire N Gold,40,11k,+3%
91,Maddie & Tae - Fly,7,11k,-3%
92,Meghan Trainor - Dear Future Husband,297,11k,-16%
93,Taylor Swift - Style,292,11k,-8%
94,"Dr. Dre - Nuthin' but a ""G"" Thang",6,11k,+173%
95,Rihanna - Bitch Better Have My Money,146,11k,-10%
96,M.I.A. - Paper Planes,4,10k,
97,Fall Out Boy - Centuries,328,10k,-5%
98,BØRNS - The Emotion,1,2k,
99,twenty one pilots - Tear In My Heart,30,10k,-5%
100,Chase Rice - Gonna Wanna Tonight,5,9k,+14%
101,Sam Smith - Like I Can,17,11k,-11%
102,Jessie J - Flashlight,58,9k,-6%
103,Drake - 0 To 100 / The Catch Up,172,10k,-8%
104,Blake Shelton - Sangria,132,11k,-14%
105,Jason Aldean - Tonight Looks Good On You,137,11k,-27%
106,Cold War Kids - First,,9k,+5%
107,Ellie Goulding - Love Me Like You Do,213,10k,-17%
108,Pitbull - Fun,97,11k,-26%
109,Cole Swindell - Let Me See Ya Girl,3,10k,-6%
110,Brantley Gilbert - One Hell of an Amen,95,10k,-14%
111,T-Wayne - Nasty Freestyle,128,11k,-21%
112,Afrojack - SummerThing,1,10k,-11%
113,Shinedown - Cut the Cord,20,10k,-32%
114,Dan + Shay - Nothin' Like You,,9k,+13%
115,Post Malone - White Iverson,,9k,+106%
116,Kip Moore - Wild Ones,2,4k,+35%
117,Kip Moore - I'm To Blame,6,8k,-4%
118,Nathaniel Rateliff & The Night Sweats - S.O.B.,6,9k,-44%
119,Taylor Swift - Blank Space,281,10k,-8%
120,Five Finger Death Punch - Jekyll and Hyde,15,9k,-8%
121,Drake - Energy,87,9k,-8%
122,Andrew McMahon in the Wilderness - Cecilia and the...,,9k,+1%
123,Rita Ora - Body on Me,8,6k,-60%
124,George Ezra - Budapest,178,9k,-12%
125,Future - Where Ya At,10,8k,+0%
126,Sam Hunt - Break Up In a Small Town,50,8k,+66%
127,Kelsea Ballerini - Dibs,,8k,+15%
128,Meek Mill - R.I.C.O.,38,9k,-13%
129,Frankie Ballard - Young & Crazy,,9k,-2%
130,Miranda Lambert - Smokin' and Drinkin',4,8k,-0%
131,Big Sean - One Man Can Change the World,14,8k,-19%
132,Pia Mia - Do It Again,41,10k,-15%
133,twenty one pilots - Stressed Out,29,8k,+7%
134,Jana Kramer - I Got the Boy,3,8k,+2%
135,Nicky Jam & Enrique Igles...,1,7k,-1%
136,Trey Songz - Slow Motion,161,8k,-8%
137,Dr. Dre - Talking To My Diary,5,9k,-26%
138,Kygo - Firestone,,7k,+6%
139,Vance Joy - Riptide,400,9k,-8%
140,American Authors - Go Big or Go Home,5,8k,-9%
141,Daya - Hide Away,,6k,+13%
142,Casey Veggies - Tied Up,,9k,-2%
143,Ben Rector - Forever Like That,,1k,
144,MAC MILLER - Break the Law,3,7k,
145,Lil Herb - RGF Island,,1k,
146,Halsey - New Americana,7,8k,+70%
147,50 Cent - 9 Shots,3,10k,
148,Sheppard - Geronimo,204,10k,+26%
149,Drake - Right Hand,9,8k,-27%
150,Fifth Harmony - I'm In Love With a Monster,3,12k,
151,Kip Moore - Comeback Kid,,4k,
152,Felix Jaehn - Ain't Nobody,,6k,-3%
153,Chris Brown - Liquor,6,6k,+11%
154,Mac Miller - 100 Grandkids,9,9k,-66%
155,Echosmith - Bright,139,7k,-14%
156,Wes Walker - Jordan Belfort,,6k,+18%
157,A Great Big World - Hold Each Other,,5k,+76%
158,Zac Brown Band - Homegrown,187,8k,-19%
159,Halsey - Hold Me Down,4,7k,+98%
160,Dove Cameron - If Only,7,7k,-30%
161,Coleman Hell - 2 Heads,,6k,+19%
162,Beck - Dreams,10,7k,-12%
163,"Andy Grammer & Eli Young Band - Honey, I'm Good.",,7k,-15%
164,Sia - Chandelier,327,6k,-12%
165,Future - Trap Niggas,7,6k,-13%
166,Hozier - Someone New,8,5k,-10%
167,Jimmy Buffett - Workin' 'N' Playin',,1k,
168,Meghan Trainor - All About That Bass,349,7k,-9%
169,Disclosure - Willing & Able,,7k,
170,Kid Ink - Be Real,60,6k,-14%
171,Jessie James Decker - Lights Down Low,4,19k,
172,Hillsong UNITED - Touch the Sky,6,6k,-16%
173,Pharrell Williams - Happy,432,6k,-2%
174,Luke Bryan - Play It Again,213,7k,-13%
175,Kip Moore - Backseat,,3k,-26%
176,Icona Pop - Emergency,6,4k,-15%
177,Janelle Monáe & Jidenna -...,10,7k,+12%
178,Canaan Smith - Love You Like That,143,6k,-25%
179,John Legend - All of Me,472,6k,+5%
180,MercyMe - Flawless,,5k,+1%
181,J. Cole - Wet Dreamz,11,6k,-18%
182,Flo Rida - GDFR,270,5k,-15%
183,Alexander Jean - Roses and Violets,,,
184,Flo Rida - My House,,5k,+4%
185,Sam Smith - Stay With Me,382,7k,+50%
186,Hozier - Take Me to Church,337,6k,-9%
187,Hunter Hayes - 21,5,5k,+37%
188,Lauren Daigle - First,,5k,+0%
189,Gente de Zona - La Gozadera,2,7k,+14%
190,Fall Out Boy - Immortals,79,5k,-11%
191,Sam Hunt - Leave the Night On,205,5k,-14%
192,Dr. Dre - Talk About It,5,7k,-50%
193,Scotty McCreery - Southern Belle,3,6k,
194,The Game - 100,8,5k,-10%
195,Meghan Trainor - Lips Are Movin,245,6k,-11%
196,Sam Smith - Lay Me Down,145,6k,+6%
197,Austin Mahone - Dirty Work,3,4k,-23%
198,J. Cole - No Role Modelz,5,4k,-12%
199,"Dove Cameron, Sofia Carson, Cameron Boyce, Booboo ...",4,6k,-33%
200,Disturbed - The Vengeful One,5,4k,+11%
201,Dr. Dre - The Next Episode,,5k,+41%
202,Travi$ Scott - Antidote,3,3k,+24%
203,Miguel - Coffee,16,4k,-12%
204,Francesca Battistelli - Holy Spirit,,4k,-15%
205,Nick Jonas - Chains,158,5k,-7%
206,Future - F*ck up Some Commas,25,5k,-18%
207,Rae Sremmurd - Come Get Her,2,5k,-7%
208,Shawn Mendes - Believe,4,5k,-34%
209,Dillon Francis & DJ Snake - Get Low,67,4k,+18%
210,Galantis - Runaway,2,4k,+1%
211,Randy Houser - We Went,1,4k,-30%
212,Christina Perri - A Thousand Years,11,4k,-3%
213,Eminem - Lose Yourself,,4k,-1%
214,Shinedown - Black Cadillac,,6k,
215,N.W.A. - Express Yourself,,4k,
216,B.o.B - Back and Forth,,5k,
217,Old Dominion - Nowhere Fast,,3k,-8%
218,Pitbull & Ne-Yo - Time of Our Lives,201,5k,-22%
219,Imagine Dragons - Shots,24,4k,-0%
220,Kyle Edwards & DJ Smallz 732 - We Are Young,,6k,+49%
221,Panic! At the Disco - Hallelujah,12,4k,-14%
222,"2Pac, Roger Troutman & Dr. Dre - California Love",,4k,+140%
223,tobyMac - Feel It,,3k,-18%
224,Florida Georgia Line - Sippin' On Fire,115,5k,-27%
225,DJ Khaled - How Many Times,18,4k,-7%
226,Nicki Minaj - The Night Is Still Young,80,4k,-25%
227,MAX - Gibberish,2,4k,+61%
228,Natalie La Rose - Around the World,,4k,-41%
229,The Cadillac Three - White Lightning,,4k,+0%
230,Deorro & Chris Brown - Five More Hours,,4k,-8%
231,DeJ Loaf - Back Up,5,3k,+0%
232,Pitbull - Fireball,191,5k,-24%
233,Journey - Don't Stop Believin',,3k,-4%
234,Drake - Know Yourself,81,4k,-23%
235,Tech N9ne - Hood Go Crazy,60,4k,-24%
236,Halsey - Ghost,1,4k,+64%
237,Lil Wayne & Charlie Puth - Nothing But Trouble,10,3k,+12%
238,The Weeknd - Wicked Games,,3k,-7%
239,Luke Bryan - Home Alone Tonight,6,5k,-57%
240,Sage the Gemini - Good Thing,52,4k,-36%
241,Pop Evil - Footsteps,,3k,+0%
242,Dr. Dre - Medicine Man,6,6k,-66%
243,Eminem - Phenomenal,43,5k,-44%
244,Jeff Lewis - Did I Mention,3,4k,-46%
245,Kelsea Ballerini - Love Me Like You Mean It,112,4k,-20%
246,Sam Smith - I'm Not the Only One,230,5k,+16%
247,J Balvin - Ginza,2,3k,+3%
248,Kelly Clarkson - Heartbeat Song,137,3k,-6%
249,The Chainsmokers - Roses,,3k,+1%
250,Kendrick Lamar - Alright,3,4k,-19%
251,Melanie Martinez - Pity Party,,3k,+0%
252,OneRepublic - I Lived,146,4k,-17%
253,Carly Rae Jepsen - Run Away with Me,,1k,+5%
254,Fall Out Boy - My Songs Know What You Did In the D...,146,3k,-7%
255,AWOLNATION - I Am,,3k,+99%
256,Locash - I Love This Life,,3k,-0%
257,Jason Aldean - Burnin' It Down,197,4k,-14%
258,Papa Roach - Gravity,,3k,+24%
259,Drake - Charged Up,12,5k,-62%
260,Enrique Iglesias - Bailando,189,3k,+22%
261,Tim McGraw - Top of the World,9,4k,-71%
262,James Bay - Let It Go,9,3k,-10%
263,Luke Bryan - Kill the Lights,6,4k,-65%
264,Drake - Legend,50,3k,-2%
265,"Jessie J, Ariana Grande & Nicki Minaj - Bang Bang",231,3k,-6%
266,The Struts - Could Have Been Me,,3k,-6%
267,Nicki Minaj - Only,173,3k,-11%
268,Katy Perry - Roar,268,3k,-5%
269,Florida Georgia Line - This Is How We Roll,306,3k,-11%
270,BØRNS - Electric Love,4,3k,-8%
271,Taylor Swift - Ronan,,1k,
272,Big Sean - I Don't Fuck With You,203,3k,-24%
273,Blake Shelton - Gonna,,2k,+83%
274,Ed Sheeran - Don't,278,4k,+26%
275,Ice Cube - It Was a Good Day,,4k,+310%
276,The Americanos - BlackOut,,2k,
277,Carrie Underwood - Little Toy Guns,115,3k,-30%
278,Kenny Chesney - American Kids,143,3k,-7%
279,Halsey - Hurricane,,3k,+83%
280,Prince Royce - Back It Up,10,3k,-23%
281,Maroon 5 - This Summer's Gonna Hurt Like a MotherF...,77,4k,-30%
282,Lil Wayne & Drake - Right Above It,,3k,-7%
283,DJ Snake & Lil Jon - Turn Down For What,407,3k,-5%
284,Nico & Vinz - That's How You Know,7,3k,+27%
285,Darius Rucker - Wagon Wheel,65,3k,-4%
286,Natalie La Rose - Somebody,154,3k,-9%
287,Kygo - Stole the Show,,3k,-12%
288,Trey Songz - About You,4,3k,+17%
289,Brantley Gilbert - Bottoms Up,251,3k,-13%
290,Big Sean - Blessings,120,3k,-16%
291,Kelly Clarkson - Invincible,5,3k,+9%
292,Bryson Tiller - Don't,,3k,+2%
293,Eazy-E - Real Muthaphuckkin G's,,2k,
294,Highly Suspect - Lydia,,3k,-0%
295,Chase Rice - Ride,40,3k,-12%
296,AC/DC - Thunderstruck,,3k,-1%
297,Luke Bryan - That's My Kind of Night,191,3k,-14%
298,Big Sean - I Know,4,3k,-16%
299,Hillsong United - Oceans,33,3k,-28%
300,Bring Me the Horizon - Throne,4,3k,-17%
301,Imagine Dragons - Radioactive,245,3k,-5%
302,Lady Antebellum - Long Stretch of Love,,3k,-14%
303,American Authors - Best Day of My Life,273,3k,-4%
304,Carly Rae Jepsen - I Really Like You,95,2k,-11%
305,Janet Jackson - No Sleeep,14,2k,-24%
306,Milky Chance - Stolen Dance,226,3k,-15%
307,Zac Brown Band - Chicken Fried,,3k,-17%
308,Luke Bryan - To the Moon and Back,5,5k,-58%
309,Taylor Swift - New Romantics,15,3k,-6%
310,Houndmouth - Sedona,,2k,-1%
311,Cole Swindell - Ain't Worth the Whiskey,124,3k,-8%
312,Nicki Minaj - Feeling Myself,103,3k,-21%
313,A Thousand Horses - Smoke,122,3k,-12%
314,Kristin Chenoweth & Dove Cameron - Evil Like Me,,3k,-49%
315,Nicky Jam & Enrique Iglesias - Forgiveness,,2k,+22%
316,AWOLNATION - Sail,210,3k,-3%
317,Rihanna and Kanye West and Paul McCartney - FourFi...,127,3k,-3%
318,Taylor Swift - Wildest Dreams,80,3k,-14%
319,Luke Bryan - Country Girl,,3k,-17%
320,Nick Jonas - Jealous,249,3k,-0%
321,Disturbed - What Are You Waiting For,,3k,-55%
322,Nicki Minaj - Truffle Butter,136,2k,-13%
323,G-Eazy - I Mean It,4,2k,-9%
324,MKTO - Bad Girls,8,2k,-39%
325,Katy Tiz - Whistle,43,2k,-5%
326,Maroon 5 - Animals,243,3k,+0%
327,Big & Rich - Run Away With You,,2k,-3%
328,Galantis - Peanut Butter Jelly,,2k,+28%
329,M83 - Midnight City,,2k,+126%
330,The Script - Hall of Fame,3,5k,+129%
331,Dr. Dre - Still D.R.E.,,3k,+43%
332,AC/DC - Back In Black,,2k,-4%
333,OneRepublic - Counting Stars,374,3k,-6%
334,Eminem - Kings Never Die,24,3k,-50%
