,name,Top 100,end,change
0,Katy Perry - Dark Horse,146,302k,-22%
1,Pharrell Williams - Happy,41,254k,+14%
2,Jason Derulo - Talk Dirty,42,245k,+3%
3,A Great Big World - Say Something,97,166k,+8%
4,Idina Menzel - Let It Go,75,139k,+25%
5,Passenger - Let Her Go,147,182k,+9%
6,Bastille - Pompeii,147,129k,-8%
7,Pitbull - Timber,125,128k,-10%
8,Aloe Blacc - The Man,61,131k,+3%
9,Lorde - Team,146,116k,-16%
10,John Legend - All of Me,124,108k,-21%
11,OneRepublic - Counting Stars,147,110k,-9%
12,Beyoncé - Drunk in Love,52,106k,-34%
13,Lorde - Royals,147,77k,-47%
14,Miley Cyrus - Adore You,71,71k,-3%
15,Eminem - The Monster,104,71k,-16%
16,DJ Snake & Lil Jon - Turn Down For What,52,69k,+0%
17,One Direction - Story Of My Life,106,67k,-8%
18,Tegan and Sara & The Lonely Island - Everything Is...,3,23k,
19,American Authors - Best Day of My Life,89,55k,-3%
20,"Kristen Bell, Agatha Lee Monn & Katie Lopez - Do Y...",73,58k,-8%
21,Avicii - Hey Brother,78,59k,+5%
22,Imagine Dragons - Demons,147,59k,-15%
23,Demi Lovato - Neon Lights,30,49k,+81%
24,Ellie Goulding - Burn,133,54k,-17%
25,Imagine Dragons - Radioactive,147,75k,-64%
26,Brantley Gilbert - Bottoms Up,55,48k,+11%
27,Katy Perry - Roar,147,50k,-26%
28,Kid Ink - Show Me,98,50k,+1%
29,David Nail - Whatever She's Got,140,45k,+29%
30,Bruno Mars - Locked Out of Heaven,18,84k,+60%
31,Eric Church - Give Me Back My Hometown,32,43k,-0%
32,Bruno Mars - Treasure,107,72k,+80%
33,Luke Bryan - Drink a Beer,96,42k,-8%
34,Sara Bareilles - Brave,147,49k,-46%
35,Avicii - Wake Me Up,147,42k,-11%
36,John Newman - Love Me Again,86,46k,-10%
37,Daft Punk - Get Lucky,84,41k,-64%
38,Macklemore & Ryan Lewis - White Walls,130,43k,-34%
39,Demi Lovato - Let It Go,77,38k,-11%
40,Shakira - Can't Remember To Forget You,26,44k,+5%
41,Kristen Bell & Idina Menzel - For the First Time i...,66,34k,-23%
42,The Fray - Love Don't Die,47,34k,+57%
43,Bruno Mars - Young Girls,22,48k,+9%
44,Cole Swindell - Chillin' It,143,35k,+8%
45,Martin Garrix - Animals,133,33k,+2%
46,Zendaya - Replay,141,32k,-13%
47,YG - My Nigga,137,36k,-11%
48,Keith Urban - Cop Car,15,31k,-10%
49,Miley Cyrus - Wrecking Ball,147,28k,-14%
50,The Neighbourhood - Sweater Weather,147,31k,-19%
51,Bruno Mars - Just the Way You Are,8,66k,+93%
52,Eric Paslay - Friday Night,22,26k,+27%
53,Mike Will Made-It - 23,144,25k,-32%
54,AWOLNATION - Sail,147,28k,+6%
55,Jason Aldean - When She Says Baby,76,27k,-3%
56,Robin Thicke - Blurred Lines,147,25k,-44%
57,Blake Shelton - Doin' What She Likes,24,27k,+4%
58,Jerrod Niemann - Drink to That All Night,42,25k,+3%
59,Katy Perry - Unconditionally,111,24k,-22%
60,Bruno Mars - When I Was Your Man,38,39k,+13%
61,Joni Eareckson Tada - Alone yet Not Alone,2,3k,-40%
62,Zedd - Stay the Night,147,24k,-12%
63,U2 - Invisible,6,28k,
64,Thomas Rhett - Get Me Some of That,42,24k,-1%
65,Beyoncé - XO,47,26k,-23%
66,Macklemore & Ryan Lewis - Can't Hold Us,124,23k,-42%
67,Lana Del Rey - Once Upon a Dream,6,29k,
68,Ty Dolla $ign - Paranoid,22,23k,+11%
69,Cash Cash - Take Me Home,12,21k,+5%
70,Florida Georgia Line - This Is How We Roll,62,22k,+9%
71,Capital Cities - Safe and Sound,142,21k,-17%
72,"Drake - Hold On, We're Going Home",147,21k,-8%
73,Lady Gaga - Do What U Want,112,22k,-38%
74,Daughtry - Waiting For Superman,86,21k,-5%
75,Christina Perri - Human,34,20k,+3%
76,Dan + Shay - 19 You + Me,41,21k,+0%
77,Florida Georgia Line - Cruise,143,20k,-21%
78,P!nk - Just Give Me a Reason,86,22k,-59%
79,SoMo - Ride,38,21k,-5%
80,Dierks Bentley - I Hold On,34,21k,-15%
81,Jason Aldean - Night Train,71,19k,+40%
82,Lady Antebellum - Compass,98,20k,-6%
83,Chris Brown - Loyal,15,21k,+22%
84,Imagine Dragons - On Top of the World,5,19k,-9%
85,Luke Bryan - That's My Kind of Night,145,19k,-10%
86,Josh Gad - In Summer,40,19k,-7%
87,Ellie Goulding - Explosions,6,20k,+10%
88,MKTO - Classic,3,18k,-4%
89,Hunter Hayes - Invisible,15,27k,-73%
90,Kacey Musgraves - Follow Your Arrow,21,23k,-62%
91,Rascal Flatts - Rewind,25,19k,-25%
92,Mumford & Sons - I Will Wait,5,17k,+138%
93,Eminem - Rap God,116,19k,-14%
94,Hillsong United - Oceans,7,18k,-0%
95,Eric Church - The Outsiders,69,16k,-2%
96,Arctic Monkeys - Do I Wanna Know,21,18k,-5%
97,Diddy - Dirty Money & Skylar Grey - Coming Home,7,21k,+141%
98,Cole Swindell - Ain't Worth the Whiskey,6,40k,
99,Lady Gaga - Applause,142,18k,-28%
100,Selena Gomez - Slow Down,116,17k,+56%
101,Kristen Bell & Santino Fontana - Love Is an Open D...,23,17k,-9%
102,Macklemore & Ryan Lewis - Thrift Shop,77,18k,-46%
103,The 1975 - Chocolate,5,18k,-7%
104,Fall Out Boy - My Songs Know What You Did In the D...,131,18k,-20%
105,Scotty McCreery - See You Tonight,26,18k,-2%
106,Frankie Ballard - Helluva Life,27,17k,-1%
107,Florida Georgia Line - Stay,116,18k,-18%
108,Eric Church - A Man Who Was Gonna Die Young,5,17k,-57%
109,Beyoncé - Partition,12,18k,-9%
110,Gavin DeGraw - Make a Move,,7k,+50%
111,Ludacris - Party Girls,4,17k,
112,Rick Ross - War Ready,1,6k,
113,Marky Mark and the Funky Bunch & Loleatta Holloway...,,12k,+212%
114,Miley Cyrus - We Can't Stop,117,16k,-8%
115,Ylvis - The Fox,130,16k,-10%
116,Sage the Gemini - Gas Pedal,133,16k,-17%
117,Drake - All Me,125,17k,-10%
118,Jo Li - Everything Is AWESOME,,5k,
119,Young Thug - Stoner,,14k,+70%
120,T-Pain - Up Down,14,17k,-5%
121,Randy Houser - Goodnight Kiss,,15k,-3%
122,Macklemore & Ryan Lewis - Same Love,56,17k,-66%
123,Bruno Mars - Runaway Baby,6,34k,+319%
124,Bruno Mars - Gorilla,76,20k,+22%
125,Jessica Bassett - Lydia,2,15k,
126,Trey Songz - Na Na,8,15k,-6%
127,Jason Derulo - Marry Me,119,15k,-9%
128,Christina Perri - A Thousand Years,6,15k,-8%
129,Flo Rida - Low,,14k,+168%
130,Zac Brown Band - Sweet Annie,80,14k,-17%
131,Broken Bells - Holding On for Life,,16k,+10%
132,Miley Cyrus - Party In the U.S.A.,,14k,+172%
133,Demi Lovato - Heart Attack,,14k,+179%
134,B.o.B - HeadBand,113,15k,-13%
135,The Beatles - In My Life,,,
136,Sevyn Streeter - It Won't Stop,67,15k,-6%
