,name,Top 100,end,change
0,Justin Bieber - What Do You Mean,14,162k,-51%
1,The Weeknd - The Hills,107,115k,-10%
2,The Weeknd - Can't Feel My Face,95,109k,-32%
3,R. City - Locked Away,57,90k,-11%
4,Macklemore & Ryan Lewis - Downtown,15,66k,-32%
5,Taylor Swift - Wildest Dreams,95,84k,+0%
6,Silento - Watch Me,152,83k,-1%
7,Selena Gomez - Same Old Love,1,11k,
8,Drake - Hotline Bling,42,64k,+17%
9,Shawn Mendes - Stitches,122,80k,+5%
10,Fetty Wap - 679,74,63k,-7%
11,Omi - Cheerleader,143,56k,-24%
12,Charlie Puth - Marvin Gaye,103,56k,-3%
13,Rachel Platten - Fight Song,163,55k,-14%
14,Elle King - Ex's & Oh's,101,41k,+6%
15,Hailee Steinfeld - Love Myself,32,42k,-1%
16,Skrillex & Diplo - Where ...,181,45k,-23%
17,Luke Bryan - Strip It Down,56,40k,-6%
18,One Direction - Drag Me Down,42,47k,-11%
19,Ed Sheeran - Photograph,122,40k,-15%
20,Demi Lovato - Cool for the Summer,72,46k,-32%
21,Major Lazer - Lean On,149,42k,-9%
22,Meghan Trainor - Like I'm Gonna Lose You,113,36k,-2%
23,Selena Gomez - Good For You,81,51k,-19%
24,"@iHeartMemphis - ""Hit the Quan"" #HTQ",49,40k,+16%
25,Rihanna - Bitch Better Have My Money,148,11k,+18%
26,Cam - Burning House,71,31k,-15%
27,Fall Out Boy - Uma Thurman,191,34k,-14%
28,X Ambassadors - Renegades,159,29k,-3%
29,Fetty Wap - My Way,56,30k,-13%
30,"Keith Urban - John Cougar, John Deere, John 3:16",94,30k,-12%
31,Sam Hunt - House Party,114,33k,-8%
32,Fetty Wap - Again,35,27k,-18%
33,Taylor Swift - Bad Blood,205,31k,-20%
34,The Killers - Mr. Brightside,1,5k,+260%
35,Chris Janson - Buy Me a Boat,132,31k,-3%
36,Calvin Harris & Disciples - How Deep Is Your Love,56,30k,+29%
37,Thomas Rhett - Crash and Burn,140,28k,+16%
38,P!NK - Today's the Day,1,3k,
39,Fetty Wap - Trap Queen,232,28k,-13%
40,WALK THE MOON - Shut Up and Dance,275,31k,-8%
41,Nick Jonas - Levels,21,24k,-17%
42,Eric Church - Like a Wrecking Ball,191,24k,-11%
43,Drake - Back To Back,42,24k,-14%
44,Little Mix - Black Magic,36,18k,-1%
45,Wiz Khalifa - Burn Slow,7,30k,
46,Alessia Cara - Here,43,21k,-6%
47,Carrie Underwood - Smoke Break,21,19k,-23%
48,Brett Eldredge - Lose My Mind,101,19k,-3%
49,Rich Homie Quan - Flex,135,20k,-16%
50,"Andy Grammer - Honey, I'm Good.",233,24k,-9%
51,Luke Bryan - Kick the Dust Up,115,22k,-17%
52,Wiz Khalifa - See You Again,185,19k,-7%
53,Old Dominion - Break up with Him,91,17k,-7%
54,Fifth Harmony - Worth It,202,20k,-29%
55,Mark Ronson - Uptown Funk,305,20k,-11%
56,"Flo Rida - I Don't Like It, I Love It",92,22k,-9%
57,Tori Kelly - Should've Been Us,64,27k,-46%
58,Ed Sheeran - Thinking Out Loud,347,18k,-14%
59,Brett Eldredge - Wanna Be That Song,7,16k,
60,Jason Derulo - Want to Want Me,185,17k,-18%
61,K CAMP - Comfortable,36,16k,+14%
62,Meek Mill - All Eyes On You,77,16k,-13%
63,5 Seconds of Summer - She's Kinda Hot,56,20k,-27%
64,Jess Glynne - Hold My Hand,32,17k,+17%
65,Jidenna - Classic Man,118,18k,-20%
66,Chris Young - I'm Comin' Over,122,14k,-17%
67,Travis Scott - Antidote,11,17k,+43%
68,Daya - Hide Away,14,17k,+26%
69,Florida Georgia Line - Anything Goes,96,16k,-6%
70,Kenny Chesney - Save It for a Rainy Day,50,14k,-12%
71,Little Big Town - Girl Crush,238,13k,-17%
72,Post Malone - White Iverson,8,11k,+0%
73,Dylan Scott - Crazy Over Me,7,15k,
74,Adam Lambert - Ghost Town,94,13k,-9%
75,Maroon 5 - Sugar,241,14k,-16%
76,The Weeknd - Earned It,256,13k,-17%
77,Jeremih - Planes,112,12k,-15%
78,a-ha - Take On Me,7,12k,
79,Jason Aldean - Tonight Looks Good On You,150,12k,-11%
80,Future - Where Ya At,28,11k,-7%
81,Beck - Dreams,12,7k,-23%
82,The Weeknd - Often,102,12k,-32%
83,Troye Sivan - WILD,4,13k,
84,DJ Khaled - All I Do Is Win,8,2k,+119%
85,Brothers Osborne - Stay a Little Longer,30,10k,-11%
86,The Weeknd - Prisoner,14,13k,-71%
87,Sam Hunt - Take Your Time,294,12k,-13%
88,Eazy-E - Boyz-N-The-Hood,28,14k,-24%
89,Cold War Kids - First,15,11k,-11%
90,Maddie & Tae - Fly,28,11k,-33%
91,Nathaniel Rateliff & The Night Sweats - S.O.B.,8,10k,-12%
92,Rae Sremmurd - This Could Be Us,69,12k,-13%
93,Taylor Swift - Shake It Off,387,11k,-7%
94,Bring Me the Horizon - Avalanche,1,1k,
95,Pentatonix - Can't Sleep Love,7,19k,
96,Disclosure - Omen,38,10k,-20%
97,DJ Snake & AlunaGeorge - You Know You Like It,164,10k,-9%
98,Dustin Lynch - Hell of a Night,46,11k,-16%
99,Nelly - The Fix,22,9k,-30%
100,Zedd - Beautiful Now,100,11k,-18%
101,The Weeknd - Acquainted,11,10k,-51%
102,David Guetta - Hey Mama,175,10k,-19%
103,Jason Derulo - Cheyenne,30,11k,-12%
104,Five Finger Death Punch - Jekyll and Hyde,21,10k,-0%
105,Taylor Swift - Style,296,10k,-11%
106,Danielle Bradbery - Friend Zone,2,9k,+49%
107,Zac Brown Band - Loving You Easy,120,10k,-20%
108,Wes Walker & Dyl - Jordan Belfort,1,9k,+5%
109,Drake - Energy,87,9k,-7%
110,twenty one pilots - Stressed Out,29,9k,-13%
