,name,Top 100,end,change
0,Drake - Summer Sixteen,6,213k,
1,Rihanna - Work,9,160k,+26%
2,ZAYN - PILLOWTALK,8,258k,
3,Flo Rida - My House,104,106k,+7%
4,Justin Bieber - Love Yourself,84,111k,-7%
5,twenty one pilots - Stressed Out,164,107k,-7%
6,"G-Eazy & Bebe Rexha - Me, Myself & I",98,63k,-2%
7,Charlie Puth - One Call Away,81,70k,+17%
8,Adele - Hello,105,64k,-6%
9,The Chainsmokers - Roses,127,56k,-7%
10,Justin Bieber - Sorry,105,61k,-7%
11,Selena Gomez - Hands To Myself,67,61k,-7%
12,Lukas Graham - 7 Years,20,41k,+65%
13,DNCE - Cake By the Ocean,119,42k,+8%
14,Adele - When We Were Young,77,37k,-2%
15,Thomas Rhett - Die a Happy Man,140,37k,-10%
16,Coldplay - Adventure of a Lifetime,89,27k,+48%
17,Shawn Mendes & Camila Cabello - I Know What You Di...,79,36k,-1%
18,Daya - Hide Away,161,32k,-11%
19,Rachel Platten - Stand By You,123,33k,-3%
20,Mike Posner - I Took a Pill In Ibiza,23,24k,+29%
21,Cole Swindell - You Should Be Here,53,27k,+9%
22,Shawn Mendes - Stitches,269,27k,-7%
23,Kevin Gates - 2 Phones,30,26k,+58%
24,Jason Derulo - Get Ugly,45,26k,+8%
25,Sam Hunt - Break Up In a Small Town,191,27k,-3%
26,Brett Eldredge - Drunk On Your Love,30,24k,+7%
27,Rihanna - Needed Me,7,26k,
28,Maren Morris - My Church,16,22k,+28%
29,Meghan Trainor - Like I'm Gonna Lose You,260,25k,-13%
30,Elle King - Ex's & Oh's,248,25k,-7%
31,The Weeknd - In the Night,79,24k,-16%
32,Luke Bryan - Home Alone Tonight,81,23k,-7%
33,Alessia Cara - Here,190,24k,-18%
34,Justin Bieber - What Do You Mean,161,24k,-8%
35,Selena Gomez - Same Old Love,148,25k,-23%
36,Kevin Gates - Really Really,45,21k,+44%
37,Drake & Future - Jumpman,137,22k,-5%
38,Drake - Hotline Bling,189,21k,-6%
39,Tim McGraw - Humble and Kind,15,17k,-33%
40,Yo Gotti - Down in the DM,51,19k,-10%
41,Fall Out Boy - Irresistible,95,28k,-8%
42,Fetty Wap - 679,221,20k,-5%
43,Sia - Alive,63,18k,+49%
44,Travis Scott - Antidote,158,19k,-13%
45,Post Malone - White Iverson,155,19k,-21%
46,Disturbed - The Sound of Silence,40,17k,+16%
47,Wiz Khalifa - Bake Sale,14,16k,-61%
48,James Bay - Let It Go,85,14k,-4%
49,Bryson Tiller - Don't,75,17k,+0%
50,Carrie Underwood - Heartbeat,50,17k,+7%
51,Zac Brown Band - Beautiful Drug,89,16k,+5%
52,Kevin Gates - Jam,7,20k,
53,Taylor Swift - Out Of The Woods,67,16k,+1%
54,One Direction - Perfect,112,19k,-22%
55,Coldplay - Hymn for the Weekend,10,16k,
56,Rachel Platten - Fight Song,310,16k,-8%
57,Dierks Bentley - Somewhere on a Beach,17,14k,-36%
58,The Weeknd - The Hills,254,16k,-6%
59,Chris Stapleton - Nobody To Blame,54,14k,-5%
60,Andy Grammer - Good To Be Alive,84,16k,-20%
61,Robin Schulz - Sugar,20,13k,-5%
62,Zara Larsson & MNEK - Never Forget You,7,13k,+165%
63,Florida Georgia Line - Confession,41,13k,+9%
64,Tory Lanez - Say It,80,14k,+7%
65,Demi Lovato - Confident,134,16k,-23%
66,Zendaya - Something New,1,3k,
67,Chris Brown - Back To Sleep,54,13k,+15%
68,Jeremih - Oui,14,13k,+10%
69,Chris Stapleton - Tennessee Whiskey,91,14k,-9%
