,name,Top 100,end,change
0,Wiz Khalifa - See You Again,62,259k,-10%
1,WALK THE MOON - Shut Up and Dance,152,139k,-1%
2,Fetty Wap - Trap Queen,109,120k,+13%
3,Jason Derulo - Want to Want Me,62,106k,-8%
4,"Andy Grammer - Honey, I'm Good.",110,97k,-7%
5,T-Wayne - Nasty Freestyle,34,101k,-4%
6,The Weeknd - Earned It,133,91k,+11%
7,David Guetta - Hey Mama,55,92k,-1%
8,Mark Ronson - Uptown Funk,182,78k,-12%
9,Maroon 5 - Sugar,118,80k,-4%
10,Tove Lo - Talking Body,95,75k,+20%
11,Meghan Trainor - Dear Future Husband,197,69k,+8%
12,Little Big Town - Girl Crush,115,74k,-7%
13,Flo Rida - GDFR,194,71k,-11%
14,Fifth Harmony - Worth It,79,64k,+3%
15,Ellie Goulding - Love Me Like You Do,123,58k,-2%
16,Ed Sheeran - Thinking Out Loud,224,57k,+4%
17,DJ Snake & AlunaGeorge - You Know You Like It,51,55k,+12%
18,Nick Jonas - Chains,109,50k,-15%
19,Skrillex & Diplo - Where ...,58,49k,+16%
20,Rachel Platten - Fight Song,40,54k,-0%
21,Blake Shelton - Sangria,32,49k,-14%
22,Natalie La Rose - Somebody,105,49k,-12%
23,Sam Hunt - Take Your Time,171,44k,-1%
24,Britney Spears & Iggy Azalea - Pretty Girls,7,98k,
25,George Ezra - Budapest,89,40k,+14%
26,Omi - Cheerleader,20,34k,+35%
27,Sam Smith - Lay Me Down,99,44k,-2%
28,Sheppard - Geronimo,150,39k,+10%
29,Echosmith - Bright,58,37k,+11%
30,Taylor Swift - Style,196,34k,-9%
31,Zac Brown Band - Homegrown,119,33k,-20%
32,Ariana Grande - One Last Time,86,30k,+12%
33,X Ambassadors - Renegades,36,33k,-1%
34,Florida Georgia Line - Sippin' On Fire,66,29k,-1%
35,Miguel - Coffee,6,46k,
36,Eric Church - Like a Wrecking Ball,68,29k,-0%
37,Rihanna - Bitch Better Have My Money,46,34k,-10%
38,Sia - Elastic Heart,137,26k,+10%
39,Omarion - Post To Be,89,28k,-4%
40,LunchMoney Lewis - Mama,1,9k,
41,Mumford & Sons - Believe,63,28k,+41%
42,A$AP Rocky - Everyday,3,14k,
43,Trey Songz - Slow Motion,79,26k,+3%
44,Major Lazer - Lean On,26,23k,+11%
45,Pitbull & Ne-Yo - Time of Our Lives,160,24k,-2%
46,Taylor Swift - Shake It Off,266,23k,-7%
47,A Thousand Horses - Smoke,79,25k,+4%
48,Fall Out Boy - Centuries,248,23k,+15%
49,Taylor Swift - Blank Space,196,21k,-4%
50,Rihanna and Kanye West and Paul McCartney - FourFi...,106,24k,-23%
51,Carly Rae Jepsen - I Really Like You,49,23k,+42%
52,Billy Currington - Don't It,63,23k,+1%
53,Fall Out Boy - Uma Thurman,68,20k,+9%
54,Nicki Minaj - Truffle Butter,109,22k,-12%
55,Tyler Farr - A Guy Walks Into a Bar,99,19k,+10%
56,Nate Ruess - Nothing Without Love,33,21k,-10%
57,Jason Aldean - Tonight Looks Good On You,38,19k,+4%
58,Canaan Smith - Love You Like That,55,20k,+3%
59,LunchMoney Lewis - Bills,60,16k,-12%
60,Hozier - Take Me to Church,284,18k,-9%
61,Kelly Clarkson - Heartbeat Song,119,17k,-9%
62,Vance Joy - Riptide,330,17k,-5%
63,Shaggy - I Need Your Love,9,18k,+38%
64,Meghan Trainor - All About That Bass,308,16k,-3%
65,Rae Sremmurd - Throw Sum Mo,129,20k,-10%
66,Meghan Trainor - Lips Are Movin,202,17k,-3%
67,Silento - Watch Me,29,29k,+12%
68,Tori Kelly - Nobody Love,75,23k,-45%
69,Kelsea Ballerini - Love Me Like You Mean It,45,17k,+22%
70,Thomas Rhett - Crash and Burn,17,16k,+25%
71,Lee Brice - Drinking Class,216,16k,-14%
72,Rich Homie Quan - Flex,12,18k,+15%
73,Dillon Francis & DJ Snake - Get Low,46,16k,-11%
74,Zedd - I Want You to Know,77,16k,-20%
75,twenty one pilots - Stressed Out,13,17k,-44%
76,Carrie Underwood - Little Toy Guns,60,15k,-2%
77,Ciara - I Bet,45,17k,+45%
78,Kanye West - All Day,68,14k,-4%
79,Keith Urban - Raise 'Em Up,24,14k,-3%
80,Nick Jonas - Jealous,243,14k,-11%
81,Ryn Weaver - OctaHate,13,15k,+5%
82,Florence + The Machine - Ship To Wreck,1,5k,+90%
83,Tim McGraw - Diamond Rings and Old Barstools,36,14k,-6%
