,name,Top 100,end,change
0,Meghan Trainor - All About That Bass,126,190k,+41%
1,Taylor Swift - Blank Space,14,177k,+12%
2,Taylor Swift - Shake It Off,84,171k,-3%
3,Hozier - Take Me to Church,102,124k,+14%
4,Maroon 5 - Animals,78,115k,+3%
5,Selena Gomez - The Heart Wants What It Wants,4,102k,
6,One Direction - Ready to Run,4,150k,
7,"Jessie J, Ariana Grande & Nicki Minaj - Bang Bang",104,82k,+17%
8,Carrie Underwood - Something in the Water,42,83k,+144%
9,One Direction - Steal My Girl,42,69k,+30%
10,Sam Smith - I'm Not the Only One,65,85k,+19%
11,Nick Jonas - Jealous,63,68k,+38%
12,Tove Lo - Habits,156,80k,+3%
13,Jason Derulo - Trumpets,173,73k,+2%
14,Fall Out Boy - Centuries,66,66k,+3%
15,Meghan Trainor - Lips Are Movin,20,61k,+81%
16,I LOVE MAKONNEN - Tuesday,56,67k,+34%
17,Big Sean - I Don't Fuck With You,50,57k,+27%
18,Jeremih - Don't Tell 'Em,143,55k,-12%
19,Ed Sheeran - Don't,150,54k,+2%
20,Calvin Harris - Blame,64,57k,+18%
21,Iggy Azalea - Black Widow,128,52k,-19%
22,Ariana Grande & The Weeknd - Love Me Harder,36,55k,+67%
23,Mr. Probz - Waves,89,51k,+15%
24,Pitbull - Fireball,108,48k,-15%
25,Shawn Mendes - Something Big,4,41k,
26,Echosmith - Cool Kids,130,48k,-9%
27,Tim McGraw - Shotgun Rider,55,49k,+78%
28,Clean Bandit - Rather Be feat. Jess Glynne,143,40k,-7%
29,Nicki Minaj - Only,12,61k,-20%
30,Foo Fighters - What Did I Do / God As My Witness,3,59k,
31,Jason Aldean - Burnin' It Down,111,45k,+16%
32,Little Big Town - Day Drinking,141,42k,+165%
33,Vance Joy - Riptide,148,36k,+22%
34,Sam Hunt - Leave the Night On,145,43k,-7%
35,Sia - Chandelier,189,44k,+9%
36,Bobby Shmurda - Hot N*gga,95,37k,+0%
37,Fall Out Boy - Immortals,6,14k,
38,Iggy Azalea - Beg For It,17,35k,-8%
39,Rae Sremmurd - No Type,42,33k,+11%
40,Sam Smith - Stay With Me,227,35k,+0%
41,Fergie - L.A.LOVE,41,32k,+17%
42,Milky Chance - Stolen Dance,123,33k,+7%
43,Florida Georgia Line - Dirt,125,36k,+31%
44,Nicki Minaj - Anaconda,98,30k,-8%
45,Blake Shelton - Neon Light,84,31k,+21%
46,Keith Urban - Somewhere In My Car,50,31k,+91%
47,Taylor Swift - Style,14,35k,-51%
48,Maddie & Tae - Girl In a Country Song,109,24k,+24%
49,Meghan Trainor - Dear Future Husband,61,26k,+35%
50,Rich Gang - Lifestyle,99,27k,-5%
51,Maroon 5 - Maps,147,24k,-4%
52,Taylor Swift - Bad Blood,14,29k,-45%
53,Alesso - Heroes,51,25k,+18%
54,Ariana Grande - Break Free,131,24k,-6%
55,Brad Paisley - Perfect Storm,45,28k,+67%
56,Ella Henderson - Ghost,15,36k,+4%
57,Taylor Swift - Wildest Dreams,14,29k,-47%
58,Enrique Iglesias - Bailando,172,21k,-3%
59,Kenny Chesney - American Kids,135,23k,+55%
60,5 Seconds of Summer - Amnesia,132,21k,-15%
61,Drake - 0 To 100 / The Catch Up,117,22k,-7%
62,David Guetta - Dangerous,34,22k,+24%
63,Colbie Caillat - Try,103,21k,+7%
64,Foo Fighters - Congregation,10,20k,-61%
65,Eric Church - Talladega,26,23k,+17%
66,Foo Fighters - Something From Nothing,19,17k,+7%
67,Lee Brice - Drinking Class,36,21k,+8%
68,DJ Snake & Lil Jon - Turn Down For What,324,19k,+1%
69,Florida Georgia Line - Sun Daze,40,19k,+38%
70,Imagine Dragons - I Bet My Life,14,31k,-55%
71,Kendrick Lamar - i,48,22k,+7%
72,Ed Sheeran - Thinking Out Loud,42,18k,+13%
73,Chris Brown - New Flame,98,20k,+4%
74,Nico & Vinz - In Your Arms,29,19k,+9%
75,Frankie Ballard - Sunshine & Whiskey,135,19k,+9%
76,Pharrell Williams - Happy,314,17k,-0%
77,Taylor Swift - Welcome To New York,21,22k,-51%
78,Iggy Azalea - Fancy,242,17k,-8%
79,Meghan Trainor - Title,38,18k,+28%
80,RaeLynn - God Made Girls,10,17k,+25%
81,Kongos - Come With Me Now,226,18k,+6%
82,Charli XCX - Boom Clap,159,17k,-4%
83,Dierks Bentley - Drunk On a Plane,159,21k,+109%
84,Miranda Lambert - Somethin' Bad,164,20k,+53%
85,"Trey Songz - Touchin, Lovin",46,17k,+8%
86,MAGIC! - Rude,196,18k,+13%
87,Gwen Stefani - Baby Don't Lie,21,19k,-29%
88,Coldplay - A Sky Full of Stars,191,17k,-12%
89,Luke Bryan - Roller Coaster,127,19k,+45%
90,Idina Menzel - Let It Go,313,14k,+8%
91,Foo Fighters - The Feast and the Famine,12,14k,-10%
92,Lady Antebellum - Bartender,155,19k,+99%
93,John Legend - All of Me,393,16k,+5%
94,Rae Sremmurd - No Flex Zone,73,15k,-5%
95,The Script - Superheroes,49,15k,+5%
96,Mary Lambert - Secrets,61,16k,-12%
97,Taylor Swift - Out Of The Woods,28,19k,-51%
98,Ariana Grande - Problem,185,14k,+9%
99,DJ Khaled - Hold You Down,53,17k,+9%
100,Flo Rida - GDFR,20,20k,-41%
101,Dej Loaf - Try Me,6,16k,+17%
102,Lana Del Rey - Once Upon a Dream,21,11k,
103,Bring Me the Horizon - Drown,5,20k,
104,Disclosure - Latch,237,15k,+1%
105,Thomas Rhett - Make Me Wanna,1,15k,+26%
106,Bahamas - All the Time,,8k,+144%
107,Luke Bryan - Play It Again,201,15k,+43%
108,Katy Perry - This Is How We Do,84,13k,-12%
109,Brett Eldredge - Mean To Me,8,14k,+25%
110,Taylor Swift - How You Get the Girl,11,16k,-47%
111,Meghan Trainor - Close Your Eyes,6,14k,+31%
112,Nico & Vinz - Am I Wrong,194,13k,-3%
113,Sheppard - Geronimo,,13k,+8%
114,Fall Out Boy - My Songs Know What You Did In the D...,145,11k,+16%
115,WALK THE MOON - Shut Up and Dance,3,13k,+15%
116,Tinashe - 2 On,151,13k,-2%
117,OneRepublic - Love Runs Out,184,12k,-1%
118,Lee Brice - I Don't Dance,188,13k,+36%
119,Jessie J - Burnin' Up,13,12k,-3%
120,Kid Ink - Body Language,10,12k,+6%
121,Miranda Lambert - Smokin' and Drinkin',4,15k,
122,Calvin Harris - Outside,14,14k,-20%
123,Lorde - Yellow Flicker Beat,12,12k,+95%
124,Sam Hunt - Make You Miss Me,11,16k,-21%
125,Becky G - Shower,135,11k,-3%
126,T.I. - No Mediocre,133,12k,-14%
127,MisterWives - Reflections,1,10k,+8%
128,Sam Hunt - Break Up In a Small Town,50,13k,-11%
129,Scotty McCreery - Feelin' It,,11k,+14%
130,OneRepublic - Counting Stars,368,10k,+0%
131,Taylor Swift - All You Had To Do Was Stay,9,13k,-46%
132,The Weeknd - Often,10,12k,+15%
133,Chase Rice - Ready Set Roll,194,14k,-11%
134,T.I. - About the Money,17,12k,-7%
135,Blake Shelton - Lonely Tonight,8,12k,
136,Nick Jonas - Teacher,3,21k,
137,Eminem - Guts Over Fear,24,15k,+284%
138,Jennifer Lopez - Booty,26,11k,+4%
139,Big Data - Dangerous,,10k,+6%
140,Kiesza - Hideaway,93,9k,-3%
141,Bebe Rexha - I Can't Stop Drinking About You,2,10k,+5%
142,Florida Georgia Line - This Is How We Roll,296,10k,+17%
143,Robin Schulz & LILLYWOOD - Prayer in C,,10k,+27%
144,MKTO - MKTO,,10k,+13%
145,Wiz Khalifa - We Dem Boyz,131,9k,-6%
146,Darius Rucker - Homegrown Honey,9,10k,+7%
147,Mat Kearney - Heartbeat,2,13k,
148,Katy Perry - Dark Horse,366,9k,-2%
149,Sam Hunt - Take Your Time,5,12k,-29%
150,Fifth Harmony - Bo$$,80,9k,-13%
151,Shawn Mendes - Life of the Party,44,8k,+10%
152,Wiz Khalifa - You and Your Friends,6,9k,-6%
153,Parmalee - Close Your Eyes,,10k,+14%
154,Queen - Let Me In Your Heart Again,,12k,
155,OneRepublic - I Lived,8,8k,+34%
156,Tim McGraw - Meanwhile Back At Mama's,133,10k,+101%
157,Chris Young - Lonely Eyes,,10k,+23%
158,Calvin Harris - Open Wide,10,14k,-50%
159,Ne-Yo - She Knows,7,9k,+10%
160,Bea Miller - Young Blood,,8k,+100%
161,Big & Rich - Look at You,3,10k,+4%
162,Miranda Lambert - Automatic,110,10k,
163,The Band Perry - Gentle On My Mind,2,11k,
164,Brantley Gilbert - Small Town Throwdown,115,9k,-4%
165,Migos - Fight Night,15,7k,-8%
166,Christina Perri - A Thousand Years,10,8k,+0%
167,The Vamps - Somebody To You,8,8k,+86%
168,Chase Rice - Ride,,11k,+3%
169,"Pink Floyd - Side 3, pt. 4: Allons-y",3,18k,
170,Hillsong United - Oceans,33,6k,-0%
171,Cole Swindell - Hope You Get Lonely Tonight,146,10k,+57%
172,Slaughterhouse - Y'all Ready Know,3,15k,
173,MercyMe - Greater,1,8k,+2%
174,Imagine Dragons - Radioactive,240,8k,-14%
175,Taylor Swift - I Know Places,4,10k,-43%
176,Calvin Harris - Summer,181,9k,-12%
177,Taylor Swift - This Love,5,11k,-52%
178,Imagine Dragons - Warriors,21,9k,-26%
179,Bastille - Pompeii,329,7k,-2%
180,Jacob Whitesides - Words,2,10k,
181,Ty Dolla $ign - Or Nah,55,8k,-3%
182,Pitbull - Timber,293,6k,-10%
183,Cole Swindell - Ain't Worth the Whiskey,11,8k,+24%
184,Jamie Scott - Unbreakable,,5k,
185,Randy Houser - Like a Cowboy,,7k,+27%
186,Taylor Swift - Clean,5,10k,-54%
187,Jake Owen - What We Ain't Got,6,8k,+14%
188,Luke Bryan - That's My Kind of Night,191,7k,+58%
189,Fifth Harmony - Sledgehammer,4,8k,-67%
190,Thomas Rhett - Get Me Some of That,165,11k,+375%
191,Kacey Musgraves - Follow Your Arrow,23,9k,
192,Nick Jonas - Chains,4,5k,+34%
193,Arctic Monkeys - Do I Wanna Know,84,7k,+12%
194,MKTO - Classic,215,6k,-8%
195,Katy Perry - Roar,255,6k,-9%
196,One Direction - Story Of My Life,215,6k,+0%
197,David Nail - Kiss You Tonight,,6k,+22%
198,Mariah Carey - All I Want For Christmas Is You,31,5k,+151%
199,Migos - Handsome and Wealthy,,7k,-5%
200,Florida Georgia Line - Cruise,247,6k,+20%
201,CHVRCHES - Dead Air,2,10k,
202,alt-J - Left Hand Free,6,6k,-6%
203,Imagine Dragons - Demons,262,6k,-20%
204,Christina Perri - Human,190,7k,-35%
205,Jason Derulo - Wiggle,141,6k,-13%
206,Adam Levine - Lost Stars,,6k,+4%
207,Passenger - Let Her Go,252,6k,+1%
208,AC/DC - Thunderstruck,,5k,+11%
209,August Alsina - No Love,12,7k,+6%
210,Brantley Gilbert - Bottoms Up,235,6k,+17%
211,Snootie Wild - Made Me,,5k,+2%
212,Nickelback - What Are You Waiting For,8,8k,+169%
213,AWOLNATION - Sail,210,6k,-8%
214,Taylor Swift - I Wish You Would,5,8k,-52%
215,Queen - Bohemian Rhapsody,,5k,+18%
216,Bobby Shmurda - Bobby Bitch,4,6k,-10%
217,"Steve Aoki, Chris Lake & Tujamo - Delirious",61,6k,-24%
218,Taylor John Williams - Mad World,6,11k,-46%
219,American Authors - Best Day of My Life,271,5k,-15%
220,Charli XCX - Break the Rules,,5k,+4%
221,Nick Jonas - Numb,3,6k,+46%
222,Billy Idol - Mony Mony,,4k,+87%
223,Kenny Chesney - Til It's Gone,,5k,+23%
224,Jay Rock - Pay for It,5,9k,-30%
225,Melanie Martinez - Dollhouse,,6k,+3%
226,Bastille - Flaws,3,9k,-30%
227,Jack and Jack - Wild Life,12,5k,+34%
228,Ed Sheeran - Sing,150,5k,-6%
229,Melanie Martinez - Carousel,6,6k,-17%
230,5 Seconds of Summer - She Looks So Perfect,155,4k,-2%
231,Chase Bryant - Take It On Back,,5k,+21%
232,Jason Derulo - Talk Dirty,210,5k,-7%
233,Five for Fighting - All for One,,3k,
234,Dierks Bentley - Say You Do,,6k,+35%
235,Dan + Shay - Show You Off,2,6k,+12%
