,name,Top 100,end,change
0,Ed Sheeran - Shape of You,63.0,163k,+15%
1,Bruno Mars - That's What I Like,53.0,96k,+26%
2,Clean Bandit - Rockabye,68.0,65k,+94%
3,Sam Hunt - Body Like a Back Road,37.0,64k,-0%
4,The Chainsmokers & Coldplay - Something Just Like ...,16.0,56k,-35%
5,Lady Gaga - Million Reasons,151.0,50k,-8%
6,Maroon 5 - Cold,24.0,41k,+80%
7,Imagine Dragons - Believer,38.0,40k,+117%
8,Katy Perry - Chained to the Rhythm,28.0,43k,-3%
9,Ed Sheeran - Perfect,7.0,46k,
10,Julia Michaels - Issues,51.0,35k,-3%
11,Kygo & Selena Gomez - It Ain't Me,22.0,33k,+0%
12,James Arthur - Say You Won't Let Go,132.0,35k,+1%
13,Future - Mask Off,18.0,24k,+79%
14,Marian Hill - Down,55.0,37k,-19%
15,KYLE - iSpy,68.0,34k,+6%
16,The Chainsmokers - Paris,56.0,37k,-3%
17,ZAYN & Taylor Swift - I Don't Wanna Live Forever,92.0,36k,-22%
18,Shawn Mendes - Mercy,145.0,36k,-5%
19,Rihanna - Love on the Brain,150.0,32k,-5%
20,Zedd & Alessia Cara - Stay,15.0,30k,-38%
21,Bruno Mars - 24K Magic,154.0,35k,+0%
22,Noah Cyrus - Make Me,100.0,30k,+88%
23,The Weeknd - I Feel It Coming,112.0,29k,-11%
24,Justin Timberlake - CAN'T STOP THE FEELING,308.0,33k,-34%
25,Auli'i Cravalho - How Far I'll Go,98.0,23k,-13%
26,Ed Sheeran - Castle on the Hill,63.0,23k,+129%
27,Kodak Black - Tunnel Vision,21.0,21k,-8%
28,Migos - Bad and Boujee,119.0,25k,-17%
29,Big Sean - Bounce Back,121.0,22k,+10%
30,Train - Play That Song,140.0,22k,-6%
31,Ayo Teo - Rolex,26.0,19k,+41%
32,Lorde - Liability,1.0,3k,
33,Jon Pardi - Dirt on My Boots,155.0,21k,-5%
34,Jon Bellion - All Time Low,161.0,23k,-20%
35,Rae Sremmurd - Swang,38.0,19k,+72%
36,Bebe Rexha - I Got You,67.0,22k,-13%
37,Brett Young - In Case You Didn't Know,117.0,18k,+12%
38,Little Big Town - Better Man,138.0,22k,-29%
39,Keith Urban - The Fighter,43.0,20k,-6%
40,Ed Sheeran - Dive,7.0,28k,
41,The Chainsmokers - Closer,224.0,20k,-5%
42,Machine Gun Kelly & Camila Cabello - Bad Things,138.0,19k,-19%
43,Khalid - Location,24.0,16k,+82%
44,Calvin Harris - Slide,14.0,17k,-56%
45,Luke Combs - Hurricane,44.0,14k,+9%
46,"Florida Georgia Line - God, Your Mama, And Me",30.0,16k,-19%
47,Ed Sheeran - Galway Girl,7.0,18k,
48,DJ Khaled - Shining,25.0,14k,+21%
49,"Lil Uzi Vert, Quavo & Travis Scott - Go Off",7.0,18k,
50,Drake - Fake Love,137.0,16k,-14%
51,LINKIN PARK & Kiiara - Heavy,22.0,11k,-11%
52,Post Malone - Congratulations,51.0,13k,+0%
53,Ed Sheeran - Thinking Out Loud,512.0,13k,+65%
54,Sabrina Carpenter - Thumbs,22.0,14k,+3%
55,Michael Ray - Think a Little Less,86.0,13k,-6%
56,Fitz & The Tantrums - HandClap,276.0,14k,-34%
57,Coldplay - Hypnotised,8.0,18k,
58,MercyMe - Even If,17.0,12k,-2%
59,The Notorious B.I.G. - Hypnotize,1.0,8k,+28%
60,Childish Gambino - Redbone,22.0,12k,+72%
61,Alessia Cara - Scars To Your Beautiful,184.0,13k,+1%
62,The Weeknd - Starboy,169.0,13k,-11%
63,DJ Snake - Let Me Love You,217.0,12k,-5%
64,Maroon 5 - Don't Wanna Know,149.0,12k,-6%
65,Ed Sheeran - Happier,7.0,18k,
66,Alessia Cara - How Far I'll Go,90.0,11k,-4%
67,Ed Sheeran - Supermarket Flowers,7.0,14k,
68,Keith Urban - Blue Ain't Your Color,210.0,12k,+3%
69,Migos - T-Shirt,56.0,11k,-4%
70,Ariana Grande - Everyday,13.0,11k,+6%
71,Dwayne Johnson - You're Welcome,63.0,9k,+3%
72,Kaleo - Way Down We Go,92.0,8k,+8%
73,Future - Selfish,14.0,11k,-74%
74,Jason Aldean - Any Ol' Barstool,43.0,10k,+13%
75,Calum Scott - Dancing On My Own,65.0,11k,-17%
76,Luis Fonsi - Despacito,50.0,10k,+4%
77,twenty one pilots - Heathens,266.0,11k,-6%
78,Hey Violet - Guys My Age,73.0,11k,-26%
79,Luke Bryan - Fast,33.0,11k,+10%
80,Lady Antebellum - You Look Good,41.0,9k,-17%
81,Nashville Cast - Sanctuary,2.0,8k,
82,Mike WiLL Made-It - Gucci On My,7.0,10k,
83,Starley - Call on Me,34.0,9k,-7%
84,Ariana Grande - Side To Side,199.0,9k,-4%
85,Ariana Grande & John Legend - Beauty and the Beast,14.0,7k,+173%
86,Hillsong Worship - What a Beautiful Name,36.0,9k,+0%
87,Josh Turner - Hometown Girl,10.0,8k,+1%
88,Travis Scott - goosebumps,41.0,8k,+0%
89,Chris Brown - Party,72.0,9k,-4%
90,Rae Sremmurd - Black Beatles,168.0,9k,-14%
91,Dustin Lynch - Small Town Boy,17.0,8k,-29%
92,Zac Brown Band - My Old Man,34.0,9k,-34%
93,Adele - Water Under the Bridge,135.0,8k,-5%
94,Chris Stapleton - Tennessee Whiskey,279.0,8k,-3%
95,Brantley Gilbert - The Weekend,85.0,8k,-2%
96,Dierks Bentley - Black,54.0,8k,-0%
97,Imagine Dragons - Radioactive,251.0,8k,+294%
98,Niall Horan - This Town,159.0,8k,-48%
99,Gucci Mane - Both,63.0,8k,-0%
100,Russ - Losin Control,1.0,7k,+6%
101,LANco - American Love Story,3.0,8k,+64%
102,Neil Young - Harvest Moon,4.0,5k,
103,Disturbed - The Sound of Silence,410.0,8k,-13%
104,Future - Comin Out Strong,9.0,8k,-66%
105,"The Notorious B.I.G., Mase & Puff Daddy - Mo Money...",,4k,+44%
106,Amine - Caroline,177.0,8k,-17%
107,Sia - The Greatest,178.0,8k,-11%
108,Ed Sheeran - New Man,6.0,9k,
109,Anna Kendrick & Justin Timberlake - True Colors,57.0,8k,-9%
110,Xxxtentacion - Look at Me,1.0,7k,+9%
111,Ed Sheeran - Save Myself,7.0,10k,
112,Florida Georgia Line - May We All,190.0,7k,-4%
113,Opetaia Foa'i & Lin-Manuel Miranda - We Know the W...,16.0,5k,-2%
114,Mark Ronson - Uptown Funk,587.0,8k,+0%
115,Thomas Rhett - Star of the Show,145.0,7k,+6%
116,High Valley - Make You Mine,56.0,7k,-12%
117,Lauren Alaina - Road Less Traveled,36.0,7k,-2%
118,Imagine Dragons - Demons,266.0,6k,+389%
119,Kelsea Ballerini - Yeah Boy,8.0,7k,+9%
120,AJR - Weak,,6k,+12%
121,Phil Collins - In the Air Tonight,13.0,7k,+9%
122,Plain White T's & Thomas John Higgenson - Hey Ther...,13.0,8k,-13%
123,Andra Day - Rise Up,100.0,6k,-25%
124,twenty one pilots - Heavydirtysoul,,6k,+2%
125,Darius Rucker - If I Told You,12.0,6k,+2%
126,Dan + Shay - When I Pray For You,11.0,7k,+16%
127,Ed Sheeran - Nancy Mulligan,,7k,
128,Johnny Cash - Hurt,11.0,7k,+136%
129,The Chainsmokers - Don't Let Me Down,372.0,7k,+3%
130,Chris Lane - For Her,12.0,6k,+22%
131,twenty one pilots - Stressed Out,498.0,6k,-4%
132,Florida Georgia Line - H.O.L.Y.,258.0,6k,-6%
133,Shawn Mendes - Treat You Better,240.0,6k,-1%
134,Dylan Scott - My Girl,,5k,-3%
135,Lorde - Green Light,8.0,55k,+337%
136,Lana Del Rey - Love,14.0,7k,-70%
137,Panic! At the Disco - Death of a Bachelor,54.0,6k,-10%
138,Ed Sheeran - Photograph,221.0,6k,+54%
139,Hailee Steinfeld & Grey - Starving,196.0,6k,-10%
140,Chris Young - Sober Saturday Night,20.0,6k,-12%
141,Eric Church - Kill a Word,77.0,6k,-5%
142,Sia - Cheap Thrills,344.0,6k,-8%
143,Chris Janson - Holdin' Her,21.0,7k,-27%
144,Rag'n'Bone Man - Human,11.0,6k,-12%
145,Blake Shelton - A Guy With a Girl,96.0,6k,-5%
146,D.R.A.M. - Broccoli,252.0,6k,-8%
147,"Daya - Sit Still, Look Pretty",279.0,6k,-31%
148,Ed Sheeran - How Would You Feel,13.0,8k,-1%
149,Migos - Slippery,8.0,5k,-10%
150,Miley Cyrus - The Climb,1.0,5k,
151,Martin Garrix & Dua Lipa - Scared to Be Lonely,8.0,4k,+19%
152,Ed Sheeran - Barcelona,1.0,7k,
153,The Weeknd - Party Monster,70.0,6k,-11%
154,"Nicki Minaj, Drake & Lil Wayne - No Frauds",,,
155,Brothers Osborne - It Ain't My Fault,,5k,-3%
156,Leon Bridges - River,10.0,9k,-27%
157,Lukas Graham - 7 Years,307.0,6k,-9%
158,Sage the Gemini - Now and Later,9.0,5k,+40%
159,Ed Sheeran - What Do I Know,2.0,7k,
160,Meghan Trainor - Me Too,178.0,4k,-1%
161,Duran Duran - Ordinary World,1.0,3k,
162,The Revivalists - Wish I Knew You,,5k,+8%
163,Trey Songz - Song Goes Off,,6k,
164,Big Sean - Moves,14.0,5k,+12%
165,John Legend - Love Me Now,126.0,6k,-17%
166,Adele - Hello,240.0,5k,-13%
167,twenty one pilots - Ride,303.0,5k,-12%
168,Michael Kiwanuka - Cold Little Heart,,3k,+137%
169,"Christopher Jackson, Rachel House, Nicole Scherzin...",6.0,3k,+19%
170,6LACK - Prblms,,4k,-6%
171,Remy Ma - Shether,7.0,9k,-36%
172,Zay Hilfigerrr & Zayion McCall - Juju on That Beat,49.0,5k,-8%
173,Adele - Send My Love,254.0,4k,-7%
174,Rachel Platten - Fight Song,408.0,4k,+2%
175,Dan + Shay - How Not To,,4k,-8%
176,Flo Rida - My House,396.0,5k,-14%
177,Steve Aoki & Louis Tomlinson - Just Hold On,23.0,3k,-12%
178,Anna Kendrick - Get Back Up Again,,5k,-3%
179,Thomas Rhett - Die a Happy Man,329.0,5k,-2%
