,name,Top 100,end,change
0,Omi - Cheerleader,115,117k,-8%
1,The Weeknd - Can't Feel My Face,67,123k,-12%
2,Major Lazer - Lean On,121,89k,+26%
3,R. City - Locked Away,29,67k,+33%
4,Lana Del Rey - High By the Beach,4,68k,
5,Fetty Wap - Again,7,88k,
6,Silento - Watch Me,124,87k,-7%
7,The Weeknd - The Hills,79,76k,-1%
8,Rachel Platten - Fight Song,135,82k,-19%
9,Selena Gomez - Good For You,53,71k,-4%
10,Fetty Wap - 679,46,62k,-2%
11,One Direction - Drag Me Down,14,68k,-80%
12,Charlie Puth - Marvin Gaye,75,63k,-10%
13,Jason Derulo - Want to Want Me,157,49k,+106%
14,Fetty Wap - My Way,28,56k,-21%
15,Demi Lovato - Cool for the Summer,44,58k,-8%
16,Luke Bryan - Kick the Dust Up,87,62k,-2%
17,Drake - Back To Back,14,62k,-46%
18,Ed Sheeran - Photograph,94,51k,-4%
19,Luke Bryan - Strip It Down,28,46k,+85%
20,Shawn Mendes - Stitches,94,45k,+3%
21,Taylor Swift - Bad Blood,177,54k,-16%
22,Fall Out Boy - Uma Thurman,163,48k,-7%
23,Sam Hunt - House Party,86,47k,-5%
24,"Andy Grammer - Honey, I'm Good.",205,46k,-15%
25,Skrillex & Diplo - Where ...,153,43k,-9%
26,Fetty Wap - Trap Queen,204,41k,-2%
27,Fifth Harmony - Worth It,174,42k,-3%
28,WALK THE MOON - Shut Up and Dance,247,41k,-17%
29,X Ambassadors - Renegades,131,35k,+14%
30,"@iHeartMemphis - ""Hit the Quan"" #HTQ",21,26k,+26%
31,Thomas Rhett - Crash and Burn,112,37k,-8%
32,"Keith Urban - John Cougar, John Deere, John 3:16",66,41k,+1%
33,Cam - Burning House,43,32k,+16%
34,Chris Janson - Buy Me a Boat,104,36k,-4%
35,Eric Church - Like a Wrecking Ball,163,34k,-5%
36,5 Seconds of Summer - She's Kinda Hot,28,35k,-25%
37,Meghan Trainor - Like I'm Gonna Lose You,85,30k,+5%
38,Drake - Hotline Bling,14,29k,-24%
39,Wiz Khalifa - See You Again,157,31k,-22%
40,"Flo Rida - I Don't Like It, I Love It",64,27k,-16%
41,Tori Kelly - Should've Been Us,36,25k,+21%
42,Jidenna - Classic Man,90,27k,-5%
43,Elle King - Ex's & Oh's,73,25k,-16%
44,Little Big Town - Girl Crush,210,31k,-25%
45,David Guetta - Hey Mama,150,26k,-8%
46,Mark Ronson - Uptown Funk,277,26k,-11%
47,Rich Homie Quan - Flex,107,24k,-9%
48,Sam Hunt - Take Your Time,266,25k,-16%
49,Zac Brown Band - Loving You Easy,94,25k,-0%
50,Meek Mill - All Eyes On You,49,22k,-9%
51,Ed Sheeran - Thinking Out Loud,319,22k,-1%
52,Michael Ray - Kiss You In the Morning,76,21k,+17%
53,Calvin Harris & Disciples - How Deep Is Your Love,28,21k,+41%
