,name,Top 100,end,change
0,Justin Timberlake - CAN'T STOP THE FEELING,56.0,109k,-10%
1,Sia - Cheap Thrills,119.0,86k,+5%
2,Florida Georgia Line - H.O.L.Y.,63.0,79k,+13%
3,Drake - One Dance,87.0,80k,-10%
4,Meghan Trainor - Me Too,53.0,70k,-4%
5,The Chainsmokers - Don't Let Me Down,145.0,70k,-0%
6,Calvin Harris - This Is What You Came For,63.0,69k,-18%
7,DJ Khaled - I Got the Keys,4.0,50k,
8,twenty one pilots - Ride,99.0,61k,-3%
9,P!NK - Just Like Fire,77.0,55k,-13%
10,Ruth B. - Lost Boy,158.0,52k,-7%
11,Adele - Send My Love,95.0,50k,+13%
12,twenty one pilots - Heathens,14.0,61k,-33%
13,"Lil Wayne, Wiz Khalifa & Imagine Dragons - Sucker ...",7.0,68k,
14,Kent Jones - Don't Mind,66.0,45k,-4%
15,Desiigner - Panda,124.0,50k,-10%
16,Rihanna - Needed Me,131.0,39k,+8%
17,Beyoncé - Sorry,67.0,40k,-5%
18,DJ Khaled - For Free,28.0,32k,+12%
19,Fifth Harmony - Work from Home,126.0,37k,-15%
20,Flume - Never Be Like You,95.0,32k,-3%
21,Shawn Mendes - Treat You Better,29.0,29k,+41%
22,Mike Posner - I Took a Pill In Ibiza,170.0,34k,-10%
23,Lukas Graham - 7 Years,167.0,30k,-12%
24,Drake - Too Good,56.0,29k,-2%
25,Nick Jonas - Close,98.0,29k,-17%
26,X Ambassadors - Unsteady,95.0,25k,-7%
27,Flo Rida - My House,251.0,30k,-7%
28,James Bay - Let It Go,232.0,27k,-6%
29,"Daya - Sit Still, Look Pretty",54.0,22k,+31%
30,Charlie Puth - We Don't Talk Anymore,24.0,22k,+9%
31,D.R.A.M. - Broccoli,19.0,24k,+13%
32,Drake - Controlla,56.0,25k,+1%
33,Kelsea Ballerini - Peter Pan,79.0,21k,+2%
34,Carrie Underwood - Church Bells,81.0,22k,+3%
35,Pitbull - Messin' Around,84.0,15k,-22%
36,Shakira - Try Everything,70.0,25k,-17%
37,Jon Pardi - Head Over Boots,133.0,22k,-17%
38,Rihanna - Sledgehammer,4.0,15k,
39,Disturbed - The Sound of Silence,187.0,22k,-5%
40,Beyoncé - Formation,67.0,23k,+4%
41,"Luke Bryan - Huntin', Fishin' and Lovin' Every Day",101.0,23k,+0%
42,Meghan Trainor - NO,119.0,24k,-25%
43,Dierks Bentley - Different for Girls,35.0,19k,+7%
44,Ariana Grande - Dangerous Woman,113.0,22k,-9%
45,twenty one pilots - Stressed Out,311.0,19k,-5%
46,Jason Aldean - Lights Come On,87.0,19k,+5%
47,Tim McGraw - Humble and Kind,162.0,21k,-23%
48,Grace - You Don't Own Me,81.0,22k,-20%
49,Thomas Rhett - Vacation,31.0,15k,+15%
50,Eric Church - Record Year,83.0,18k,+3%
51,Chase Rice - Everybody We Know Does,7.0,26k,
52,Dan + Shay - From the Ground Up,114.0,19k,-19%
53,Blake Shelton - She's Got a Way With Words,42.0,16k,+25%
54,Fifth Harmony - All In My Head,14.0,16k,+108%
55,DNCE - Cake By the Ocean,266.0,19k,-18%
56,DNCE - Toothbrush,17.0,16k,+14%
57,Kiiara - Gold,26.0,15k,+11%
58,Thomas Rhett - T-Shirt,130.0,17k,-17%
59,Jake Owen - American Country Love Song,66.0,16k,+1%
60,"gnash - i hate u, i love u",65.0,16k,-1%
