,name,Top 100,end,change
0,Rihanna - Work,30,169k,+42%
1,Flo Rida - My House,125,115k,-12%
2,ZAYN - PILLOWTALK,29,87k,-14%
3,Lukas Graham - 7 Years,41,78k,+21%
4,Justin Bieber - Love Yourself,105,94k,-20%
5,twenty one pilots - Stressed Out,185,89k,-16%
6,"G-Eazy & Bebe Rexha - Me, Myself & I",119,71k,-10%
7,Mike Posner - I Took a Pill In Ibiza,44,52k,+27%
8,Charlie Puth - One Call Away,102,54k,-16%
9,Kelly Clarkson - Piece By Piece,3,8k,
10,DNCE - Cake By the Ocean,140,47k,-3%
11,Selena Gomez - Hands To Myself,88,48k,-12%
12,James Bay - Let It Go,106,50k,-15%
13,Adele - Hello,126,50k,-27%
14,Justin Bieber - Sorry,126,46k,-16%
15,The Chainsmokers - Roses,148,41k,-13%
16,Yo Gotti - Down in the DM,72,36k,+4%
17,Ellie Goulding - Something In the Way You Move,24,35k,+133%
18,Maren Morris - My Church,37,34k,-3%
19,Adele - When We Were Young,98,36k,-31%
20,Thomas Rhett - Die a Happy Man,161,31k,-21%
21,Cole Swindell - You Should Be Here,74,29k,-3%
22,Rachel Platten - Stand By You,144,28k,-12%
23,Gwen Stefani - Make Me Like You,14,28k,-51%
24,Tim McGraw - Humble and Kind,36,24k,+24%
25,Kevin Gates - 2 Phones,51,25k,+1%
26,Coldplay - Adventure of a Lifetime,110,30k,-30%
27,Brett Eldredge - Drunk On Your Love,51,24k,-2%
28,Daya - Hide Away,182,26k,-8%
29,Ruth B. - Lost Boy,32,24k,+68%
30,Demi Lovato - Stone Cold,15,14k,+38%
31,Carrie Underwood - Heartbeat,71,26k,-28%
32,Zara Larsson & MNEK - Never Forget You,14,17k,+52%
33,Fetty Wap - Jimmy Choo,21,25k,-32%
34,The Weeknd - In the Night,100,27k,-20%
35,Chris Young - Think of You,35,18k,+25%
36,Dierks Bentley - Somewhere on a Beach,38,19k,+13%
37,Disturbed - The Sound of Silence,61,18k,+10%
38,Sam Hunt - Break Up In a Small Town,212,22k,-23%
39,Jason Derulo - Get Ugly,66,22k,-25%
40,Drake - Summer Sixteen,27,19k,-29%
41,Mark Ronson - Uptown Funk,454,24k,-39%
42,Shawn Mendes - Stitches,289,19k,-18%
43,The 1975 - Somebody Else,10,14k,+37%
44,Robin Schulz - Sugar,41,17k,+9%
45,Troye Sivan - YOUTH,10,13k,+18%
46,Elle King - Ex's & Oh's,269,21k,-24%
47,Adele - All I Ask,49,29k,-31%
48,DJ Snake - Middle,39,15k,+18%
49,Luke Bryan - Home Alone Tonight,102,18k,-20%
50,Jeremih - Oui,34,15k,+0%
51,Old Dominion - Snapback,29,15k,+5%
52,Fetty Wap - 679,242,18k,-11%
53,Justin Bieber - What Do You Mean,182,17k,-22%
54,Florida Georgia Line - Confession,58,15k,+14%
55,Drake - Hotline Bling,210,17k,-25%
56,Meghan Trainor - Like I'm Gonna Lose You,281,17k,-37%
57,Shawn Mendes & Camila Cabello - I Know What You Di...,100,18k,-52%
58,Zac Brown Band - Beautiful Drug,110,14k,-10%
59,Drake & Future - Jumpman,158,15k,-30%
60,Bryson Tiller - Don't,96,14k,-18%
61,Chris Stapleton - Nobody To Blame,75,17k,-12%
62,Future - Low Life,21,15k,-48%
63,Kygo - Stole the Show,5,12k,+156%
64,Thomas Rhett - T-Shirt,4,11k,+97%
65,Selena Gomez - Same Old Love,169,15k,-20%
66,The Weeknd - The Hills,275,15k,-24%
67,Kane Brown - Used to Love You Sober,24,13k,+166%
68,Locash - I Love This Life,28,7k,+13%
69,The Lumineers - Ophelia,21,13k,-23%
70,Jon Pardi - Head Over Boots,7,12k,+5%
71,DMX - X Gon' Give It to Ya,13,16k,-27%
72,Kevin Gates - Really Really,65,14k,-8%
73,Macklemore & Ryan Lewis - Downtown,159,11k,+53%
74,The Weeknd - Can't Feel My Face,262,17k,-37%
75,Taylor Swift - Out Of The Woods,88,18k,-32%
76,Chris Brown - Back To Sleep,71,13k,+0%
77,The Chainsmokers - Don't Let Me Down,19,12k,-9%
78,Chris Stapleton - Tennessee Whiskey,111,16k,-16%
79,Rihanna - Needed Me,18,11k,+3%
80,Dustin Lynch - Mind Reader,10,12k,+15%
81,Rachel Platten - Fight Song,331,13k,-12%
82,Fetty Wap - Again,203,13k,-14%
83,Little Big Town - Girl Crush,289,18k,-60%
84,Empire of the Sun - Walking On a Dream,35,12k,+46%
85,Granger Smith - Backroad Song,39,14k,-26%
86,Alessia Cara - Here,211,14k,-25%
87,Post Malone - White Iverson,176,12k,-21%
88,Tory Lanez - Say It,98,11k,-14%
89,Travis Scott - Antidote,179,13k,-25%
90,Dawin - Dessert,80,12k,-15%
91,Randy Houser - We Went,8,10k,+25%
