,name,Top 100,end,change
0,Pharrell Williams - Happy,118,207k,-24%
1,John Legend - All of Me,201,190k,-10%
2,Iggy Azalea - Fancy,48,128k,+50%
3,Idina Menzel - Let It Go,152,135k,-17%
4,DJ Snake & Lil Jon - Turn Down For What,129,130k,+11%
5,Jason Derulo - Talk Dirty,119,150k,-25%
6,Luke Bryan - Play It Again,54,101k,-7%
7,Katy Perry - Dark Horse,223,99k,-7%
8,Ariana Grande - Problem,5,35k,
9,Justin Timberlake - Not a Bad Thing,62,86k,-1%
10,Ed Sheeran - Sing,21,83k,-24%
11,Paramore - Ain't It Fun,62,73k,+4%
12,MKTO - Classic,79,73k,+21%
13,Naughty Boy - La La La,58,69k,+12%
14,Florida Georgia Line - This Is How We Roll,139,75k,-8%
15,Aloe Blacc - The Man,138,76k,-13%
16,Nico & Vinz - Am I Wrong,14,56k,+131%
17,Pitbull - Wild Wild Love,62,61k,+14%
18,Coldplay - Midnight,8,91k,
19,Calvin Harris - Summer,41,55k,+20%
20,Rixton - Me and My Broken Heart,33,57k,+15%
21,Bastille - Pompeii,224,62k,-13%
22,Brantley Gilbert - Bottoms Up,132,59k,-5%
23,Christina Perri - Human,111,62k,-14%
24,American Authors - Best Day of My Life,166,56k,-8%
25,Avicii - Hey Brother,155,57k,-9%
26,Disclosure - Latch,51,49k,+10%
27,Sam Smith - Stay With Me,31,51k,+54%
28,5 Seconds of Summer - She Looks So Perfect,27,49k,+19%
29,"Kristen Bell, Agatha Lee Monn & Katie Lopez - Do Y...",150,49k,-15%
30,Martin Garrix - Animals,210,52k,-4%
31,Austin Mahone - Mmm Yeah,73,48k,-6%
32,OneRepublic - Counting Stars,224,44k,-1%
33,Chris Brown - Loyal,92,46k,-10%
34,Jake Owen - Beachin',55,44k,+6%
35,Pitbull - Timber,202,40k,-8%
36,Neon Trees - Sleeping With a Friend,51,40k,+16%
37,The Chainsmokers - #Selfie,68,43k,-22%
38,Eric Church - Give Me Back My Hometown,109,40k,-9%
39,Jerrod Niemann - Drink to That All Night,119,38k,-7%
40,Shakira - Empire,39,39k,+74%
41,Coldplay - Magic,56,36k,+34%
42,Kristen Bell & Idina Menzel - For the First Time i...,136,33k,-13%
43,Lorde - Team,223,36k,-16%
44,Keith Urban - Cop Car,92,38k,-3%
45,Demi Lovato - Neon Lights,107,34k,-0%
46,Lee Brice - I Don't Dance,35,33k,+22%
47,Beyoncé - Partition,82,33k,-2%
48,Trey Songz - Na Na,81,36k,-7%
49,Beyoncé - Drunk in Love,129,35k,-19%
50,Thomas Rhett - Get Me Some of That,119,32k,+1%
51,B.o.B - John Doe,38,35k,-3%
52,Miranda Lambert - Automatic,54,31k,-18%
53,Kongos - Come With Me Now,33,26k,+10%
54,Katy Perry - Birthday,6,22k,+124%
55,Kristen Bell & Santino Fontana - Love Is an Open D...,69,28k,+6%
56,Imagine Dragons - On Top of the World,80,28k,+0%
57,Nashville Cast - Black Roses,9,24k,+313%
58,Rascal Flatts - Rewind,102,30k,-5%
59,Dan + Shay - 19 You + Me,116,31k,-11%
60,Passenger - Let Her Go,224,28k,-15%
61,Phillip Phillips - Raging Fire,17,23k,+40%
62,Kid Ink - Show Me,175,31k,-13%
63,Young Money - Trophies,60,30k,-6%
64,One Direction - Story Of My Life,183,25k,-12%
65,Imagine Dragons - Demons,224,25k,-0%
66,A Great Big World - Say Something,174,28k,-14%
67,Ingrid Michaelson - Girls Chase Boys,22,24k,-28%
68,Tiësto - Red Lights,28,24k,+8%
69,Brett Eldredge - Beat of the Music,51,26k,-0%
70,Eminem - The Monster,181,25k,-21%
71,Tiësto - Wasted,6,24k,
72,Katy Perry - Roar,224,21k,-5%
73,Lana Del Rey - Young and Beautiful,72,23k,-14%
74,Demi Lovato - Let It Go,151,21k,-16%
75,Tyler Farr - Whiskey in My Water,35,25k,+2%
76,Tove Lo - Stay High,49,24k,+13%
77,Fitz & The Tantrums - The Walker,41,20k,-3%
78,YG - Who Do You Love,57,24k,-1%
79,Imagine Dragons - Radioactive,221,21k,-0%
80,Avicii - Wake Me Up,224,21k,-10%
81,Cher Lloyd - Bind Your Love,1,3k,
82,Eminem - Headlights,53,22k,-19%
83,Hunter Hayes - Invisible,60,23k,+5%
84,Lorde - Royals,224,21k,-13%
85,Florida Georgia Line - Cruise,214,20k,-9%
86,Chris Young - Who I Am With You,15,21k,+7%
87,Joe Nichols - Yeah,10,21k,+4%
88,Dustin Lynch - Where It's At,13,24k,-28%
89,Future - Move That Dope,19,24k,+17%
90,Ellie Goulding - Burn,209,20k,-10%
