,name,Top 100,end,change
0,The Chainsmokers - Closer,42.0,202k,-3%
1,Sia - The Greatest,3.0,46k,
2,twenty one pilots - Heathens,84.0,84k,+3%
3,Major Lazer - Cold Water,49.0,57k,+3%
4,X Ambassadors - Unsteady,165.0,41k,+81%
5,Charlie Puth - We Don't Talk Anymore,94.0,51k,-11%
6,Kiiara - Gold,96.0,46k,-1%
7,DJ Snake - Let Me Love You,35.0,47k,+6%
8,"gnash - i hate u, i love u",135.0,43k,+2%
9,Sia - Cheap Thrills,189.0,42k,-8%
10,"Daya - Sit Still, Look Pretty",123.0,39k,-8%
11,Miranda Lambert - Vice,53.0,29k,+19%
12,"Lil Wayne, Wiz Khalifa & Imagine Dragons - Sucker ...",77.0,37k,-11%
13,Justin Timberlake - CAN'T STOP THE FEELING,126.0,38k,-6%
14,Coldplay - Hymn for the Weekend,87.0,36k,-5%
15,Flume - Never Be Like You,165.0,32k,+0%
16,Katy Perry - Rise,56.0,22k,-0%
17,Ariana Grande - Side To Side,17.0,41k,+48%
18,D.R.A.M. - Broccoli,89.0,34k,+2%
19,Britney Spears - Make Me...,56.0,38k,-51%
20,Kelsea Ballerini - Peter Pan,149.0,27k,+57%
21,Kenny Chesney - Setting the World on Fire,42.0,31k,-4%
22,The Chainsmokers - Don't Let Me Down,215.0,31k,-6%
23,Lukas Graham - Mama Said,58.0,32k,-24%
24,twenty one pilots - Ride,169.0,30k,-5%
25,Adele - Send My Love,165.0,29k,-5%
26,Hailee Steinfeld & Grey - Starving,39.0,24k,+30%
27,Ariana Grande - Into You,126.0,26k,-10%
28,Florida Georgia Line - H.O.L.Y.,133.0,28k,-23%
29,Keith Urban - Blue Ain't Your Color,28.0,21k,+14%
30,Kungs & Cookin' On 3 Burners - This Girl,41.0,23k,-5%
31,Florida Georgia Line - May We All,35.0,24k,-32%
32,Rihanna - Needed Me,201.0,26k,-8%
33,Drake - Too Good,126.0,26k,-9%
34,Shawn Mendes - Treat You Better,98.0,29k,-47%
35,Calvin Harris - This Is What You Came For,133.0,24k,-13%
36,Meghan Trainor - Me Too,123.0,25k,-22%
37,Dierks Bentley - Different for Girls,105.0,20k,-1%
38,Travis Scott & Young Thug - pick up the phone,7.0,19k,
39,Drake - One Dance,157.0,19k,-16%
40,DJ Khaled - For Free,98.0,18k,-15%
41,Beyoncé - Hold Up,102.0,19k,-23%
42,Beyoncé - Sorry,137.0,18k,-21%
43,Jason Aldean - A Little More Summertime,51.0,15k,-1%
44,Tory Lanez - Luv,58.0,14k,-8%
45,Billy Currington - It Don't Hurt Like It Used To,64.0,13k,+2%
46,Lukas Graham - 7 Years,237.0,12k,+0%
47,Zara Larsson - Ain't My Fault,7.0,14k,
48,Sam Hunt - Make You Miss Me,136.0,13k,-17%
49,Tucker Beathard - Rock On,19.0,12k,+3%
50,P!NK - Just Like Fire,147.0,14k,-11%
51,Cole Swindell - Middle of a Memory,80.0,12k,-11%
52,The Black Eyed Peas - #WHERESTHELOVE,8.0,22k,+159%
53,Evanescence - Bring Me to Life,30.0,8k,+398%
54,Beyoncé - Formation,137.0,14k,-24%
55,Andra Day - Rise Up,49.0,5k,-1%
56,Luke Bryan - Move,35.0,11k,-7%
57,Alessia Cara - Scars To Your Beautiful,2.0,8k,+36%
58,William Michael Morgan - I Met a Girl,46.0,11k,-2%
59,Jason Aldean - This Plane Don't Go There,7.0,14k,
60,twenty one pilots - Stressed Out,381.0,11k,-2%
61,Blake Shelton - She's Got a Way With Words,112.0,12k,-7%
62,Drake - Controlla,126.0,12k,-11%
63,Hillary Scott & The Scott Family - Thy Will,55.0,9k,-7%
64,Fifth Harmony - Work from Home,196.0,11k,-11%
65,Andrew McMahon In the Wilderness - Fire Escape,1.0,1k,
66,Rob $Tone - Chill Bill,38.0,10k,+1%
67,Fitz & The Tantrums - HandClap,96.0,10k,-0%
68,Dan + Shay - From the Ground Up,184.0,10k,-31%
69,Mike Posner - I Took a Pill In Ibiza,240.0,9k,-7%
70,Desiigner - Panda,194.0,11k,-7%
71,Usher - No Limit,59.0,10k,-22%
72,Nick Jonas - Bacon,19.0,11k,-6%
73,Thomas Rhett - Vacation,101.0,11k,-1%
74,Daya - Hide Away,250.0,10k,-2%
75,DNCE - Cake By the Ocean,335.0,10k,-30%
76,Brett Young - In Case You Didn't Know,34.0,8k,-3%
77,Skrillex & Rick Ross - Purple Lamborghini,49.0,10k,-14%
78,Michael Bublé - I Believe...,7.0,9k,
79,Wale - My P.Y.T,65.0,9k,-15%
80,Kehlani - Gangsta,39.0,10k,-25%
81,Disturbed - The Sound of Silence,257.0,9k,-11%
