,name,Top 100,end,change
0,Mark Ronson - Uptown Funk,112,241k,-5%
1,Maroon 5 - Sugar,48,176k,+8%
2,Ed Sheeran - Thinking Out Loud,154,186k,-6%
3,Ellie Goulding - Love Me Like You Do,53,171k,-16%
4,Rihanna and Kanye West and Paul McCartney - FourFi...,36,158k,-9%
5,The Weeknd - Earned It,63,103k,-14%
6,Taylor Swift - Style,126,93k,-7%
7,Pitbull & Ne-Yo - Time of Our Lives,90,86k,+18%
8,Hozier - Take Me to Church,214,85k,-19%
9,Flo Rida - GDFR,124,68k,+11%
10,Zedd - I Want You to Know,7,101k,
11,Nicki Minaj - Truffle Butter,39,64k,+4%
12,Fall Out Boy - Centuries,178,54k,-12%
13,Taylor Swift - Blank Space,126,59k,-14%
14,Nick Jonas - Chains,39,55k,+14%
15,Fetty Wap - Trap Queen,39,51k,+59%
16,Meghan Trainor - Lips Are Movin,132,50k,-17%
17,Sam Hunt - Take Your Time,101,57k,+14%
18,Empire Cast - You're So Beautiful,5,56k,
19,Kelly Clarkson - Heartbeat Song,49,40k,+18%
20,Natalie La Rose - Somebody,35,55k,-4%
21,Usher - I Don't Mind,100,52k,-11%
22,Taylor Swift - Shake It Off,196,43k,-14%
23,Ne-Yo - She Knows,69,43k,-2%
24,WALK THE MOON - Shut Up and Dance,82,41k,+23%
25,Ella Henderson - Ghost,127,43k,-22%
26,Fall Out Boy - Immortals,30,28k,+173%
27,Alabama Shakes - Gimme All Your Love,1,7k,
28,Drake - Energy,17,52k,-35%
29,Sam Smith - I'm Not the Only One,177,41k,-22%
30,Ariana Grande - One Last Time,16,35k,+27%
31,Imagine Dragons - I Bet My Life,126,44k,-44%
32,Vance Joy - Riptide,260,35k,-4%
33,Kid Rock - First Kiss,16,44k,+169%
34,Luke Bryan - Games,6,38k,
35,Meghan Trainor - All About That Bass,238,30k,-20%
36,Calvin Harris - Outside,63,30k,+0%
37,Nick Jonas - Jealous,175,32k,+1%
38,Chris Brown & Tyga - Ayo,55,33k,+11%
39,Nicki Minaj - Only,124,32k,-14%
40,Robin Schulz & LILLYWOOD - Prayer in C,70,31k,-14%
41,Sam Smith - Stay With Me,339,31k,-28%
42,Big Sean - Blessings,30,39k,+24%
43,Tove Lo - Talking Body,25,29k,+14%
44,Big Sean - I Don't Fuck With You,162,33k,-7%
45,Maroon 5 - Animals,190,23k,-3%
46,Skrillex & Diplo - Where ...,3,17k,
47,Zac Brown Band - Homegrown,49,26k,+5%
48,Sheppard - Geronimo,80,24k,+1%
49,Sam Smith - Lay Me Down,29,23k,+11%
50,James Newton Howard - The Hanging Tree,98,27k,-1%
51,One Direction - Night Changes,108,23k,-7%
52,"Andy Grammer - Honey, I'm Good.",40,25k,+2%
53,Cole Swindell - Ain't Worth the Whiskey,58,24k,+1%
54,Luke Bryan - Spring Breakdown,6,27k,
55,Taylor Swift - You Are In Love,6,48k,
56,Sia - Elastic Heart,67,25k,-9%
57,Pharrell Williams - Happy,393,23k,+37%
58,Little Big Town - Girl Crush,45,29k,+69%
59,Blake Shelton - Lonely Tonight,97,22k,-0%
60,Thomas Rhett - Make Me Wanna,84,23k,-4%
61,Alabama Shakes - Don't Wanna Fight,1,9k,+233%
62,Florida Georgia Line - Sun Daze,152,19k,-10%
63,Ed Sheeran - Don't,262,19k,-12%
64,OneRepublic - I Lived,109,20k,-26%
65,Common & John Legend - Glory,21,69k,
66,Rae Sremmurd - Throw Sum Mo,59,20k,-0%
67,Drake - Legend,17,20k,-14%
68,Sia - Chandelier,298,20k,-22%
69,Jason Aldean - Just Gettin' Started,99,18k,+1%
70,"Jessie J, Ariana Grande & Nicki Minaj - Bang Bang",216,17k,-9%
71,Lee Brice - Drinking Class,147,18k,-5%
