,name,Top 100,end,change
0,Justin Timberlake - CAN'T STOP THE FEELING,35,139k,-11%
1,Drake - One Dance,66,94k,-11%
2,Florida Georgia Line - H.O.L.Y.,42,72k,+4%
3,P!NK - Just Like Fire,56,83k,-1%
4,DJ Khaled - For Free,7,106k,
5,The Chainsmokers - Don't Let Me Down,124,73k,-1%
6,Calvin Harris - This Is What You Came For,42,72k,+6%
7,Desiigner - Panda,103,65k,-13%
8,Sia - Cheap Thrills,98,52k,+11%
9,Fifth Harmony - Work from Home,105,56k,-12%
10,Ruth B. - Lost Boy,137,57k,+5%
11,Beyoncé - Sorry,46,52k,+2%
12,Meghan Trainor - Me Too,32,48k,+26%
13,Dan + Shay - From the Ground Up,93,36k,+115%
14,twenty one pilots - Ride,78,46k,+20%
15,X Ambassadors - Unsteady,74,42k,+68%
16,Adele - Send My Love,74,40k,+0%
17,Kent Jones - Don't Mind,45,40k,+34%
18,Pitbull - Messin' Around,63,37k,+24%
19,Lukas Graham - 7 Years,146,43k,-18%
20,Tim McGraw - Humble and Kind,141,32k,+8%
21,Mike Posner - I Took a Pill In Ibiza,149,43k,-9%
22,Carrie Underwood - Church Bells,60,23k,+33%
23,Maren Morris - My Church,141,34k,+61%
24,Zara Larsson & MNEK - Never Forget You,119,36k,+12%
25,Rihanna - Needed Me,110,34k,-1%
26,Drake - Too Good,35,29k,+1%
27,Beyoncé - Formation,46,31k,-9%
28,Flo Rida - My House,230,31k,-12%
29,Shawn Mendes - Treat You Better,8,64k,
30,Nick Jonas - Close,77,30k,-19%
31,Dierks Bentley - Different for Girls,14,20k,-37%
32,James Bay - Let It Go,211,29k,+0%
33,Ariana Grande - Dangerous Woman,92,29k,-25%
34,"Luke Bryan - Huntin', Fishin' and Lovin' Every Day",80,25k,+19%
35,Disturbed - The Sound of Silence,166,29k,-19%
36,Beyoncé - Hold Up,46,26k,-7%
37,Thomas Rhett - T-Shirt,109,22k,-6%
38,DNCE - Cake By the Ocean,245,25k,-16%
39,Drake - Controlla,35,22k,+4%
40,Meghan Trainor - NO,98,25k,-17%
41,Grace - You Don't Own Me,60,21k,-3%
42,Dierks Bentley - Somewhere on a Beach,143,23k,-40%
43,Jason Aldean - Lights Come On,66,18k,+22%
44,Kelsea Ballerini - Peter Pan,58,18k,+12%
45,Shakira - Try Everything,49,10k,+70%
46,twenty one pilots - Stressed Out,290,18k,-2%
47,Keith Urban - Wasted Time,64,16k,+28%
48,Jon Pardi - Head Over Boots,112,18k,+0%
49,EXO - Monster,2,5k,
50,Eric Church - Record Year,62,16k,+0%
51,Flume - Never Be Like You,74,16k,-9%
52,Selena Gomez - Kill Em With Kindness,13,14k,+26%
53,Justin Bieber - Love Yourself,210,17k,-10%
54,Chris Stapleton - Parachute,2,8k,+146%
55,"gnash - i hate u, i love u",44,16k,+8%
56,Rihanna - Work,135,17k,-10%
57,Ariana Grande - Into You,35,17k,-26%
58,Blake Shelton - Came Here to Forget,94,16k,-32%
59,Alessia Cara - Wild Things,106,16k,-5%
60,Thomas Rhett - Die a Happy Man,266,12k,+0%
61,Drake - Pop Style,66,16k,-9%
62,ZAYN - PILLOWTALK,134,17k,-12%
63,"Daya - Sit Still, Look Pretty",33,14k,+11%
64,Kevin Gates - 2 Phones,156,15k,-12%
65,Future - Low Life,126,14k,-2%
66,Chris Stapleton - Fire Away,29,9k,+14%
67,Charlie Puth - One Call Away,207,14k,-6%
68,"G-Eazy & Bebe Rexha - Me, Myself & I",224,14k,-6%
69,Fat Joe & Remy Ma - All the Way Up,66,11k,-15%
70,blink-182 - Rabbit Hole,2,4k,
71,Imagine Dragons - Not Today,6,12k,
72,Chris Stapleton - Tennessee Whiskey,182,10k,-1%
73,Sam Hunt - Make You Miss Me,45,11k,+9%
74,Old Dominion - Snapback,134,13k,-13%
