,name,Top 100,end,change
0,The Chainsmokers - Closer,21.0,117k,+42%
1,twenty one pilots - Heathens,63.0,80k,-15%
2,Shawn Mendes - Treat You Better,77.0,61k,+67%
3,Major Lazer - Cold Water,28.0,65k,-3%
4,Sia - Cheap Thrills,168.0,54k,-7%
5,"Lil Wayne, Wiz Khalifa & Imagine Dragons - Sucker ...",56.0,52k,-25%
6,Justin Timberlake - CAN'T STOP THE FEELING,105.0,54k,-9%
7,Kiiara - Gold,75.0,48k,+14%
8,Ariana Grande - Into You,105.0,52k,+0%
9,"Daya - Sit Still, Look Pretty",102.0,38k,+110%
10,Meghan Trainor - Me Too,102.0,47k,-21%
11,Adele - Send My Love,144.0,38k,-1%
12,DJ Snake - Let Me Love You,14.0,42k,-61%
13,twenty one pilots - Ride,148.0,39k,-8%
14,"gnash - i hate u, i love u",114.0,36k,+3%
15,Kenny Chesney - Setting the World on Fire,21.0,33k,-1%
16,Lukas Graham - Mama Said,37.0,30k,+82%
17,Flume - Never Be Like You,144.0,35k,+8%
18,D.R.A.M. - Broccoli,68.0,33k,+9%
19,The Chainsmokers - Don't Let Me Down,194.0,34k,-2%
20,Katy Perry - Rise,35.0,31k,-30%
21,Florida Georgia Line - H.O.L.Y.,112.0,35k,-12%
22,Calvin Harris - This Is What You Came For,112.0,32k,-10%
23,Coldplay - Hymn for the Weekend,66.0,27k,+5%
24,Drake - One Dance,136.0,31k,-12%
25,Charlie Puth - We Don't Talk Anymore,73.0,31k,-4%
26,Drake - Too Good,105.0,28k,+3%
27,Britney Spears - Make Me...,35.0,25k,-2%
28,Rihanna - Needed Me,180.0,27k,-5%
29,Miranda Lambert - Vice,32.0,26k,-5%
30,Shawn Mendes - Mercy,1.0,4k,
31,X Ambassadors - Unsteady,144.0,22k,+2%
32,Dierks Bentley - Different for Girls,84.0,23k,-12%
33,DJ Khaled - For Free,77.0,22k,-17%
34,Jon Pardi - Head Over Boots,182.0,23k,+55%
35,P!NK - Just Like Fire,126.0,23k,-18%
36,Kehlani - Gangsta,18.0,21k,-12%
37,Kelsea Ballerini - Peter Pan,128.0,20k,-0%
