,name,Top 100,end,change
0,Mark Ronson - Uptown Funk,140,165k,-12%
1,Maroon 5 - Sugar,76,142k,-9%
2,Rihanna - Bitch Better Have My Money,4,113k,
3,Ed Sheeran - Thinking Out Loud,182,127k,+1%
4,Ellie Goulding - Love Me Like You Do,81,113k,-14%
5,Rihanna and Kanye West and Paul McCartney - FourFi...,64,102k,-11%
6,Flo Rida - GDFR,152,97k,-2%
7,The Weeknd - Earned It,91,103k,+3%
8,WALK THE MOON - Shut Up and Dance,110,93k,+16%
9,Fetty Wap - Trap Queen,67,90k,+17%
10,Nick Jonas - Chains,67,70k,+3%
11,Sam Smith - Lay Me Down,57,73k,-8%
12,Jason Derulo - Want to Want Me,20,65k,+32%
13,Taylor Swift - Style,154,68k,-10%
14,Iggy Azalea - Trouble,4,37k,
15,Natalie La Rose - Somebody,63,68k,+6%
16,Little Big Town - Girl Crush,73,54k,+120%
17,George Ezra - Budapest,47,35k,+58%
18,Pitbull & Ne-Yo - Time of Our Lives,118,59k,-2%
19,Sam Hunt - Take Your Time,129,57k,-1%
20,"Andy Grammer - Honey, I'm Good.",68,52k,+3%
21,Nicki Minaj - Truffle Butter,67,50k,-12%
22,Ariana Grande - One Last Time,44,44k,+1%
23,Hozier - Take Me to Church,242,45k,-16%
24,Zac Brown Band - Homegrown,77,43k,+4%
25,Taylor Swift - Blank Space,154,39k,-7%
26,Tove Lo - Talking Body,53,43k,-1%
27,David Guetta - Hey Mama,13,37k,+89%
28,Kelly Clarkson - Heartbeat Song,77,34k,-8%
29,Zedd - I Want You to Know,35,37k,-1%
30,Meghan Trainor - Lips Are Movin,160,34k,-19%
31,Fall Out Boy - Centuries,206,34k,-10%
32,Sheppard - Geronimo,108,33k,-2%
33,Calvin Harris - Outside,91,33k,-2%
34,Taylor Swift - Shake It Off,224,32k,-7%
35,Fifth Harmony - Worth It,37,27k,+24%
36,Meghan Trainor - Dear Future Husband,155,25k,+5%
37,Nick Jonas - Jealous,203,23k,+1%
38,Sam Smith - Stay With Me,367,21k,+10%
39,Vance Joy - Riptide,288,30k,+2%
40,Sam Smith - I'm Not the Only One,205,23k,+2%
41,One Direction - Night Changes,136,30k,+20%
42,Meghan Trainor - All About That Bass,266,26k,-15%
43,Usher - I Don't Mind,128,31k,-22%
44,Omarion - Post To Be,47,27k,+18%
45,LunchMoney Lewis - Bills,19,27k,+5%
46,Cole Swindell - Ain't Worth the Whiskey,86,27k,+0%
47,Maroon 5 - Animals,218,25k,-12%
48,Imagine Dragons - I Bet My Life,154,23k,+7%
49,Breaking Benjamin - Failure,7,46k,
50,Tori Kelly - Nobody Love,33,23k,+12%
51,Rae Sremmurd - Throw Sum Mo,87,24k,-0%
52,Sia - Elastic Heart,95,24k,+12%
53,Fall Out Boy - Immortals,58,22k,-8%
54,Drake - Know Yourself,40,26k,-0%
55,Echosmith - Bright,16,20k,+27%
56,Ne-Yo - She Knows,97,23k,-23%
57,Miranda Lambert - Little Red Wagon,48,21k,-5%
58,Eric Church - Like a Wrecking Ball,26,23k,+10%
59,Florida Georgia Line - Sippin' On Fire,24,21k,+25%
60,A Thousand Horses - Smoke,37,22k,+4%
61,Wiz Khalifa - See You Again,20,28k,-13%
62,Chris Brown & Tyga - Ayo,83,22k,-3%
63,Big Sean - Blessings,58,24k,-1%
64,Ella Henderson - Ghost,155,21k,-19%
65,Canaan Smith - Love You Like That,13,18k,+35%
66,Nicki Minaj - Only,152,19k,-9%
67,Drake - Energy,45,21k,-17%
68,Trey Songz - Slow Motion,37,20k,+15%
69,Lee Brice - Drinking Class,175,18k,-0%
70,Mumford & Sons - Believe,21,20k,-38%
71,X Ambassadors - Renegades,1,4k,
72,Kanye West - All Day,27,20k,-22%
73,Chris Young - Lonely Eyes,87,17k,-4%
74,Tyler Farr - A Guy Walks Into a Bar,58,17k,+6%
75,Pharrell Williams - Happy,421,17k,+0%
76,Big Sean - I Don't Fuck With You,190,17k,-9%
77,Florida Georgia Line - Sun Daze,154,12k,-1%
78,Carrie Underwood - Little Toy Guns,18,16k,+8%
79,Skrillex & Diplo - Where ...,16,19k,+56%
80,OneRepublic - I Lived,137,17k,-10%
81,DJ Snake & AlunaGeorge - You Know You Like It,9,16k,+18%
82,Billy Currington - Don't It,21,16k,+1%
83,Robin Schulz & LILLYWOOD - Prayer in C,98,16k,-16%
84,Who Is Fancy - Goodbye,17,15k,+3%
85,Darius Rucker - Homegrown Honey,16,15k,+14%
86,Chase Rice - Ride,32,17k,-9%
87,Granger Smith - Backroad Song,7,31k,
88,Eric Paslay - She Don't Love You,17,15k,+1%
89,"Jessie J, Ariana Grande & Nicki Minaj - Bang Bang",230,13k,-8%
90,Jennifer Lopez - Feel the Light,2,12k,+86%
91,DJ Snake & Lil Jon - Turn Down For What,406,13k,-1%
92,Tim McGraw - Diamond Rings and Old Barstools,6,14k,+32%
93,Fifth Harmony - Sledgehammer,79,9k,-1%
94,Drake - Legend,45,15k,-7%
95,Kelsea Ballerini - Love Me Like You Mean It,9,15k,+5%
96,Kalin and Myles - Trampoline,3,14k,+10%
97,John Legend - All of Me,470,13k,+2%
98,Sia - Chandelier,323,14k,-7%
99,Ed Sheeran - Don't,278,13k,-1%
100,Nate Ruess - Nothing Without Love,10,13k,+252%
101,Dierks Bentley - Say You Do,19,14k,-1%
102,Fall Out Boy - Uma Thurman,41,13k,+2%
103,Wale - The Matrimony,8,13k,+23%
104,Empire Cast - You're So Beautiful,33,15k,-44%
105,Carly Rae Jepsen - I Really Like You,12,12k,+1%
106,Jason Aldean - Just Gettin' Started,121,13k,-22%
107,Beyoncé - 7/11,113,13k,+3%
108,Brett Eldredge - Mean To Me,70,13k,-7%
109,Rae Sremmurd - No Type,158,13k,-6%
110,Blake Shelton - Lonely Tonight,114,12k,-11%
111,Keith Urban - Raise 'Em Up,,12k,+4%
112,Milky Chance - Stolen Dance,226,12k,+0%
113,Kenny Chesney - Wild Child,,12k,+13%
114,Rihanna - Dancing In the Dark,,5k,
115,Ariana Grande & The Weeknd - Love Me Harder,149,11k,-4%
116,Jason Aldean - Burnin' It Down,197,9k,+3%
117,Rachel Platten - Fight Song,,8k,+28%
118,Action Bronson - Baby Blue,6,14k,+343%
119,Nicki Minaj - Feeling Myself,89,12k,-9%
120,Kacey Musgraves - Biscuits,11,14k,-39%
121,Jessie J - Masterpiece,33,13k,-33%
122,James Newton Howard - The Hanging Tree,121,13k,-37%
123,Dillon Francis & DJ Snake - Get Low,5,10k,+35%
124,Pitbull - Fireball,191,10k,+0%
125,Sam Hunt - Leave the Night On,203,11k,+2%
126,Empire Cast - Conqueror,24,13k,-41%
127,Drake - 10 Bands,13,12k,-3%
128,Ciara - I Bet,18,12k,-18%
129,Hozier - Work Song,,11k,+95%
130,Silento - Watch Me,,10k,+5%
131,Maroon 5 - Maps,193,10k,-5%
132,Ludacris - Good Lovin,1,9k,+59%
133,The Weeknd - Often,35,12k,+3%
134,Jeremih - Don't Tell 'Em,220,6k,+7%
135,Shawn Mendes - Something Big,52,6k,-10%
136,Nashville Cast - How You Learn To Live Alone,3,11k,
137,Eric Church - Talladega,126,9k,-1%
138,Shawn Mendes - Stitches,3,8k,-39%
139,Alesso - Heroes,151,9k,+2%
140,Selena Gomez - The Heart Wants What It Wants,122,9k,-7%
141,Big Data - Dangerous,,9k,+30%
142,Reba McEntire - Going Out Like That,5,8k,+86%
143,Zac Brown Band - Heavy Is the Head,10,11k,-7%
144,Chedda Da Connect - Flicka da Wrist,,8k,+184%
145,Jennifer Hudson & Jennifer Nettles - You Will,2,10k,
146,Luke Bryan - Games,23,11k,-23%
147,Fun Guns - Shut Up and Dance With Me,,5k,
148,Nicky Jam & Enrique Igles...,,11k,+42%
149,Echosmith - Cool Kids,195,8k,-5%
150,Ryn Weaver - OctaHate,,10k,+25%
151,Zac Brown Band - Dress Blues,6,8k,+25%
152,Tech N9ne - Hood Go Crazy,,11k,+36%
153,Thomas Rhett - Make Me Wanna,93,10k,-12%
154,Elle King - Ex's & Oh's,,9k,+28%
155,Katy Perry - Roar,268,8k,-7%
156,Juicy J - All I Need,,9k,
157,Imagine Dragons - Radioactive,244,9k,+20%
158,Kendrick Lamar - King Kunta,3,10k,-9%
159,Muse - Dead Inside,2,11k,
160,Clean Bandit - Rather Be,65,9k,-8%
161,Future - F*ck up Some Commas,,9k,-0%
162,Mr. Probz - Waves,183,6k,-1%
163,Omi - Cheerleader,,8k,+7%
164,Luke Bryan - Play It Again,213,7k,+8%
165,James Bay - Let It Go,9,14k,-45%
166,George Ezra - Blame It on Me,1,2k,+292%
167,Jake Owen - What We Ain't Got,6,7k,-5%
168,Madonna - Ghosttown,5,3k,-16%
169,Calvin Harris - Blame,146,6k,+4%
170,O.T. Genasis - CoCo,87,6k,-16%
171,Taylor Swift - Wonderland,22,8k,-13%
172,Kevin Gates - I Don't Get Tired,1,8k,+9%
173,Katy Perry - Dark Horse,391,7k,-9%
174,OneRepublic - Counting Stars,374,7k,+6%
175,Major Lazer - Lean On,7,8k,+45%
176,Tim McGraw - Shotgun Rider,139,8k,-11%
177,Little Big Town - Day Drinking,161,5k,+131%
178,Ariana Grande - Problem,202,6k,-3%
