,name,Top 100,end,change
0,Luis Fonsi & Daddy Yankee - Despacito,109.0,74k,-12%
1,Liam Payne - Strip That Down,77.0,55k,+0%
2,Niall Horan - Slow Hands,92.0,52k,+1%
3,Charlie Puth - Attention,105.0,49k,+1%
4,Shawn Mendes - There's Nothing Holdin' Me Back,107.0,45k,-5%
5,Sam Hunt - Body Like a Back Road,184.0,44k,+1%
6,French Montana - Unforgettable,119.0,37k,+55%
7,Imagine Dragons - Believer,185.0,43k,+13%
8,Kesha - Praying,29.0,30k,+23%
9,DJ Khaled - Wild Thoughts,49.0,36k,-1%
10,Calvin Harris - Feels,49.0,29k,+11%
11,Camila Cabello - Havana,1.0,5k,
12,Camila Cabello - OMG,1.0,4k,
13,Childish Gambino - Redbone,167.0,24k,+4%
14,Post Malone - Congratulations,198.0,25k,-2%
15,DJ Khaled - I'm the One,98.0,26k,-10%
16,Demi Lovato - Sorry Not Sorry,24.0,23k,-14%
17,Portugal. The Man - Feel It Still,73.0,21k,+44%
18,Cardi B - Bodak Yellow,28.0,21k,+43%
19,The Weeknd - Reminder,13.0,10k,+152%
20,The Chainsmokers & Coldplay - Something Just Like ...,163.0,20k,+2%
21,Future - You da Baddest,7.0,27k,
22,Imagine Dragons - Thunder,93.0,19k,+29%
23,Hailee Steinfeld - Most Girls,82.0,19k,-0%
24,Thomas Rhett - Unforgettable,7.0,30k,
25,Kane Brown - What Ifs,84.0,18k,+17%
26,Ed Sheeran - Castle on the Hill,210.0,20k,-3%
27,Bruno Mars - That's What I Like,200.0,18k,-2%
28,Miley Cyrus - Malibu,84.0,21k,-20%
29,Khalid - Location,171.0,17k,-1%
30,Ed Sheeran - Shape of You,210.0,18k,-5%
31,Dustin Lynch - Small Town Boy,134.0,17k,+6%
32,Cheat Codes - No Promises,85.0,15k,+15%
33,Luis Fonsi - Despacito,196.0,17k,-13%
34,Kendrick Lamar - HUMBLE.,126.0,17k,-16%
35,21 Savage - Bank Account,28.0,14k,+5%
36,James Arthur - Say You Won't Let Go,279.0,14k,+2%
37,Macklemore - Marmalade,7.0,13k,
38,J Balvin & Willy William - Mi Gente,35.0,14k,-3%
39,Kesha - Learn To Let Go,8.0,17k,+485%
40,Brett Young - In Case You Didn't Know,264.0,13k,-5%
41,Luke Combs - When It Rains It Pours,33.0,12k,+12%
42,Macklemore - Glorious,35.0,11k,+9%
43,Jon Pardi - Heartache on the Dance Floor,46.0,12k,+10%
44,Yo Gotti - Rake It Up,25.0,12k,-1%
45,Fifth Harmony - Down,24.0,12k,+114%
46,Midland - Drinkin' Problem,101.0,12k,+0%
47,Keith Urban - The Fighter,190.0,13k,-1%
