,name,Top 100,end,change
0,Little Big Town - Better Man,12.0,43k,+99%
1,Keith Urban - Blue Ain't Your Color,84.0,52k,+50%
2,Tim McGraw - Humble and Kind,222.0,26k,+363%
3,Maren Morris - My Church,188.0,23k,
4,The Weeknd - Starboy,43.0,70k,-5%
5,The Chainsmokers - Closer,98.0,73k,-13%
6,Maroon 5 - Don't Wanna Know,23.0,48k,-2%
7,Kenny Chesney - Setting the World on Fire,98.0,49k,+92%
8,Bruno Mars - 24K Magic,28.0,55k,-7%
9,Rae Sremmurd - Black Beatles,42.0,33k,+57%
10,Miranda Lambert - Vice,109.0,23k,+46%
11,twenty one pilots - Heathens,140.0,53k,-11%
12,DJ Snake - Let Me Love You,91.0,38k,+22%
13,Florida Georgia Line - May We All,91.0,27k,+12%
14,Ariana Grande - Side To Side,73.0,49k,-6%
15,Thomas Rhett - Die a Happy Man,315.0,18k,+235%
16,"gnash - i hate u, i love u",191.0,40k,-13%
17,Steve Goodman - Go Cubs Go,7.0,13k,+108%
18,D.R.A.M. - Broccoli,145.0,39k,+3%
19,Beyoncé - Daddy Lessons,21.0,7k,
20,Drake - Fake Love,11.0,48k,-23%
21,Carrie Underwood - Dirty Laundry,37.0,16k,+38%
22,Zay Hilfiger & Zayion McCall - Juju On That Beat,35.0,46k,+5%
23,Kelsea Ballerini - Peter Pan,200.0,16k,+11%
24,Sia - The Greatest,59.0,27k,-11%
25,Kiiara - Gold,152.0,29k,-11%
26,Hailee Steinfeld & Grey - Starving,95.0,31k,-37%
27,Jon Bellion - All Time Low,35.0,24k,-2%
28,Lady Gaga - Million Reasons,29.0,43k,-0%
29,"Artists Of Then, Now & Forever - Forever Country",49.0,18k,+12%
30,Dierks Bentley - Different for Girls,145.0,11k,+62%
31,Alessia Cara - Scars To Your Beautiful,58.0,22k,+2%
32,Justin Timberlake - CAN'T STOP THE FEELING,182.0,24k,-3%
33,X Ambassadors - Unsteady,221.0,21k,-3%
34,"Daya - Sit Still, Look Pretty",179.0,23k,-14%
35,Old Dominion - Song for Another Time,81.0,12k,+35%
36,Coldplay - Hymn for the Weekend,143.0,20k,-16%
37,Luke Bryan - Move,91.0,12k,+13%
38,Brad Paisley - Today,20.0,9k,+16%
39,Fitz & The Tantrums - HandClap,152.0,19k,-10%
40,Pentatonix - Hallelujah,14.0,24k,-55%
41,Brothers Osborne - 21 Summer,2.0,8k,+162%
42,Amine - Caroline,59.0,15k,+5%
43,Martin Garrix & Bebe Rexha - In the Name of Love,69.0,16k,+11%
44,Drake - Sneakin',11.0,26k,-49%
45,"Lil Wayne, Wiz Khalifa & Imagine Dragons - Sucker ...",133.0,17k,-13%
46,Eric Church - Kill a Word,2.0,8k,+39%
47,Pitbull - Greenlight,23.0,16k,-19%
48,Niall Horan - This Town,36.0,19k,+16%
49,Maren Morris - 80s Mercedes,44.0,8k,+17%
50,Young M.a. - Ooouuu,65.0,15k,+6%
51,Chris Stapleton - Tennessee Whiskey,222.0,8k,+14%
52,Alan Jackson - Remember When,2.0,5k,
53,Sia - Cheap Thrills,245.0,15k,-17%
54,Cole Swindell - Middle of a Memory,136.0,12k,+5%
55,Rob $Tone - Chill Bill,94.0,13k,+1%
56,Florida Georgia Line - H.O.L.Y.,189.0,10k,-14%
57,"Drake - Two Birds, One Stone",6.0,23k,
58,Thomas Rhett - Star of the Show,35.0,12k,+22%
59,Brett Young - Sleep Without You,58.0,12k,-5%
60,Major Lazer - Cold Water,105.0,14k,-19%
61,Calvin Harris - My Way,49.0,15k,-8%
62,Josh Halverson - Whiskey and You,4.0,11k,
63,Andra Day - Rise Up,72.0,8k,-22%
64,Jon Pardi - Dirt on My Boots,29.0,12k,+11%
65,Chris Stapleton - Parachute,47.0,8k,+4%
66,Keith Whitley - Don't Close Your Eyes,3.0,3k,
67,Kris Wu - JULY,1.0,1k,
68,Shawn Mendes - Treat You Better,154.0,11k,-15%
69,The Chainsmokers - Don't Let Me Down,271.0,12k,-11%
70,Lady Gaga - A-YO,17.0,18k,-39%
71,Eric Church - Record Year,155.0,4k,+63%
72,"Randy Travis - Forever and Ever, Amen",1.0,3k,+178%
73,twenty one pilots - Ride,225.0,12k,-18%
74,George Strait - Troubadour,2.0,3k,
75,Rihanna - Love on the Brain,24.0,8k,+20%
76,Kanye West - Fade,56.0,11k,-6%
77,Kenny Chesney - Noise,54.0,5k,+452%
78,Tove Lo - Cool Girl,41.0,9k,+37%
79,James Arthur - Say You Won't Let Go,6.0,8k,+51%
80,Andy Grammer - Fresh Eyes,38.0,9k,-15%
81,Brett Eldredge - Wanna Be That Song,89.0,8k,+2%
82,Little Big Town - Girl Crush,302.0,3k,+48%
83,Train - Play That Song,14.0,8k,+11%
84,Machine Gun Kelly & Camila Cabello - Bad Things,12.0,7k,-1%
85,Grace - You Don't Own Me,179.0,9k,-14%
86,Adele - Send My Love,221.0,9k,-8%
87,DJ Khaled - Do You Mind,58.0,8k,-8%
88,Big Sean - Bounce Back,3.0,4k,
89,DNCE - Cake By the Ocean,381.0,8k,+2%
90,Lady Gaga - Perfect Illusion,56.0,14k,-17%
91,Disturbed - The Sound of Silence,312.0,8k,-21%
92,Carrie Underwood - Church Bells,140.0,5k,+10%
93,William Michael Morgan - I Met a Girl,100.0,7k,-19%
94,Beyoncé - Hold Up,153.0,7k,-6%
95,Brothers Osborne - Stay a Little Longer,162.0,3k,+161%
96,Jane Zhang - Dust My Shoulders Off,17.0,11k,-62%
97,Jason Aldean - A Little More Summertime,106.0,7k,-1%
98,Drake - Too Good,182.0,8k,-10%
99,Calvin Harris - This Is What You Came For,188.0,8k,-13%
100,Kaleo - Way Down We Go,7.0,7k,+29%
101,Chris Stapleton - Nobody To Blame,131.0,3k,+41%
102,Shakira - Chantaje,7.0,12k,
103,Meek Mill - Litty,7.0,10k,
104,Tory Lanez - Luv,113.0,8k,-3%
105,Brantley Gilbert - The Weekend,10.0,6k,+70%
106,Beyoncé - Formation,180.0,6k,-10%
107,twenty one pilots - Stressed Out,434.0,7k,-7%
108,Dan + Shay - From the Ground Up,197.0,4k,+11%
109,Blake Shelton - A Guy With a Girl,2.0,7k,+5%
110,Ariana Grande - Into You,181.0,7k,-8%
111,"Metallica - Atlas, Rise",4.0,5k,
112,Charlie Puth - We Don't Talk Anymore,148.0,7k,-15%
113,Beyoncé - Sorry,184.0,6k,-10%
114,Cole Swindell - You Should Be Here,178.0,5k,+71%
115,Zach Williams - Chain Breaker,23.0,7k,-3%
116,John Legend - Love Me Now,14.0,6k,+13%
117,21 Savage & Metro Boomin - X,,6k,+15%
118,Rihanna - Needed Me,253.0,7k,-11%
119,Frenship & Emily Warren - Capsize,3.0,6k,-3%
120,The Chainsmokers - All We Know,29.0,6k,-10%
121,Mariah Carey - All I Want For Christmas Is You,103.0,4k,+167%
122,Russ - What They Want,,6k,+22%
123,21 Savage & Metro Boomin - No Heart,,3k,+48%
124,Pentatonix - Jolene,12.0,4k,-31%
125,Billy Currington - It Don't Hurt Like It Used To,114.0,6k,-26%
126,Gavin DeGraw - She Sets the City on Fire,20.0,7k,-5%
127,Drake - One Dance,210.0,7k,-7%
128,Meghan Trainor - Me Too,172.0,6k,-12%
129,P!NK - Just Like Fire,191.0,6k,-7%
130,Shawn Mendes - Mercy,20.0,5k,+30%
131,Kungs & Cookin' On 3 Burners - This Girl,90.0,7k,-2%
132,Alessia Cara - How Far I'll Go,4.0,7k,
133,Chris Stapleton - Fire Away,31.0,3k,+17%
134,Chris Stapleton - Whiskey and You,6.0,4k,+218%
135,Lil Yachty - One Night,9.0,5k,+0%
136,Little Mix - Shout Out to My Ex,16.0,7k,-48%
137,Charli XCX - After the Afterparty,6.0,7k,
138,Flo Rida - My House,362.0,6k,-7%
139,Marshmello - Ritual,1.0,2k,
140,Hillary Scott & The Scott Family - Thy Will,84.0,5k,-10%
141,Lauren Alaina - Road Less Traveled,,5k,+4%
142,Panic! At the Disco - Death of a Bachelor,9.0,5k,-5%
143,Dolly Parton - Jolene,,1k,+14%
144,Cam - Burning House,235.0,2k,+137%
145,Desiigner - Panda,234.0,6k,-2%
146,Cole Swindell - Chevrolet DJ,3.0,7k,
147,Eric Church - Mr. Misunderstood,53.0,1k,
148,Willie Nelson - Seven Spanish Angels,,,
