,name,Top 100,end,change
0,Taylor Swift - ...Ready For It,5.0,153k,
1,Taylor Swift - Look What You Made Me Do,14.0,132k,-62%
2,ZAYN - Dusk Till Dawn,1.0,12k,
3,Logic - 1-800-273-8255,83.0,63k,-8%
4,Demi Lovato - Sorry Not Sorry,59.0,56k,+3%
5,Imagine Dragons - Thunder,128.0,39k,+8%
6,Gabbie Hanna - Out Loud,2.0,17k,
7,Luis Fonsi & Daddy Yankee - Despacito,144.0,50k,-18%
8,Liam Payne - Strip That Down,112.0,41k,-11%
9,Portugal. The Man - Feel It Still,108.0,39k,+9%
10,P!nk - What About Us,29.0,36k,-22%
11,Kelly Clarkson - Love So Soft,1.0,7k,
12,Niall Horan - Slow Hands,127.0,36k,-12%
13,Kesha - Praying,64.0,32k,-12%
14,Cardi B - Bodak Yellow,63.0,36k,+2%
15,Maroon 5 - What Lovers Do,9.0,37k,+107%
16,Charlie Puth - Attention,140.0,32k,-16%
17,Imagine Dragons - Believer,220.0,31k,-2%
18,Kane Brown - What Ifs,118.0,23k,+0%
19,U2 - You're the Best Thing About Me,2.0,9k,
20,Calvin Harris - Feels,84.0,23k,-16%
21,Sam Hunt - Body Like a Back Road,219.0,25k,-7%
22,Blackbear - Do Re mi,49.0,17k,+0%
23,Shawn Mendes - There's Nothing Holdin' Me Back,141.0,22k,-46%
24,Luke Combs - When It Rains It Pours,67.0,17k,+0%
25,Cheat Codes - No Promises,119.0,19k,-1%
26,Post Malone - Congratulations,233.0,18k,-12%
27,Thomas Rhett - Unforgettable,41.0,14k,+5%
28,Dustin Lynch - Small Town Boy,169.0,15k,-4%
29,French Montana - Unforgettable,154.0,16k,-24%
30,Yo Gotti - Rake It Up,60.0,16k,-2%
31,21 Savage - Bank Account,63.0,16k,+27%
32,Bruno Mars - Versace On The Floor,88.0,15k,+84%
33,J Balvin & Willy William - Mi Gente,70.0,16k,+8%
34,Kelly Clarkson - Move You,1.0,2k,
35,LANco - American Love Story,54.0,13k,+9%
36,DJ Khaled - Wild Thoughts,84.0,16k,-23%
37,Luis Fonsi - Despacito,231.0,15k,-15%
38,Childish Gambino - Redbone,202.0,14k,-13%
39,Khalid - Young Dumb & Broke,40.0,14k,-29%
40,Caleb and Kelsey - My Heart Will Go On,1.0,3k,
41,Macklemore - Glorious,69.0,12k,-2%
42,Thomas Rhett - Life Changes,7.0,15k,
43,Justin Bieber & BloodPop®...,22.0,12k,-14%
44,Kendrick Lamar - HUMBLE.,161.0,14k,-56%
45,The Chainsmokers & Coldplay - Something Just Like ...,198.0,14k,-9%
46,Hailee Steinfeld - Most Girls,116.0,13k,-15%
47,Ed Sheeran - Shape of You,245.0,12k,-7%
48,Selena Gomez - Fetish,57.0,11k,-23%
49,The Revivalists - Wish I Knew You,110.0,11k,+5%
50,Jon Pardi - Heartache on the Dance Floor,81.0,11k,+3%
51,Carly Pearce - Every Little Thing,84.0,9k,-0%
52,Camila Cabello - Havana,21.0,7k,+23%
53,James Arthur - Say You Won't Let Go,314.0,11k,-22%
54,Halsey - Bad At Love,9.0,8k,+65%
55,Thirty Seconds to Mars - Walk On Water,17.0,9k,-53%
56,Brett Young - In Case You Didn't Know,299.0,10k,-6%
57,Khalid - Location,206.0,9k,-17%
58,Luke Bryan - Light It Up,16.0,9k,-63%
59,Bruno Mars - That's What I Like,235.0,10k,-0%
60,Midland - Drinkin' Problem,136.0,10k,+1%
61,Eminem - Lose Yourself,20.0,8k,+166%
62,Old Dominion - No Such Thing as a Broken Heart,150.0,10k,-33%
63,Dua Lipa - New Rules,18.0,8k,+19%
64,Brothers Osborne - It Ain't My Fault,121.0,10k,+15%
65,DJ Khaled - I'm the One,133.0,10k,-10%
66,Kendrick Lamar - LOYALTY.,66.0,8k,-12%
67,Thomas Rhett - Craving You,161.0,8k,-11%
68,Ed Sheeran - Castle on the Hill,245.0,9k,-12%
69,Lil Uzi Vert - XO TOUR Llif3,167.0,9k,-30%
70,Dustin Lynch - Love Me Or Leave Me Alone,16.0,4k,-16%
71,Justin Timberlake - CAN'T STOP THE FEELING,490.0,8k,+5%
72,Kendrick Lamar - DNA.,116.0,9k,-26%
73,Luke Combs - Hurricane,226.0,7k,+4%
74,Louis Tomlinson - Back to You,49.0,7k,-8%
75,Marshmello - Silence,28.0,6k,-1%
76,Brett Young - Like I Loved You,12.0,5k,-3%
77,Ed Sheeran - Perfect,49.0,5k,+7%
78,G-Eazy - No Limit,1.0,1k,
79,MAX - Lights Down Low,6.0,5k,+0%
80,Theory of a Deadman - Rx,10.0,5k,+4%
81,Walker Hayes - You Broke Up with Me,59.0,6k,+1%
82,Chris Stapleton - Tennessee Whiskey,429.0,6k,+11%
83,Imagine Dragons - Radioactive,257.0,6k,+168%
84,SZA - Love Galore,21.0,5k,-1%
85,Jason Derulo - If I'm Lucky,7.0,7k,
86,Devin Dawson - All on Me,2.0,4k,+39%
87,Jacquees - B.E.D.,3.0,4k,+15%
88,Bruno Mars - 24K Magic,336.0,7k,+3%
89,Kenny Chesney - All the Pretty Girls,33.0,6k,-14%
90,Jason Derulo - Swalla,134.0,5k,+109%
91,Eminem - Love the Way You Lie,15.0,5k,+387%
92,Bebe Rexha & Florida Georgia Line - Meant to Be,25.0,5k,-17%
93,Miranda Lambert - Tin Man,126.0,5k,+9%
94,Jonas Blue - Mama,21.0,5k,-7%
95,Keith Urban - The Fighter,224.0,6k,-7%
96,Auli'i Cravalho - How Far I'll Go,276.0,5k,-6%
97,A Boogie Wit da Hoodie - Drowning,142.0,5k,-6%
98,XXXTENTACION - Jocelyn Flores,11.0,5k,-33%
99,Zedd & Alessia Cara - Stay,196.0,6k,-18%
100,Kip Moore - More Girls Like You,22.0,5k,-8%
101,2 Chainz - It's a Vibe,29.0,5k,-7%
102,Maren Morris - I Could Use a Love Song,23.0,4k,-12%
103,Miley Cyrus - Younger Now,19.0,5k,-36%
104,Kygo & Selena Gomez - It Ain't Me,204.0,5k,-21%
