,name,Top 100,end,change
0,Lady Gaga - Million Reasons,22.0,43k,+184%
1,Drake - Fake Love,4.0,63k,
2,The Chainsmokers - Closer,91.0,85k,-12%
3,The Weeknd - Starboy,36.0,74k,-9%
4,Drake - Sneakin',4.0,52k,
5,Pentatonix - Hallelujah,7.0,54k,
6,Bruno Mars - 24K Magic,21.0,59k,-11%
7,twenty one pilots - Heathens,133.0,60k,-10%
8,Ariana Grande - Side To Side,66.0,53k,+11%
9,Hailee Steinfeld & Grey - Starving,88.0,50k,+65%
10,Maroon 5 - Don't Wanna Know,16.0,49k,-43%
11,"gnash - i hate u, i love u",184.0,47k,-1%
12,Lady Gaga - A-YO,10.0,30k,+315%
13,Jane Zhang - Dust My Shoulders Off,10.0,30k,+429%
14,D.R.A.M. - Broccoli,138.0,38k,-15%
15,Keith Urban - Blue Ain't Your Color,77.0,34k,-2%
16,Zay Hilfiger & Zayion McCall - Juju On That Beat,28.0,44k,+11%
17,Kiiara - Gold,145.0,33k,-10%
18,DJ Snake - Let Me Love You,84.0,31k,-22%
19,Sia - The Greatest,52.0,30k,+15%
20,Lady Gaga - Perfect Illusion,49.0,17k,+110%
21,Rae Sremmurd - Black Beatles,35.0,21k,+31%
22,Kenny Chesney - Setting the World on Fire,91.0,25k,-4%
23,Justin Timberlake - CAN'T STOP THE FEELING,175.0,25k,-1%
24,"Daya - Sit Still, Look Pretty",172.0,27k,+15%
25,X Ambassadors - Unsteady,214.0,22k,-3%
26,Jon Bellion - All Time Low,28.0,24k,-3%
27,Coldplay - Hymn for the Weekend,136.0,24k,-12%
28,Florida Georgia Line - May We All,84.0,24k,+3%
29,Niall Horan - This Town,29.0,16k,+0%
30,Alessia Cara - Scars To Your Beautiful,51.0,22k,+4%
31,Fitz & The Tantrums - HandClap,145.0,21k,-3%
32,Pitbull - Greenlight,16.0,20k,+49%
33,"Lil Wayne, Wiz Khalifa & Imagine Dragons - Sucker ...",126.0,20k,-15%
34,Locash - I Know Somebody,44.0,18k,+6%
35,Sia - Cheap Thrills,238.0,18k,-8%
36,Macklemore - Drug Dealer,11.0,6k,-47%
37,Alex Da Kid - Not Easy,7.0,18k,
38,Miranda Lambert - Vice,102.0,16k,+2%
39,"Artists Of Then, Now & Forever - Forever Country",42.0,16k,-10%
40,Major Lazer - Cold Water,98.0,18k,-15%
41,Little Big Town - Better Man,8.0,21k,+291%
42,Amine - Caroline,52.0,14k,+10%
43,Michael Jackson - Thriller,35.0,9k,+90%
44,Martin Garrix & Bebe Rexha - In the Name of Love,62.0,14k,+3%
45,Calvin Harris - My Way,42.0,17k,-18%
46,The Chainsmokers - Don't Let Me Down,264.0,13k,-15%
47,Rob $Tone - Chill Bill,87.0,13k,+2%
48,Young M.a. - Ooouuu,58.0,14k,-0%
49,Brett Young - Sleep Without You,51.0,13k,-3%
50,Kelsea Ballerini - Peter Pan,193.0,15k,+24%
51,twenty one pilots - Ride,218.0,14k,-20%
52,Shawn Mendes - Treat You Better,147.0,13k,-18%
53,Kanye West - Fade,49.0,12k,-0%
54,Flume - Say It,7.0,12k,+333%
55,Jon Pardi - Dirt on My Boots,22.0,11k,+10%
56,Andra Day - Rise Up,70.0,10k,+51%
57,Carrie Underwood - Dirty Laundry,30.0,12k,-17%
58,Cole Swindell - Middle of a Memory,129.0,11k,-3%
59,Toulouse - I Will Follow You,4.0,8k,+62%
60,Disturbed - The Sound of Silence,306.0,11k,+7%
61,"Bobby ""Boris"" Pickett & The Crypt-Kickers - Monste...",16.0,6k,+131%
62,Adele - Send My Love,214.0,10k,-9%
63,Luke Bryan - Move,84.0,11k,+4%
64,Andy Grammer - Fresh Eyes,31.0,11k,+7%
65,Florida Georgia Line - H.O.L.Y.,182.0,12k,-7%
66,Phil Collins - In the Air Tonight,11.0,6k,+243%
67,Thomas Rhett - Star of the Show,28.0,9k,-9%
68,DJ Khaled - Do You Mind,51.0,9k,-10%
69,Calvin Harris - This Is What You Came For,182.0,10k,-5%
70,Drake - Too Good,175.0,9k,-13%
71,Gavin DeGraw - She Sets the City on Fire,16.0,7k,+7%
72,Grace - You Don't Own Me,174.0,10k,-48%
73,Little Mix - Shout Out to My Ex,12.0,14k,-29%
74,Old Dominion - Song for Another Time,74.0,9k,-1%
75,William Michael Morgan - I Met a Girl,94.0,9k,-12%
76,Michael Bublé - Nobody bu...,11.0,7k,+488%
77,"Ray Parker, Jr. - Ghostbusters",14.0,5k,+112%
78,Brett Eldredge - Wanna Be That Song,82.0,8k,-7%
79,Tory Lanez - Luv,107.0,8k,-5%
80,Billy Gilman - Fight Song,3.0,4k,
81,Billy Currington - It Don't Hurt Like It Used To,113.0,9k,-21%
82,DNCE - Cake By the Ocean,374.0,8k,-9%
83,Drake - One Dance,206.0,8k,+1%
84,Eminem - Campaign Speech,8.0,11k,
85,Ariana Grande - Into You,175.0,8k,-12%
86,Charlie Puth - We Don't Talk Anymore,143.0,9k,-15%
87,Rihanna - Needed Me,250.0,8k,-7%
88,Zach Williams - Chain Breaker,20.0,7k,+3%
89,Train - Play That Song,7.0,7k,+6%
90,The Chainsmokers - All We Know,29.0,7k,-17%
91,Rihanna - Love on the Brain,17.0,7k,+23%
92,twenty one pilots - Stressed Out,430.0,8k,-12%
93,Jason Aldean - A Little More Summertime,99.0,7k,-9%
94,Chris Stapleton - Parachute,40.0,8k,+3%
95,Marconi Union - Weightless,1.0,1k,
96,Beyoncé - Hold Up,151.0,7k,-11%
97,Frenship & Emily Warren - Capsize,3.0,7k,+2%
98,Michael Bublé - Someday,6.0,8k,
99,Machine Gun Kelly & Camila Cabello - Bad Things,9.0,7k,-68%
100,Brad Paisley - Today,17.0,7k,-33%
101,Meghan Trainor - Me Too,170.0,7k,-15%
102,Blake Shelton - A Guy With a Girl,1.0,6k,+30%
103,Lady Gaga - Joanne,1.0,6k,
104,Sundance Head - The Climb,3.0,6k,
105,Chris Stapleton - Tennessee Whiskey,218.0,7k,+3%
106,Cole Swindell - You've Got My Number,5.0,7k,
107,P!NK - Just Like Fire,190.0,7k,-4%
108,Dierks Bentley - Different for Girls,144.0,6k,-7%
109,Maren Morris - 80s Mercedes,43.0,7k,-16%
110,Hillary Scott & The Scott Family - Thy Will,84.0,6k,-4%
111,Eric Church - Kill a Word,,6k,-1%
112,Beyoncé - Formation,180.0,7k,-20%
113,Johnny Cash - Hurt,7.0,11k,+154%
114,Wrabel - 11 Blocks,3.0,6k,-5%
115,Sia - Move Your Body,3.0,7k,
116,John Legend - Love Me Now,13.0,6k,-34%
117,Tove Lo - Cool Girl,34.0,6k,-15%
118,Lil Uzi Vert - Do What I Want,,1k,+137%
119,James Arthur - Say You Won't Let Go,,5k,+25%
120,Stanaj - Ain't Love Strange,,1k,
121,Steve Goodman - Go Cubs Go,4.0,6k,+273%
122,Flo Rida - My House,360.0,7k,-8%
123,Mark Ronson - Uptown Funk,542.0,7k,-7%
124,Desiigner - Tiimmy Turner,65.0,7k,-45%
125,21 Savage & Metro Boomin - X,,5k,+9%
126,Lady Gaga - The Edge of Glory,,2k,
127,Beyoncé - Sorry,184.0,7k,-25%
128,Darius Rucker - If I Told You,12.0,6k,+43%
129,Kaleo - Way Down We Go,3.0,5k,-2%
130,Rachel Platten - Fight Song,406.0,5k,+10%
131,The Citizens of Halloween - This Is Halloween,7.0,3k,+87%
132,Lady Gaga - Poker Face,,2k,+275%
133,Tim McGraw - Humble and Kind,220.0,5k,-1%
134,Pentatonix - Jolene,12.0,6k,+239%
135,Russ - What They Want,,5k,-6%
136,Kehlani - CRZY,28.0,7k,-7%
137,DJ Khaled - For Free,139.0,6k,-16%
138,Panic! At the Disco - Death of a Bachelor,9.0,6k,+21%
139,Desiigner - Panda,234.0,6k,-17%
140,Lil Yachty - One Night,9.0,5k,-6%
141,Drake White - Makin' Me Look Good Again,,5k,+24%
142,Lady Gaga - Born This Way,,2k,
143,Travis Scott & Young Thug - pick up the phone,19.0,5k,-7%
144,Kenny Chesney - Rich and Miserable,,6k,
145,"Pentatonix - Mary, Did You Know",68.0,4k,
146,Kungs & Cookin' On 3 Burners - This Girl,88.0,7k,-29%
147,Christian Cuevas - Superstar,2.0,2k,
148,PARTYNEXTDOOR - Come and See Me,9.0,5k,+2%
149,Kane Brown - Hometown,2.0,5k,
150,Beck - Wow,9.0,6k,+9%
151,Lauren Alaina - Road Less Traveled,,5k,-1%
152,Fifth Harmony - Work from Home,213.0,5k,-10%
153,Adele - Hello,223.0,4k,-7%
154,Thomas Rhett - Die a Happy Man,311.0,5k,-2%
155,Lukas Graham - 7 Years,273.0,5k,-13%
156,Solange - Cranes in the Sky,5.0,4k,+31%
157,Lady Gaga - Bad Romance,,1k,
158,Ruth B. - Lost Boy,242.0,5k,-4%
159,Zara Larsson - Ain't My Fault,8.0,4k,-1%
160,Wé McDonald - No More Dra...,3.0,4k,
161,Lil Uzi Vert - Money Longer,,4k,-7%
162,Flume - Never Be Like You,191.0,5k,-11%
163,Daya - Hide Away,253.0,5k,+33%
164,Charlie Puth - One Call Away,248.0,5k,-16%
165,The Chainsmokers - Roses,257.0,5k,-15%
166,Spencer Ludwig - Diggy,,3k,+49%
167,Drake - Controlla,155.0,5k,-13%
168,Shawn Mendes - Mercy,20.0,4k,-1%
169,Lil Uzi Vert - You Was Right,,4k,-4%
170,Ed Sheeran - Thinking Out Loud,484.0,5k,-18%
171,The White Stripes - Seven Nation Army,6.0,5k,-32%
172,AC/DC - Thunderstruck,17.0,5k,-10%
173,Chris Tomlin - Good Good Father,28.0,4k,+68%
174,Lady Gaga - Hey Girl,,5k,
175,Eminem - Lose Yourself,6.0,5k,+2%
176,TWICE - Tt,1.0,2k,
177,Chris Young - Sober Saturday Night,6.0,4k,-28%
178,Deorro - Bailar,,4k,+0%
179,RaeLynn - Love Triangle,2.0,3k,-22%
180,Dustin Lynch - Seein' Red,8.0,4k,-2%
181,Tucker Beathard - Rock On,47.0,5k,-30%
182,Brett Young - In Case You Didn't Know,64.0,4k,-40%
183,Shakira - Try Everything,99.0,5k,-13%
184,James Bay - Let It Go,284.0,4k,-15%
185,Carrie Underwood - Church Bells,140.0,4k,-14%
186,Clean Bandit - Rockabye,,3k,
187,Luke Combs - Hurricane,4.0,4k,-25%
188,The Lumineers - Ophelia,122.0,4k,-25%
189,Big & Rich - Lovin' Lately,4.0,6k,-18%
190,Michael Bublé - I Believe...,7.0,4k,
191,OneRepublic - Kids,33.0,4k,-38%
192,Ariana Grande - Dangerous Woman,186.0,4k,-20%
193,Dylan Scott - My Girl,,4k,-14%
194,Ellie Goulding - Still Falling for You,17.0,4k,-22%
195,Kanye West - Famous,45.0,3k,+17%
196,Ryan Stevenson - Eye of the Storm,3.0,3k,-22%
197,Kehlani - Gangsta,51.0,4k,-19%
198,Kylie Rothfield - Hound Dog,,1k,
199,Lesley Gore - You Don't Own Me,6.0,3k,-35%
200,Dan + Shay - From the Ground Up,197.0,4k,-27%
201,twenty one pilots - Cancer,18.0,3k,-21%
202,Bastille - Good Grief,5.0,4k,-6%
203,Michael Bublé - The Very ...,,4k,-16%
204,Jidenna - Long Live the Chief,17.0,4k,-47%
205,Drake White - Livin' the Dream,1.0,4k,-11%
206,Brantley Gilbert - The Weekend,9.0,3k,-18%
207,Joan Jett & The Blackhearts - I Love Rock 'N Roll,8.0,3k,+1%
208,Rob Thomas - Pieces,,3k,+6%
209,Courtney Harrell - River Deep Mountain High,,1k,
210,Porter Robinson & Madeon - Shelter,,4k,+98%
