,name,Top 100,end,change
0,Taylor Swift - Blank Space,42,261k,-25%
1,Hozier - Take Me to Church,130,154k,-2%
2,Mark Ronson - Uptown Funk,28,151k,-8%
3,Meghan Trainor - Lips Are Movin,48,114k,+1%
4,James Newton Howard - The Hanging Tree,14,167k,-9%
5,Nick Jonas - Jealous,91,102k,-0%
6,Sam Smith - I'm Not the Only One,93,91k,-23%
7,Meghan Trainor - All About That Bass,154,78k,-39%
8,Taylor Swift - Shake It Off,112,81k,-24%
9,Selena Gomez - The Heart Wants What It Wants,32,79k,-41%
10,Maroon 5 - Animals,106,63k,-25%
11,Ed Sheeran - Make It Rain,6,105k,
12,Big Sean - I Don't Fuck With You,78,62k,-3%
13,Ed Sheeran - Thinking Out Loud,70,60k,+62%
14,Fall Out Boy - Centuries,94,53k,-12%
15,"Jessie J, Ariana Grande & Nicki Minaj - Bang Bang",132,46k,-35%
16,Ariana Grande & The Weeknd - Love Me Harder,64,55k,-24%
17,Iggy Azalea - Beg For It,45,53k,-21%
18,I LOVE MAKONNEN - Tuesday,84,54k,-4%
19,Mr. Probz - Waves,117,50k,-11%
20,"Pentatonix - Mary, Did You Know",21,47k,+13%
21,Nicki Minaj - Only,40,48k,+29%
22,Ed Sheeran - Don't,178,42k,-8%
23,Mariah Carey - All I Want For Christmas Is You,47,37k,+59%
24,Jason Derulo - Trumpets,201,37k,-24%
25,Fergie - L.A.LOVE,69,40k,-42%
26,Vance Joy - Riptide,176,36k,-4%
27,Sam Smith - Stay With Me,255,37k,-7%
28,Tove Lo - Habits,184,37k,-17%
29,Beyoncé - 7/11,14,43k,-42%
30,DJ Snake & Lil Jon - Turn Down For What,348,20k,+8%
31,Sam Smith - Have Yourself a Merry Little Christmas,2,11k,
32,Ella Henderson - Ghost,43,30k,-15%
33,Calvin Harris - Blame,92,30k,-14%
34,O.T. Genasis - CoCo,18,31k,+14%
35,Usher - I Don't Mind,16,37k,-15%
36,Alesso - Heroes,79,27k,-6%
37,Rae Sremmurd - No Type,70,31k,-7%
38,Tim McGraw - Shotgun Rider,83,29k,-8%
39,Milky Chance - Stolen Dance,151,27k,-5%
40,Carrie Underwood - Something in the Water,70,28k,-17%
41,Nicki Minaj - Bed of Lies,21,24k,-20%
42,One Direction - Night Changes,24,26k,-44%
43,Jeremih - Don't Tell 'Em,171,24k,-20%
44,RaeLynn - God Made Girls,34,33k,+113%
45,Echosmith - Cool Kids,158,24k,-20%
46,Imagine Dragons - I Bet My Life,42,25k,-54%
47,Pitbull - Fireball,135,24k,-48%
48,David Guetta - Dangerous,62,26k,-31%
49,Lorde - Yellow Flicker Beat,29,32k,-52%
50,Iggy Azalea - Black Widow,156,22k,-33%
51,Blake Shelton - Lonely Tonight,15,17k,+35%
52,Sheppard - Geronimo,20,26k,+24%
53,Florida Georgia Line - Sun Daze,68,21k,-3%
54,Meghan Trainor - Dear Future Husband,89,18k,-18%
55,Nicki Minaj - All Things Go,5,24k,
56,Nicki Minaj - Anaconda,120,20k,+23%
57,Flo Rida - GDFR,40,18k,+17%
58,One Direction - Steal My Girl,70,19k,-50%
59,Clean Bandit - Rather Be,17,20k,-23%
60,Eric Church - Talladega,54,18k,-2%
61,Lee Brice - Drinking Class,64,19k,-7%
62,Idina Menzel - Let It Go,333,19k,+19%
63,Luke Bryan - I See You,10,18k,+35%
64,Kevin Ross - This Is My Wish,7,19k,+68%
65,Jessie J - Burnin' Up,32,18k,-10%
66,Sia - Chandelier,217,17k,-10%
67,OneRepublic - I Lived,25,20k,-38%
68,Bobby Shmurda - Hot N*gga,123,17k,-22%
69,Matt McAndrew - The Blower's Daughter,7,84k,
70,Taylor Swift - Bad Blood,42,16k,-25%
71,Sam Hunt - Take Your Time,22,18k,+22%
72,Colbie Caillat - Try,131,17k,-18%
73,Ariana Grande - Santa Tell Me,14,17k,-54%
74,Jason Aldean - Just Gettin' Started,16,16k,+40%
75,Beyoncé - Flawless Remix,14,23k,-56%
76,Idina Menzel - Baby It's Cold Outside,13,16k,+26%
77,WALK THE MOON - Shut Up and Dance,12,18k,+18%
