,name,Top 100,end,change
0,Wiz Khalifa - See You Again,34,463k,+173%
1,Mark Ronson - Uptown Funk,154,145k,-13%
2,WALK THE MOON - Shut Up and Dance,124,135k,+22%
3,Maroon 5 - Sugar,90,139k,-5%
4,Flo Rida - GDFR,166,135k,+10%
5,Fetty Wap - Trap Queen,81,111k,-2%
6,The Weeknd - Earned It,105,115k,-6%
7,Nick Jonas - Chains,81,108k,+13%
8,Jason Derulo - Want to Want Me,34,86k,-3%
9,Ellie Goulding - Love Me Like You Do,95,102k,-12%
10,Ed Sheeran - Thinking Out Loud,196,87k,-19%
11,Rihanna and Kanye West and Paul McCartney - FourFi...,78,80k,-24%
12,"Andy Grammer - Honey, I'm Good.",82,69k,+7%
13,Natalie La Rose - Somebody,77,68k,-10%
14,David Guetta - Hey Mama,27,59k,+16%
15,Tove Lo - Talking Body,67,56k,+16%
16,Taylor Swift - Style,168,60k,-19%
17,Meghan Trainor - Dear Future Husband,169,51k,+12%
18,Sam Smith - Lay Me Down,71,62k,-26%
19,Rihanna - Bitch Better Have My Money,18,62k,-54%
20,Sam Hunt - Take Your Time,143,56k,-8%
21,Skrillex & Diplo - Where ...,30,43k,+31%
22,Fifth Harmony - Worth It,51,48k,-2%
23,Nicki Minaj - Truffle Butter,81,43k,-14%
24,George Ezra - Budapest,61,46k,-2%
25,Pitbull & Ne-Yo - Time of Our Lives,132,45k,-20%
26,Ariana Grande - One Last Time,58,43k,-12%
27,Zac Brown Band - Homegrown,91,42k,-6%
28,Little Big Town - Girl Crush,87,41k,-21%
29,Dillon Francis & DJ Snake - Get Low,18,40k,+26%
30,Mumford & Sons - The Wolf,4,24k,
31,Kelly Clarkson - Heartbeat Song,91,44k,-34%
32,Florida Georgia Line - Sippin' On Fire,38,33k,+26%
33,Cole Swindell - Ain't Worth the Whiskey,100,36k,-20%
34,Vance Joy - Riptide,302,31k,-10%
35,Hozier - Take Me to Church,256,32k,-22%
36,Taylor Swift - Shake It Off,238,32k,-9%
37,Mumford & Sons - Believe,35,26k,+30%
38,Sia - Elastic Heart,109,39k,+37%
39,Taylor Swift - Blank Space,168,32k,-21%
40,Fall Out Boy - Centuries,220,35k,-9%
41,Sheppard - Geronimo,122,29k,-14%
42,Omarion - Post To Be,61,33k,-3%
43,Zedd - I Want You to Know,49,32k,-20%
44,Twayne - Nasty Freestyle,6,22k,+91%
45,"Kid Ink, Tyga, YG, Wale & Rich Homie Quan - Ride O...",17,32k,+84%
46,Iggy Azalea - Trouble,18,30k,-30%
47,Echosmith - Bright,30,25k,+0%
48,A Thousand Horses - Smoke,51,26k,+6%
49,LunchMoney Lewis - Bills,33,27k,-11%
50,"Tyler, The Creator - DEATHCAMP",4,16k,
51,DJ Snake & AlunaGeorge - You Know You Like It,23,24k,+13%
52,Meghan Trainor - Lips Are Movin,174,25k,-22%
53,Eric Church - Like a Wrecking Ball,40,25k,-7%
54,Rachel Platten - Fight Song,12,21k,+30%
55,Tori Kelly - Nobody Love,47,24k,-17%
56,Meghan Trainor - All About That Bass,280,22k,-15%
57,Trey Songz - Slow Motion,51,24k,+6%
58,Wiz Khalifa & Iggy Azalea - Go Hard Or Go Home,21,27k,+45%
59,Fall Out Boy - Immortals,72,24k,-3%
60,Who Is Fancy - Goodbye,30,27k,+59%
61,Thomas Rhett - Crash and Burn,6,40k,
62,"Tyler, The Creator - FUCKING YOUNG / PERFECT",4,13k,
63,Drake - Know Yourself,54,24k,-10%
64,Nick Jonas - Jealous,217,24k,-8%
65,Calvin Harris - Outside,105,23k,-25%
66,Canaan Smith - Love You Like That,27,22k,-5%
67,Rae Sremmurd - Throw Sum Mo,101,22k,-12%
68,Miranda Lambert - Little Red Wagon,62,20k,-11%
69,One Direction - Night Changes,150,22k,-19%
70,Big Sean - Blessings,72,21k,-11%
71,Usher - I Don't Mind,142,23k,-22%
72,Billy Currington - Don't It,35,19k,+2%
73,Carrie Underwood - Little Toy Guns,32,20k,-4%
74,Chris Brown & Tyga - Ayo,97,20k,-14%
75,Imagine Dragons - I Bet My Life,168,19k,-18%
76,Lee Brice - Drinking Class,189,18k,-10%
77,Maroon 5 - Animals,232,19k,-17%
78,Tyler Farr - A Guy Walks Into a Bar,72,18k,-11%
79,Nicki Minaj - Only,166,19k,-10%
80,Kanye West - All Day,41,18k,-6%
81,Chris Young - Lonely Eyes,101,18k,-13%
82,Darius Rucker - Homegrown Honey,30,18k,-25%
83,Drake - Energy,59,17k,-14%
84,Silento - Watch Me,4,16k,+22%
85,Sam Smith - I'm Not the Only One,219,18k,-30%
86,twenty one pilots - Tear In My Heart,7,34k,
87,Carly Rae Jepsen - I Really Like You,22,19k,-7%
88,Kelsea Ballerini - Love Me Like You Mean It,22,16k,-4%
89,Eric Paslay - She Don't Love You,29,16k,-3%
90,X Ambassadors - Renegades,8,22k,+94%
91,Fall Out Boy - Uma Thurman,47,17k,-5%
92,Kenny Chesney - Wild Child,9,15k,-3%
93,Katy Perry - Dark Horse,397,15k,-3%
94,Kalin and Myles - Trampoline,14,17k,-7%
95,Blake Shelton - Sangria,5,11k,+123%
96,Tim McGraw - Diamond Rings and Old Barstools,14,15k,-6%
