,name,Top 100,end,change
0,Post Malone - rockstar,7.0,81k,
1,Taylor Swift - Look What You Made Me Do,28.0,60k,-21%
2,Cardi B - Bodak Yellow,77.0,54k,+74%
3,Imagine Dragons - Thunder,142.0,43k,+10%
4,Logic - 1-800-273-8255,97.0,40k,-22%
5,Portugal. The Man - Feel It Still,122.0,41k,+2%
6,P!nk - What About Us,43.0,34k,+18%
7,Demi Lovato - Sorry Not Sorry,73.0,36k,-25%
8,James Arthur - Say You Won't Let Go,328.0,13k,+45%
9,Sam Smith - Too Good at Goodbyes,14.0,37k,-59%
10,Imagine Dragons - Believer,234.0,32k,+7%
11,Kesha - Praying,78.0,30k,+1%
12,Taylor Swift - ...Ready For It,19.0,32k,-26%
13,Liam Payne - Strip That Down,126.0,28k,-22%
14,Niall Horan - Slow Hands,141.0,27k,-14%
15,Kane Brown - What Ifs,132.0,25k,+7%
16,Maroon 5 - What Lovers Do,23.0,23k,+18%
17,Kelly Clarkson - Love So Soft,15.0,13k,-57%
18,Luis Fonsi & Daddy Yankee - Despacito,158.0,21k,-10%
19,Shawn Mendes - There's Nothing Holdin' Me Back,155.0,19k,+9%
20,Thomas Rhett - Unforgettable,55.0,18k,-20%
21,LANco - American Love Story,68.0,16k,+15%
22,Macklemore - Glorious,83.0,15k,+17%
23,Luke Combs - When It Rains It Pours,81.0,17k,+4%
24,Halsey - Bad At Love,23.0,15k,+39%
25,Yo Gotti - Rake It Up,74.0,18k,+23%
26,J Balvin & Willy William - Mi Gente,84.0,16k,-9%
27,Nick Jonas - Find You,8.0,20k,
28,Sam Hunt - Body Like a Back Road,233.0,18k,-4%
29,Ed Sheeran - Perfect,63.0,13k,+64%
30,Justin Bieber & BloodPop®...,36.0,16k,+8%
31,French Montana - Unforgettable,168.0,16k,+9%
32,Dustin Lynch - Small Town Boy,183.0,16k,-13%
33,Charlie Puth - Attention,154.0,15k,-9%
34,Niall Horan - Too Much to Ask,7.0,33k,
35,Khalid - Young Dumb & Broke,54.0,14k,-8%
36,Calvin Harris - Feels,98.0,15k,-14%
37,Jon Pardi - Heartache on the Dance Floor,95.0,12k,+21%
38,Macklemore - Good Old Days,3.0,5k,
39,Gucci Mane - Curve,8.0,13k,
40,Blake Shelton - I'll Name the Dogs,14.0,13k,-53%
41,Thomas Rhett - Marry Me,12.0,7k,-58%
42,Blackbear - Do Re mi,63.0,11k,-32%
43,Camila Cabello - Havana,35.0,10k,-15%
44,"Earth, Wind & Fire - September",5.0,3k,+77%
45,The Chainsmokers & Coldplay - Something Just Like ...,212.0,11k,-2%
46,Ed Sheeran - Shape of You,259.0,10k,-4%
47,BTS - DNA,4.0,16k,
48,21 Savage - Bank Account,77.0,10k,-11%
49,Carly Pearce - Every Little Thing,97.0,9k,-3%
50,Kendrick Lamar - HUMBLE.,175.0,10k,-9%
51,Brett Young - Like I Loved You,23.0,9k,+58%
52,Fall Out Boy - The Last Of The Real Ones,8.0,14k,
53,Harry Styles - Sign of the Times,124.0,8k,+79%
54,DJ Khaled - Wild Thoughts,98.0,10k,-20%
55,Dua Lipa - New Rules,32.0,9k,-27%
56,Luis Fonsi - Despacito,245.0,10k,-38%
57,Brett Young - In Case You Didn't Know,313.0,8k,-4%
58,NF - Let You Down,7.0,12k,
59,Kenny Chesney - All the Pretty Girls,47.0,7k,+23%
60,Bruno Mars - That's What I Like,249.0,7k,-10%
61,Clean Bandit - Symphony,44.0,3k,+104%
62,The Revivalists - Wish I Knew You,124.0,7k,-25%
63,Childish Gambino - Redbone,216.0,7k,-34%
64,Cheat Codes - No Promises,133.0,8k,-49%
65,Luke Bryan - Light It Up,30.0,7k,-3%
66,Midland - Drinkin' Problem,150.0,6k,-16%
67,Khalid - Location,220.0,7k,-19%
68,Chris Young - Losing Sleep,17.0,6k,+26%
69,Post Malone - Congratulations,247.0,8k,+1%
70,Ed Sheeran - Castle on the Hill,259.0,7k,-10%
71,A Boogie Wit da Hoodie - Drowning,149.0,6k,+26%
72,ZAYN - Dusk Till Dawn,15.0,8k,-73%
73,Brothers Osborne - It Ain't My Fault,135.0,7k,+6%
74,Thomas Rhett - Craving You,175.0,8k,-40%
75,Theory of a Deadman - Rx,22.0,6k,+2%
76,DJ Khaled - I'm the One,147.0,7k,-11%
77,Walker Hayes - You Broke Up with Me,70.0,5k,-5%
78,Chris Stapleton - Tennessee Whiskey,443.0,6k,+5%
79,Marshmello - Silence,42.0,6k,+2%
80,Gucci Mane - I Get the Bag,20.0,6k,+14%
81,Ed Sheeran - Galway Girl,63.0,6k,+10%
82,Bruno Mars - 24K Magic,349.0,5k,-2%
83,Lil Uzi Vert - XO TOUR Llif3,181.0,6k,-7%
84,Justin Timberlake - CAN'T STOP THE FEELING,504.0,6k,-1%
85,G-Eazy - No Limit,13.0,5k,-47%
