,name,Top 100,end,change
0,Pitbull - Timber,76,213k,+12%
1,A Great Big World - Say Something,48,236k,+7%
2,Eminem - The Monster,55,190k,+9%
3,OneRepublic - Counting Stars,98,166k,+16%
4,Passenger - Let Her Go,98,133k,+16%
5,Katy Perry - Dark Horse,97,104k,+84%
6,Lorde - Royals,98,113k,+17%
7,One Direction - Story Of My Life,57,110k,-2%
8,Imagine Dragons - Demons,98,98k,+18%
9,Beyoncé - Drunk in Love,3,57k,
10,Katy Perry - Roar,98,71k,+29%
11,Avicii - Wake Me Up,98,75k,+15%
12,Ellie Goulding - Burn,84,84k,+8%
13,Macklemore & Ryan Lewis - White Walls,81,76k,+11%
14,Lorde - Team,97,69k,+54%
15,Lady Gaga - Do What U Want,63,76k,+29%
16,DJ Snake & Lil Jon - Turn Down For What,3,27k,
17,Bastille - Pompeii,98,66k,+37%
18,The Neighbourhood - Sweater Weather,98,65k,+9%
19,Katy Perry - Unconditionally,62,55k,+16%
20,Idina Menzel - Let It Go,26,55k,+4%
21,Miley Cyrus - Wrecking Ball,98,57k,+7%
22,Mike Will Made-It - 23,95,54k,+17%
23,Luke Bryan - Drink a Beer,47,52k,+15%
24,Lady Gaga - Applause,98,41k,+19%
25,Imagine Dragons - Radioactive,98,35k,+23%
26,"Drake - Hold On, We're Going Home",98,42k,+10%
27,Demi Lovato - Let It Go,28,36k,+0%
28,Zendaya - Replay,92,37k,+77%
29,Beyoncé - Mine,3,27k,
30,YG - My Nigga,88,42k,+21%
31,Alex & Sierra - Say Something,19,59k,-10%
32,Sara Bareilles - Brave,98,38k,+4%
33,Florida Georgia Line - Stay,73,40k,+3%
34,Brantley Gilbert - Bottoms Up,6,70k,
35,Mariah Carey - All I Want For Christmas Is You,27,44k,+0%
36,Zedd - Stay the Night,98,40k,+16%
37,Luke Bryan - That's My Kind of Night,98,31k,+12%
38,Jason Derulo - Marry Me,88,45k,-23%
39,Sage the Gemini - Gas Pedal,97,35k,+88%
40,JAY Z - Holy Grail,98,30k,+14%
41,Kid Ink - Show Me,49,36k,+43%
42,Eminem - Rap God,69,33k,+19%
43,David Nail - Whatever She's Got,91,36k,+14%
44,"Kristen Bell, Agatha Lee Monn & Katie Lopez - Do Y...",24,27k,+5%
45,Ylvis - The Fox,97,29k,+2%
46,American Authors - Best Day of My Life,41,40k,-18%
47,Robin Thicke - Blurred Lines,98,28k,+15%
48,Beyoncé - Pretty Hurts,3,18k,
49,AWOLNATION - Sail,98,27k,+22%
50,Cassadee Pope - Wasting All These Tears,98,27k,+5%
51,Florida Georgia Line - Cruise,97,25k,+5%
52,Martin Garrix - Animals,84,27k,+22%
53,Jason Aldean - When She Says Baby,27,29k,+17%
54,Paramore - Still Into You,94,23k,+61%
55,Eminem - Berzerk,98,21k,+17%
56,Cole Swindell - Chillin' It,94,27k,+12%
57,Kelly Clarkson - Underneath the Tree,19,23k,-1%
58,Avicii - Hey Brother,29,27k,+19%
59,John Newman - Love Me Again,37,23k,+0%
60,Parmalee - Carolina,89,27k,-12%
61,Beyoncé - Partition,3,15k,
62,Drake - All Me,90,23k,+17%
63,Kristen Bell & Idina Menzel - For the First Time i...,17,17k,-4%
64,Fall Out Boy - My Songs Know What You Did In the D...,88,22k,+2%
65,Macklemore & Ryan Lewis - Can't Hold Us,75,19k,+14%
66,Beyoncé - XO,3,13k,
67,John Legend - All of Me,77,28k,+1%
68,Miley Cyrus - We Can't Stop,89,18k,+21%
69,B.o.B - HeadBand,81,25k,+51%
70,Jon Pardi - Up All Night,24,22k,+16%
71,One Direction - Best Song Ever,50,15k,+7%
72,Fall Out Boy - Alone Together,25,21k,+18%
73,Pentatonix - Little Drummer Boy,26,24k,-8%
74,Ed Sheeran - I See Fire,17,33k,+77%
75,Enrique Iglesias - Heart Attack,34,22k,+27%
76,Selena Gomez - Slow Down,98,18k,+0%
77,Capital Cities - Safe and Sound,93,19k,+19%
78,Beyoncé - ***Flawless,3,13k,
79,Alex & Sierra - Give Me Love,5,30k,
80,Justin Timberlake - Mirrors,46,16k,+40%
81,John Mayer - Who You Love,15,36k,+189%
82,Lady Antebellum - Compass,50,19k,+6%
83,Alex & Sierra - Gravity,12,41k,-58%
84,Zac Brown Band - Sweet Annie,54,19k,+13%
85,Macklemore & Ryan Lewis - Thrift Shop,33,14k,+13%
86,Florida Georgia Line - This Is How We Roll,28,21k,+6%
87,Keith Urban & Miranda Lambert - We Were Us,98,18k,-0%
88,Eric Church - The Outsiders,62,18k,+4%
89,Eli Young Band - Drunk Last Night,98,20k,+4%
90,Miley Cyrus - Adore You,22,15k,+46%
91,Bruno Mars - Treasure,61,14k,+121%
92,Cat Power - Have Yourself a Merry Little Christmas,1,8k,
93,Justin Bieber - All That Matters,26,16k,+10%
94,Thomas Rhett - It Goes Like This,89,16k,+6%
95,Eminem - Survival,61,16k,+13%
