,name,Top 100,end,change
0,Pharrell Williams - Happy,111,275k,+4%
1,Jason Derulo - Talk Dirty,112,202k,+25%
2,John Legend - All of Me,194,211k,+6%
3,Idina Menzel - Let It Go,145,163k,+5%
4,DJ Snake & Lil Jon - Turn Down For What,122,117k,+24%
5,Katy Perry - Dark Horse,216,107k,+0%
6,Aloe Blacc - The Man,131,87k,-3%
7,Luke Bryan - Play It Again,47,109k,-7%
8,Ed Sheeran - Sing,14,110k,-17%
9,Florida Georgia Line - This Is How We Roll,132,82k,-11%
10,Iggy Azalea - Fancy,41,85k,+59%
11,Bastille - Pompeii,217,71k,+2%
12,MKTO - Classic,72,60k,+29%
13,Christina Perri - Human,104,73k,+36%
14,Justin Timberlake - Not a Bad Thing,55,88k,+12%
15,Avicii - Hey Brother,148,63k,+9%
16,Paramore - Ain't It Fun,55,70k,+16%
17,Austin Mahone - Mmm Yeah,66,52k,+12%
18,The Chainsmokers - #Selfie,61,56k,-8%
19,American Authors - Best Day of My Life,159,61k,-0%
20,Brantley Gilbert - Bottoms Up,125,63k,+3%
21,Rixton - Me and My Broken Heart,26,49k,+46%
22,Naughty Boy - La La La,51,61k,+29%
23,5 Seconds of Summer - She Looks So Perfect,20,41k,+25%
24,Pitbull - Wild Wild Love,55,53k,+30%
25,Martin Garrix - Animals,203,54k,+8%
26,"Kristen Bell, Agatha Lee Monn & Katie Lopez - Do Y...",143,58k,-2%
27,Disclosure - Latch,44,44k,+61%
28,OneRepublic - Counting Stars,217,45k,+16%
29,Lana Del Rey - West Coast,7,119k,
30,Beyoncé - Drunk in Love,122,43k,+4%
31,Keith Urban - Cop Car,85,40k,+6%
32,Demi Lovato - Neon Lights,100,34k,+35%
33,Lorde - Team,216,43k,-3%
34,Pitbull - Timber,195,44k,+0%
35,Eric Church - Give Me Back My Hometown,102,44k,-10%
36,Kid Ink - Show Me,168,36k,-8%
37,B.o.B - John Doe,31,36k,+27%
38,Jerrod Niemann - Drink to That All Night,112,41k,+9%
39,Chris Brown - Loyal,85,51k,+9%
40,Jake Owen - Beachin',48,41k,+19%
41,Trey Songz - Na Na,74,39k,+7%
42,Dan + Shay - 19 You + Me,109,35k,-2%
43,Calvin Harris - Summer,34,45k,+31%
44,Kristen Bell & Idina Menzel - For the First Time i...,129,38k,-4%
45,OneRepublic - Love Runs Out,7,50k,
46,Beyoncé - Partition,75,34k,+18%
47,Miranda Lambert - Automatic,47,38k,-32%
48,Rascal Flatts - Rewind,95,32k,-18%
49,Neon Trees - Sleeping With a Friend,44,34k,+23%
50,Imagine Dragons - Demons,217,25k,+10%
51,Passenger - Let Her Go,217,33k,+17%
52,A Great Big World - Say Something,167,33k,+4%
53,Thomas Rhett - Get Me Some of That,112,32k,+8%
54,Eminem - Headlights,46,28k,+2%
55,Eminem - The Monster,174,32k,+39%
56,Kristen Bell & Santino Fontana - Love Is an Open D...,62,27k,+10%
57,Imagine Dragons - On Top of the World,73,28k,+8%
58,Young Money - Trophies,53,32k,+1%
59,Brett Eldredge - Beat of the Music,44,26k,+2%
60,Hunter Hayes - Invisible,53,22k,-22%
61,Sam Smith - Stay With Me,24,33k,+28%
62,Lee Brice - I Don't Dance,28,27k,+37%
63,One Direction - Story Of My Life,176,29k,-0%
64,Shakira - Empire,32,22k,+8%
65,Ingrid Michaelson - Girls Chase Boys,15,34k,+44%
66,Shakira - Can't Remember To Forget You,88,19k,+3%
67,Lana Del Rey - Young and Beautiful,65,27k,+133%
68,Newsboys - God's Not Dead,13,19k,+14%
69,Ellie Goulding - Beating Heart,28,22k,+39%
70,Imagine Dragons - Radioactive,214,21k,+11%
71,Young Thug - Stoner,64,20k,+12%
72,Tyler Farr - Whiskey in My Water,28,24k,+20%
73,Demi Lovato - Let It Go,146,25k,-5%
74,Ellie Goulding - Burn,202,22k,+11%
75,Florida Georgia Line - Cruise,210,22k,-8%
76,Avicii - Wake Me Up,217,24k,+7%
77,Tove Lo - Stay High,42,21k,+7%
78,Dustin Lynch - Where It's At,6,34k,
79,Lorde - Royals,217,24k,+11%
80,Schoolboy Q - Man of the Year,63,20k,+18%
81,Blake Shelton - Doin' What She Likes,94,23k,-25%
82,Dierks Bentley - I Hold On,104,21k,-19%
83,Tiësto - Red Lights,21,22k,+22%
84,YG - Who Do You Love,50,24k,-6%
85,Coldplay - Magic,49,27k,-16%
86,Nico & Vinz - Am I Wrong,7,24k,+50%
87,Frankie Ballard - Helluva Life,83,20k,+9%
88,Katy Perry - Roar,217,23k,+3%
89,Luke Bryan - Drink a Beer,162,20k,+2%
90,Luke Bryan - That's My Kind of Night,182,19k,+7%
91,Justin Moore - Lettin' the Night Roll,17,20k,-12%
92,We Are Toonz - Drop That #NaeNae,5,17k,+24%
93,Austin Mahone - Till I Find You,3,18k,
94,Arctic Monkeys - Do I Wanna Know,83,19k,+10%
95,Eminem - Rap God,132,16k,+15%
96,Fitz & The Tantrums - The Walker,36,21k,-12%
97,Kongos - Come With Me Now,26,24k,+20%
98,Ty Dolla $ign - Paranoid,86,19k,-3%
99,Coldplay - Midnight,1,3k,
100,Joe Nichols - Yeah,4,20k,+20%
101,SoMo - Ride,98,19k,-6%
102,Tim McGraw - Lookin' For That Girl,38,19k,-0%
103,Josh Gad - In Summer,65,18k,-0%
104,Bastille - Bad Blood,12,23k,-0%
105,Chris Young - Who I Am With You,10,19k,+9%
106,Chase Rice - Ready Set Roll,26,18k,+16%
107,Sara Bareilles - Brave,207,19k,+5%
108,Zendaya - Replay,177,17k,+11%
109,Ty Dolla $ign - Or Nah,,17k,+24%
110,Jason Aldean - When She Says Baby,139,18k,-10%
111,Future - Move That Dope,13,20k,+7%
112,Billy Currington - We Are Tonight,,17k,+14%
113,Phillip Phillips - Raging Fire,12,16k,+13%
114,Randy Houser - Goodnight Kiss,8,17k,+5%
115,2Virgins - Buckwild,4,13k,-22%
116,David Nail - Whatever She's Got,191,17k,+3%
117,AWOLNATION - Sail,190,16k,+5%
118,Cash Cash - Take Me Home,68,16k,-0%
119,George Strait - I Got a Car,7,18k,-23%
120,Jack Jack - Paradise,4,16k,+11%
121,Kip Moore - Dirt Road,5,20k,
122,One Direction - You & I,6,7k,+36%
123,Hillsong United - Oceans,33,17k,+6%
124,Sara Evans - Slow Me Down,10,17k,+7%
125,Miley Cyrus - Adore You,118,15k,+3%
126,Fall Out Boy - My Songs Know What You Did In the D...,145,15k,+8%
127,will.i.am - Feelin' Myself,1,17k,+5%
128,Macklemore & Ryan Lewis - Can't Hold Us,140,14k,+8%
129,Florida Georgia Line - Stay,119,17k,+15%
130,Darius Rucker - Wagon Wheel,65,16k,-28%
131,Brad Paisley - River Bank,7,17k,-25%
132,Craig Morgan - Wake Up Lovin' You,,15k,+9%
133,Ariana Grande - Problem,,2k,
134,Capital Cities - Safe and Sound,163,15k,+12%
135,Cole Swindell - Hope You Get Lonely Tonight,16,16k,+5%
136,Jake Owen - Barefoot Blue Jean Night,,14k,+8%
137,Cole Swindell - Chillin' It,189,14k,-3%
138,Miley Cyrus - Wrecking Ball,186,15k,+6%
139,Bruno Mars - Young Girls,66,11k,+5%
140,Jhene Aiko - The Worst,8,17k,+7%
141,Wiz Khalifa - We Dem Boyz,9,14k,+194%
142,Lorde - Glory and Gore,26,14k,+17%
143,"Fall Out Boy - Sugar, We're Goin Down",,12k,+6%
144,YG - My Nigga,185,14k,-9%
145,Robin Thicke - Blurred Lines,183,16k,+4%
146,Christina Perri - A Thousand Years,6,15k,+9%
147,Blake Shelton - Boys 'Round Here,36,12k,+4%
148,Jack & Jack - Flights,5,9k,+30%
149,Mike Will Made-It - 23,164,12k,+4%
150,Daughtry - Waiting For Superman,117,11k,-14%
151,The Neighbourhood - Sweater Weather,169,12k,+9%
152,The Cadillac Three - The South,1,14k,+2%
153,Sam Smith - Not In That Way,5,30k,
154,Skrillex - Recess,9,12k,+23%
155,Tech N9ne - Fragile,,15k,+21%
156,Tim McGraw - Meanwhile Back At Mama's,9,18k,-50%
157,John Newman - Love Me Again,128,11k,-6%
158,Luke Bryan - Country Girl,,11k,+12%
