,name,Top 100,end,change
126,The Strumbellas - Spirits,,8k,+2%
127,Jennifer Lopez - Ain't Your Mama,16,9k,-36%
128,Chris Lane - Fix,7,9k,-2%
129,Thomas Rhett - Vacation,,8k,+9%
130,Kygo - Stay,8,8k,+137%
131,Troye Sivan - YOUTH,80,9k,-16%
132,Elle King - Ex's & Oh's,312,8k,-2%
133,Chris Stapleton - Fire Away,28,9k,+0%
134,David Guetta - This One's for You,1,9k,
135,Major Lazer - Light It Up,,8k,+14%
136,Wiz Khalifa - See You Again,311,8k,+4%
137,Madeintyo - Uber Everywhere,,8k,-3%
138,Kaleo - Way Down We Go,2,7k,-0%
139,Coldplay - Adventure of a Lifetime,146,8k,+10%
140,Kygo - Stole the Show,7,8k,+114%
141,Rascal Flatts - I Like the Sound of That,64,8k,-13%
142,Lauren Daigle - Trust In You,13,8k,-10%
143,Dierks Bentley - Black,,8k,
144,Meghan Trainor - Mom,8,9k,-38%
145,Drake - Childs Play,,8k,-20%
146,Fetty Wap - 679,287,7k,+2%
147,Frankie Ballard - It All Started with a Beer,,7k,-11%
148,Rihanna - Love on the Brain,4,2k,+12%
149,WALK THE MOON - Shut Up and Dance,397,8k,-0%
150,Tucker Beathard - Rock On,,7k,+14%
151,Alex Aiono - One Dance & Hasta El Amancer Mashup,,1k,
152,Blink-182 - Bored to Death,10,7k,-27%
153,The Script - Hall of Fame,3,6k,+57%
154,Meghan Trainor - Better When I'm Dancin',33,8k,+12%
155,Nashville Cast - I Will Never Let You Know,4,1k,
156,Silento - Watch Me,291,7k,+4%
157,Ariana Grande - Be Alright,13,6k,+8%
158,Enrique Iglesias - Duele ...,3,6k,+37%
159,Ed Sheeran - Thinking Out Loud,484,7k,-3%
160,Beyoncé - Love Drought,11,7k,-16%
161,Prince & The Revolution - Purple Rain,26,10k,-43%
162,Cole Swindell - Middle of a Memory,3,7k,-39%
163,Kiiara - Gold,,6k,+18%
164,Taylor Swift - Shake It Off,428,6k,+17%
165,Drake - Hotline Bling,243,8k,-35%
166,Sam Hunt - Break Up In a Small Town,248,7k,-13%
167,Bryson Tiller - Exchange,38,7k,+3%
168,Yo Gotti - Law,,6k,+4%
169,Andra Day - Rise Up,26,8k,-55%
170,Panic! At the Disco - Victorious,72,7k,-12%
171,Florida Georgia Line - Confession,115,8k,-15%
172,Pharrell Williams - Happy,432,5k,+12%
173,Drake - Fire & Desire,1,7k,-36%
174,Drake - With You,2,7k,-34%
175,50 Cent - I'm the Man,5,7k,-45%
176,Chris Stapleton - Nobody To Blame,131,7k,-7%
177,Shakira - Try Everything,47,6k,-6%
178,Demi Lovato - Confident,167,6k,+11%
179,Jonas Blue - Fast Car,,6k,-10%
180,DMX - X Gon' Give It to Ya,17,8k,+48%
181,Justin Timberlake - Drink You Away,57,6k,-28%
182,David Nail - Night's On Fire,3,5k,-0%
183,Young Greatness - Moolah,,6k,-0%
184,Adele - When We Were Young,137,5k,-31%
185,Drake - Grammys,4,7k,-40%
186,The Weeknd - Acquainted,19,6k,-15%
187,Ben Rector - Brand New,,4k,-0%
188,Sia - Chandelier,336,4k,-3%
189,Brett Eldredge - Drunk On Your Love,107,6k,-16%
190,Jacob Sartorius - Sweatshirt,13,7k,-42%
191,Meghan Trainor - All About That Bass,349,6k,+28%
192,Kane Brown - Used to Love You Sober,25,5k,-19%
193,DNCE - Toothbrush,,1k,+17%
194,Aaron Carpenter - She Know What She Doin',1,2k,
195,Brand New - I Am a Nightmare,,2k,
196,A$AP Ferg - New Level,9,4k,-12%
197,Ed Sheeran - Photograph,219,5k,-3%
198,Taylor Swift - Wildest Dreams,256,5k,+0%
199,Greg Laswell - Dodged a Bullet,,,
200,Yo Gotti - Down in the DM,128,6k,-15%
201,The Weeknd - The Hills,303,5k,-1%
202,Daya - Hide Away,219,6k,-12%
203,Melanie Martinez - Pity Party,,5k,-11%
204,Journey - Don't Stop Believin',,5k,-8%
205,Bryson Tiller - Don't,132,5k,-0%
206,Rascal Flatts - My Wish,,4k,+19%
207,Bebe Rexha - No Broken Hearts,,5k,-23%
208,Rihanna - Sex with Me,8,4k,-11%
209,Meghan Trainor & LunchMoney Lewis - I Love Me,7,7k,-4%
210,Maroon 5 - Sugar,294,5k,+1%
211,Cam - Mayday,,5k,+11%
212,Gwen Stefani - Make Me Like You,51,6k,-37%
213,Justin Bieber - What Do You Mean,215,5k,-19%
214,Hillary Scott & The Scott Family - Thy Will,1,4k,-27%
215,James Major - Cake By the Ocean - Single,,3k,
216,Drake - Summer Sixteen,83,5k,-19%
217,Post Malone - Go Flex,8,5k,-3%
218,The Weeknd - Can't Feel My Face,280,5k,-5%
219,Fifth Harmony - Write On Me,2,7k,-30%
220,Kid Ink - Promise,38,5k,-24%
221,The Amity Affliction - I Bring the Weather With Me,,,
222,AC/DC - Thunderstruck,,5k,+6%
223,Bea Miller - Yes Girl,,,
224,Drake - 9,,6k,-43%
225,Prince - When Doves Cry,20,7k,-46%
