,name,Top 100,end,change
0,Sia - Cheap Thrills,147.0,126k,+5%
1,Major Lazer - Cold Water,7.0,166k,
2,Justin Timberlake - CAN'T STOP THE FEELING,84.0,78k,-10%
3,Meghan Trainor - Me Too,81.0,65k,+3%
4,twenty one pilots - Heathens,42.0,53k,+31%
5,"gnash - i hate u, i love u",93.0,41k,+17%
6,Calvin Harris - This Is What You Came For,91.0,55k,-20%
7,Drake - One Dance,115.0,54k,-3%
8,Shawn Mendes - Treat You Better,57.0,43k,-2%
9,twenty one pilots - Ride,127.0,50k,-9%
10,Florida Georgia Line - H.O.L.Y.,91.0,53k,-16%
11,Adele - Send My Love,123.0,49k,-6%
12,DJ Khaled - For Free,56.0,36k,+26%
13,Katy Perry - Rise,14.0,40k,-70%
14,The Chainsmokers - Don't Let Me Down,173.0,42k,-11%
15,Rihanna - Needed Me,159.0,37k,-6%
16,Kiiara - Gold,54.0,36k,+1%
17,Miranda Lambert - Vice,11.0,42k,-40%
18,Flume - Never Be Like You,123.0,35k,-1%
19,P!NK - Just Like Fire,105.0,36k,-9%
20,Drake - Too Good,84.0,31k,-1%
21,Charlie Puth - We Don't Talk Anymore,52.0,31k,+3%
22,Ariana Grande - Into You,84.0,27k,-1%
23,Skrillex & Rick Ross - Purple Lamborghini,7.0,37k,
24,Kent Jones - Don't Mind,94.0,29k,-27%
25,D.R.A.M. - Broccoli,47.0,29k,-3%
26,"Lil Wayne, Wiz Khalifa & Imagine Dragons - Sucker ...",35.0,24k,+76%
27,Rachel Platten - Fight Song,388.0,13k,+23%
28,Coldplay - Hymn for the Weekend,45.0,26k,+10%
29,Beyoncé - Sorry,95.0,26k,-9%
30,Desiigner - Panda,152.0,22k,-8%
31,DJ Khaled - Holy Key,6.0,27k,
32,Dan + Shay - From the Ground Up,142.0,25k,-18%
33,Britney Spears - Make Me...,14.0,25k,-72%
34,Ruth B. - Lost Boy,186.0,26k,-23%
35,Drake - Controlla,84.0,23k,-7%
36,Dierks Bentley - Different for Girls,63.0,23k,-2%
37,Fifth Harmony - All In My Head,42.0,22k,+2%
38,DJ Khaled - I Got the Keys,32.0,18k,+33%
39,Fifth Harmony - Work from Home,154.0,19k,-10%
40,DNCE - Toothbrush,45.0,19k,-22%
41,Kelsea Ballerini - Peter Pan,107.0,19k,-8%
42,X Ambassadors - Unsteady,123.0,18k,-11%
43,Eric Church - Record Year,111.0,19k,+6%
44,Mike Posner - I Took a Pill In Ibiza,198.0,19k,-12%
45,"Daya - Sit Still, Look Pretty",82.0,17k,-3%
46,Thomas Rhett - Vacation,59.0,19k,-4%
