,name,Top 100,end,change
0,Pitbull - Timber,83,442k,+107%
1,OneRepublic - Counting Stars,105,407k,+145%
2,Eminem - The Monster,62,429k,+125%
3,A Great Big World - Say Something,55,351k,+48%
4,Katy Perry - Dark Horse,104,283k,+171%
5,Lorde - Royals,105,305k,+168%
6,Passenger - Let Her Go,105,270k,+102%
7,Imagine Dragons - Demons,105,292k,+197%
8,One Direction - Story Of My Life,64,275k,+149%
9,Katy Perry - Roar,105,252k,+254%
10,Avicii - Wake Me Up,105,186k,+148%
11,Idina Menzel - Let It Go,33,148k,+166%
12,Lorde - Team,104,153k,+119%
13,Ellie Goulding - Burn,91,157k,+86%
14,Macklemore & Ryan Lewis - White Walls,88,164k,+114%
15,Miley Cyrus - Wrecking Ball,105,174k,+203%
16,Bastille - Pompeii,105,133k,+99%
17,The Neighbourhood - Sweater Weather,105,164k,+151%
18,Mike Will Made-It - 23,102,171k,+212%
19,Katy Perry - Unconditionally,69,161k,+189%
20,Imagine Dragons - Radioactive,105,145k,+315%
21,DJ Snake & Lil Jon - Turn Down For What,10,142k,+425%
22,Beyoncé - Drunk in Love,10,123k,+113%
23,Demi Lovato - Let It Go,35,110k,+201%
24,Lady Gaga - Applause,105,120k,+188%
25,Lady Gaga - Do What U Want,70,113k,+47%
26,Luke Bryan - That's My Kind of Night,105,122k,+294%
27,Zendaya - Replay,99,110k,+193%
28,Luke Bryan - Drink a Beer,54,105k,+101%
29,"Drake - Hold On, We're Going Home",105,110k,+160%
30,"Kristen Bell, Agatha Lee Monn & Katie Lopez - Do Y...",31,71k,+164%
31,Jason Derulo - Marry Me,95,113k,+150%
32,YG - My Nigga,95,109k,+153%
33,Florida Georgia Line - Stay,80,97k,+141%
34,JAY Z - Holy Grail,105,102k,+230%
35,Zedd - Stay the Night,105,87k,+117%
36,Miley Cyrus - Adore You,29,65k,+329%
37,Sara Bareilles - Brave,105,83k,+117%
38,AWOLNATION - Sail,105,84k,+202%
39,Sage the Gemini - Gas Pedal,104,95k,+164%
40,Eminem - Rap God,76,117k,+255%
41,Florida Georgia Line - Cruise,104,80k,+217%
42,Eminem - Berzerk,105,97k,+348%
43,Robin Thicke - Blurred Lines,105,71k,+151%
44,David Nail - Whatever She's Got,98,74k,+107%
45,Paramore - Still Into You,101,76k,+221%
46,Ylvis - The Fox,104,81k,+175%
47,Cassadee Pope - Wasting All These Tears,105,74k,+167%
48,Kristen Bell & Idina Menzel - For the First Time i...,24,55k,+212%
49,Macklemore & Ryan Lewis - Can't Hold Us,82,71k,+266%
50,American Authors - Best Day of My Life,48,60k,+49%
51,Kid Ink - Show Me,56,67k,+83%
52,One Direction - Best Song Ever,57,76k,+384%
53,Miley Cyrus - We Can't Stop,96,69k,+270%
54,Martin Garrix - Animals,91,58k,+108%
55,Fall Out Boy - My Songs Know What You Did In the D...,95,58k,+159%
56,Parmalee - Carolina,96,63k,+129%
57,Cole Swindell - Chillin' It,101,59k,+120%
58,Selena Gomez - Slow Down,105,61k,+223%
59,B.o.B - HeadBand,88,62k,+147%
60,Jason Aldean - When She Says Baby,34,54k,+87%
61,Drake - All Me,97,77k,+228%
62,Justin Bieber - All That Matters,33,68k,+309%
63,Capital Cities - Safe and Sound,100,52k,+171%
64,Justin Timberlake - Mirrors,53,57k,+252%
65,John Newman - Love Me Again,44,49k,+112%
66,Avicii - Hey Brother,36,45k,+63%
67,Brantley Gilbert - Bottoms Up,13,54k,-22%
68,Bruno Mars - Treasure,66,49k,+236%
69,Macklemore & Ryan Lewis - Thrift Shop,40,50k,+259%
70,Lea Michele - Battlefield,2,23k,
71,Fall Out Boy - Alone Together,32,55k,+155%
72,Thomas Rhett - It Goes Like This,96,49k,+199%
73,Eminem - Survival,67,56k,+248%
74,2 Chainz & Wiz Khalifa - We Own It,11,40k,+123%
75,Josh Gad - In Summer,4,38k,+236%
76,Blake Shelton - Boys 'Round Here,28,46k,+287%
77,Darius Rucker - Wagon Wheel,50,40k,+170%
78,Daft Punk - Get Lucky,53,39k,+153%
79,Beyoncé - Mine,10,51k,+88%
80,Lady Antebellum - Compass,56,38k,+100%
81,Keith Urban & Miranda Lambert - We Were Us,105,40k,+120%
82,John Legend - All of Me,82,37k,+34%
83,Enrique Iglesias - Heart Attack,41,47k,+113%
84,P!nk - Just Give Me a Reason,51,34k,+131%
85,Luke Bryan - Crash My Party,34,42k,+276%
86,Daughtry - Waiting For Superman,44,34k,+116%
87,Florida Georgia Line - This Is How We Roll,35,38k,+78%
88,Bruno Mars - When I Was Your Man,13,36k,+195%
89,Eli Young Band - Drunk Last Night,102,36k,+81%
90,Justin Timberlake - TKO,87,48k,+220%
91,Scotty McCreery - See You Tonight,16,38k,+133%
92,Blake Shelton - Mine Would Be You,88,36k,+133%
93,Macklemore & Ryan Lewis - Same Love,41,39k,+228%
94,Zac Brown Band - Sweet Annie,57,34k,+76%
