,name,Top 100,end,change
0,Adele - Hello,28,378k,-25%
1,Justin Bieber - Sorry,28,176k,+2%
2,Justin Bieber - Love Yourself,7,143k,
3,Jordan Smith - Great Is Thy Faithfulness,4,138k,
4,Shawn Mendes & Camila Cabello - I Know What You Di...,2,38k,
5,Drake - Hotline Bling,112,82k,-19%
6,Justin Bieber - What Do You Mean,84,73k,-3%
7,Meghan Trainor - Like I'm Gonna Lose You,183,64k,-9%
8,Thomas Rhett - Die a Happy Man,63,58k,+0%
9,Elle King - Ex's & Oh's,171,63k,-9%
10,Alessia Cara - Here,113,55k,+19%
11,Shawn Mendes - Stitches,192,54k,-15%
12,Selena Gomez - Same Old Love,71,46k,-6%
13,One Direction - Perfect,35,43k,-1%
14,The Weeknd - The Hills,177,46k,-19%
15,Missy Elliott - WTF,8,69k,+411%
16,Chris Stapleton - Tennessee Whiskey,16,50k,-63%
17,Fetty Wap - 679,144,41k,-6%
18,Chris Young - I'm Comin' Over,192,37k,+102%
19,Taylor Swift - Wildest Dreams,165,42k,-18%
20,Ellie Goulding - On My Mind,63,35k,-35%
21,Sam Hunt - Break Up In a Small Town,114,32k,-8%
22,One Direction - Drag Me Down,112,31k,-10%
23,Coldplay - Adventure of a Lifetime,14,28k,-43%
24,Drake & Future - Jumpman,60,28k,+2%
25,Rudimental - Lay It All On Me,56,23k,+17%
26,Cam - Burning House,141,23k,-16%
27,Demi Lovato - Confident,57,28k,-5%
28,Post Malone - White Iverson,78,26k,+4%
29,James Bay - Let It Go,25,23k,+74%
30,Justin Bieber - I'll Show You,19,36k,-42%
31,Ariana Grande - Focus,22,29k,-9%
32,Justin Bieber - The Feeling,7,33k,
33,Daya - Hide Away,84,22k,+1%
34,Macklemore & Ryan Lewis - Downtown,85,29k,-27%
35,Travis Scott - Antidote,81,21k,+2%
36,Justin Bieber - Purpose,7,30k,
37,Flo Rida - My House,27,19k,+26%
38,Amy Vachal - Hotline Bling,4,29k,
39,The Weeknd - Can't Feel My Face,165,23k,-22%
40,Justin Timberlake - Drink You Away,21,31k,-65%
41,The Chainsmokers - Roses,50,20k,-3%
42,X Ambassadors - Renegades,229,21k,-7%
43,R. City - Locked Away,127,21k,-25%
44,iLoveMemphis fka iHeartMemphis - Hit the Quan,36,21k,-12%
45,Silento - Watch Me,222,21k,-10%
46,twenty one pilots - Stressed Out,87,16k,+9%
47,Luke Bryan - Strip It Down,126,19k,-33%
48,Future - Where Ya At,96,15k,+1%
49,Selena Gomez - Good For You,151,16k,-7%
50,G-Eazy - Order More,7,18k,
51,Major Lazer - Lean On,219,17k,-26%
52,Rachel Platten - Fight Song,233,18k,-1%
53,Empire Cast - Ready to Go,1,5k,
54,Nelly - The Fix,89,14k,-5%
55,"G-Eazy & Bebe Rexha - Me, Myself & I",21,15k,+14%
56,Sam Hunt - House Party,183,15k,-24%
57,Zac Brown Band - Beautiful Drug,18,14k,-15%
58,Jana Kramer - I Got the Boy,42,12k,+4%
59,Jordan Smith - Halo,9,24k,-55%
60,Ed Sheeran - Photograph,191,14k,-15%
61,Sam Smith - Writing's On the Wall,28,20k,-35%
62,Fetty Wap - Again,105,15k,+0%
