,name,Top 100,end,change
0,Mark Ronson - Uptown Funk,133,188k,-1%
1,Maroon 5 - Sugar,69,156k,-12%
2,Ed Sheeran - Thinking Out Loud,175,125k,-8%
3,Ellie Goulding - Love Me Like You Do,74,132k,-13%
4,Rihanna and Kanye West and Paul McCartney - FourFi...,57,115k,-8%
5,WALK THE MOON - Shut Up and Dance,103,80k,+22%
6,Flo Rida - GDFR,145,99k,+8%
7,The Weeknd - Earned It,84,100k,+2%
8,Fetty Wap - Trap Queen,60,76k,+14%
9,Taylor Swift - Style,147,76k,-7%
10,Nick Jonas - Chains,60,68k,-1%
11,Pitbull & Ne-Yo - Time of Our Lives,111,61k,-7%
12,Natalie La Rose - Somebody,56,64k,+13%
13,Sam Smith - Lay Me Down,50,80k,-43%
14,Sam Hunt - Take Your Time,122,58k,+4%
15,Hozier - Take Me to Church,235,54k,-13%
16,Nicki Minaj - Truffle Butter,60,57k,-4%
17,Jason Derulo - Want to Want Me,13,49k,-4%
18,"Andy Grammer - Honey, I'm Good.",61,51k,+35%
19,Ariana Grande - One Last Time,37,43k,+2%
20,Tove Lo - Talking Body,46,44k,+22%
21,Taylor Swift - Blank Space,147,42k,-11%
22,Meghan Trainor - Lips Are Movin,153,43k,+4%
23,Zac Brown Band - Homegrown,70,41k,-15%
24,Fall Out Boy - Centuries,199,38k,-14%
25,Usher - I Don't Mind,121,41k,-11%
26,Kelly Clarkson - Heartbeat Song,70,37k,-18%
27,Zedd - I Want You to Know,28,38k,-9%
28,Taylor Swift - Shake It Off,217,34k,-3%
29,Calvin Harris - Outside,84,34k,+3%
30,Maroon 5 - Animals,211,28k,+18%
31,Sheppard - Geronimo,101,34k,-12%
32,Wiz Khalifa - See You Again,13,32k,+26%
33,Meghan Trainor - All About That Bass,259,31k,+1%
34,Vance Joy - Riptide,281,29k,-4%
35,James Bay - Let It Go,6,26k,
36,Cole Swindell - Ain't Worth the Whiskey,79,27k,+6%
37,Ne-Yo - She Knows,90,30k,-27%
38,LunchMoney Lewis - Bills,12,26k,+32%
39,Sia - Elastic Heart,88,21k,+0%
40,Drake - Know Yourself,33,26k,+28%
41,Ella Henderson - Ghost,148,26k,-16%
42,One Direction - Night Changes,129,24k,+5%
43,Fall Out Boy - Immortals,51,24k,-15%
44,Big Sean - Blessings,51,25k,-1%
45,Meghan Trainor - Dear Future Husband,148,24k,+164%
46,Omarion - Post To Be,40,23k,+20%
47,OneRepublic - I Lived,130,19k,+18%
48,Fifth Harmony - Worth It,30,22k,+26%
49,Little Big Town - Girl Crush,66,24k,+7%
50,Imagine Dragons - I Bet My Life,147,21k,-4%
51,Nick Jonas - Jealous,196,23k,-9%
52,Drake - Energy,38,26k,-8%
53,George Ezra - Budapest,40,22k,+10%
54,David Guetta - Hey Mama,6,19k,+130%
55,Miranda Lambert - Little Red Wagon,41,22k,-7%
56,Rae Sremmurd - Throw Sum Mo,80,25k,+8%
57,Empire Cast - You're So Beautiful,26,28k,-33%
58,A Thousand Horses - Smoke,30,21k,+15%
59,Sam Smith - I'm Not the Only One,198,22k,-19%
60,Tori Kelly - Nobody Love,26,20k,+15%
61,Kanye West - All Day,20,26k,-23%
62,Chris Brown & Tyga - Ayo,76,22k,-6%
63,Empire Cast - Nothing To Lose,4,20k,
64,Nicki Minaj - Only,145,22k,-12%
65,Mumford & Sons - Believe,14,32k,-68%
66,Eric Church - Like a Wrecking Ball,19,21k,+13%
67,Chris Janson - Buy Me a Boat,3,29k,
68,Kacey Musgraves - Biscuits,6,24k,
69,Glee Cast - I Lived,2,10k,
70,James Newton Howard - The Hanging Tree,119,20k,-37%
71,Lee Brice - Drinking Class,168,18k,-1%
72,Florida Georgia Line - Sippin' On Fire,17,17k,+62%
73,Sia - Chandelier,317,15k,-2%
74,Empire Cast - Conqueror,20,23k,-39%
75,Sam Smith - Stay With Me,360,19k,-18%
76,Big Sean - I Don't Fuck With You,183,19k,-5%
77,Chris Young - Lonely Eyes,80,18k,+5%
78,Robin Schulz & LILLYWOOD - Prayer in C,91,19k,-13%
79,Trey Songz - Slow Motion,30,17k,-0%
80,Pharrell Williams - Happy,414,16k,-9%
81,Jason Aldean - Just Gettin' Started,120,17k,-3%
82,Echosmith - Bright,9,16k,+11%
83,Jessie J - Masterpiece,31,20k,-38%
