,name,Top 100,end,change
0,Ariana Grande - Problem,12,401k,
1,Iggy Azalea - Fancy,55,230k,+79%
2,Coldplay - A Sky Full of Stars,4,143k,
3,Pharrell Williams - Happy,125,176k,-15%
4,John Legend - All of Me,208,161k,-14%
5,DJ Snake & Lil Jon - Turn Down For What,136,128k,-1%
6,Rixton - Me and My Broken Heart,40,110k,+92%
7,Jason Derulo - Talk Dirty,126,99k,-33%
8,Ed Sheeran - Sing,28,87k,+5%
9,Idina Menzel - Let It Go,159,98k,-27%
10,Luke Bryan - Play It Again,61,91k,-9%
11,Justin Timberlake - Not a Bad Thing,69,90k,+4%
12,Nico & Vinz - Am I Wrong,21,80k,+42%
13,Paramore - Ain't It Fun,69,86k,+16%
14,Katy Perry - Dark Horse,230,79k,-20%
15,Calvin Harris - Summer,48,66k,+20%
16,Pitbull - Wild Wild Love,69,63k,+4%
17,MKTO - Classic,86,65k,-10%
18,Bastille - Pompeii,231,59k,-4%
19,Coldplay - Magic,63,44k,+19%
20,Brantley Gilbert - Bottoms Up,139,63k,+7%
21,Florida Georgia Line - This Is How We Roll,146,63k,-15%
22,Naughty Boy - La La La,65,65k,-6%
23,Michael Jackson & Justin Timberlake - Love Never F...,3,58k,
24,Christina Perri - Human,118,58k,-6%
25,Austin Mahone - Mmm Yeah,80,53k,+9%
26,American Authors - Best Day of My Life,173,59k,+4%
27,Jason Derulo - Wiggle,7,38k,+212%
28,5 Seconds of Summer - She Looks So Perfect,34,49k,+0%
29,Aloe Blacc - The Man,145,52k,-31%
30,Disclosure - Latch,58,50k,+3%
31,Coldplay - Midnight,15,46k,-49%
32,Shakira - Empire,46,43k,+11%
33,Jake Owen - Beachin',62,44k,+0%
34,Chris Brown - Loyal,99,48k,+3%
35,MAGIC! - Rude,9,35k,+110%
36,Avicii - Hey Brother,162,42k,-26%
37,Martin Garrix - Animals,217,40k,-21%
38,Pitbull - Timber,209,35k,-11%
39,Katy Perry - Birthday,13,34k,+53%
40,Lee Brice - I Don't Dance,42,39k,+16%
41,OneRepublic - Counting Stars,231,37k,-16%
42,"Kristen Bell, Agatha Lee Monn & Katie Lopez - Do Y...",157,39k,-19%
43,Brantley Gilbert - My Baby's Guns n' Roses,6,55k,
44,Kongos - Come With Me Now,40,33k,+24%
45,Eric Church - Give Me Back My Hometown,116,34k,-13%
46,Sam Smith - Stay With Me,38,40k,-22%
47,Rascal Flatts - Rewind,109,33k,+11%
48,Neon Trees - Sleeping With a Friend,58,34k,-14%
49,Keith Urban - Cop Car,99,32k,-15%
50,Jerrod Niemann - Drink to That All Night,126,32k,-16%
51,Thomas Rhett - Get Me Some of That,126,31k,-5%
52,Trey Songz - Na Na,88,32k,-11%
53,Lorde - Team,230,28k,-21%
54,The Chainsmokers - #Selfie,75,29k,-32%
55,DJ Khaled - All I Do Is Win,6,39k,
56,Kristen Bell & Idina Menzel - For the First Time i...,143,25k,-23%
57,Demi Lovato - Neon Lights,114,25k,-25%
58,A Great Big World - Say Something,181,31k,+9%
59,Beyoncé - Drunk in Love,136,27k,-22%
60,Imagine Dragons - On Top of the World,87,26k,-8%
61,Miranda Lambert - Automatic,61,28k,-10%
62,Katy Tiz - The Big Bang,6,27k,+119%
63,Passenger - Let Her Go,231,28k,+1%
64,Beyoncé - Partition,89,32k,-5%
65,Young Money - Trophies,67,28k,-6%
66,Cher Lloyd - M.F.P.O.T.Y.,1,4k,
67,Imagine Dragons - Demons,231,23k,-9%
68,One Direction - Story Of My Life,190,24k,-5%
69,Kid Ink - Show Me,182,22k,-30%
70,Chris Young - Who I Am With You,22,24k,+17%
71,Ingrid Michaelson - Girls Chase Boys,29,23k,-4%
72,Eminem - The Monster,184,20k,-18%
73,Joe Nichols - Yeah,17,22k,+7%
74,Lana Del Rey - Young and Beautiful,79,22k,-2%
75,YG - Who Do You Love,64,23k,-4%
76,Tiësto - Red Lights,35,23k,-5%
77,Iggy Azalea - Work,7,22k,+103%
78,B.o.B - John Doe,45,26k,-27%
79,Michael Jackson - Love Never Felt So Good,3,15k,
80,Avicii - Wake Me Up,229,21k,-0%
81,Tyler Farr - Whiskey in My Water,42,22k,-8%
82,Hunter Hayes - Invisible,67,22k,-5%
83,Tove Lo - Stay High,56,22k,-8%
84,Blake Shelton - My Eyes,13,21k,+21%
85,Dan + Shay - 19 You + Me,123,22k,-27%
86,Dustin Lynch - Where It's At,20,23k,-2%
87,Katy Perry - Roar,230,20k,-7%
88,Florida Georgia Line - Cruise,217,19k,-6%
89,OneRepublic - Love Runs Out,20,21k,-7%
90,Fitz & The Tantrums - The Walker,48,20k,-2%
91,Imagine Dragons - Radioactive,226,19k,-8%
92,Brett Eldredge - Beat of the Music,58,21k,-21%
93,Lorde - Royals,229,19k,-8%
94,Brad Paisley - River Bank,12,19k,+6%
95,Billy Currington - We Are Tonight,5,19k,+4%
96,DJ Khaled - They Dont Love You No More,1,6k,
97,Christina Grimmie - Hold ...,7,60k,
98,Dierks Bentley - Drunk On a Plane,2,15k,+127%
99,Luke Bryan - That's My Kind of Night,187,18k,+1%
100,Kristen Bell & Santino Fontana - Love Is an Open D...,72,19k,-31%
101,Blake Shelton - Doin' What She Likes,100,17k,-8%
102,Future - Move That Dope,25,19k,-19%
103,Young Thug - Stoner,72,18k,-16%
104,Eric Paslay - Song About a Girl,,16k,+58%
105,Arctic Monkeys - Do I Wanna Know,84,18k,-1%
106,Ellie Goulding - Burn,210,17k,-11%
107,Lindsey Stirling - Shatter Me,8,19k,-13%
108,Justin Moore - Lettin' the Night Roll,21,17k,-6%
109,Jamie Lynn Spears - How Could I Want More,10,17k,+193%
110,Phillip Phillips - Raging Fire,19,18k,-20%
111,Sara Bareilles - I Choose You,,17k,+12%
112,Hillsong United - Oceans,33,16k,+0%
113,AWOLNATION - Sail,190,17k,+9%
114,Ty Dolla $ign - Or Nah,,17k,+0%
115,George Strait - I Got a Car,7,16k,-0%
116,Luke Bryan - Drink a Beer,163,17k,-7%
117,Schoolboy Q - Man of the Year,71,17k,-10%
118,Pharrell Williams - Come Get It Bae,1,15k,+48%
119,Sara Bareilles - Brave,207,16k,-5%
120,Ariana Grande - The Way,22,15k,+200%
121,Eminem - Headlights,54,16k,-26%
122,Wiz Khalifa - We Dem Boyz,9,16k,+1%
123,"Phillip Phillips - Gone, Gone, Gone",45,10k,+27%
124,Shakira - Can't Remember To Forget You,92,15k,-18%
125,K CAMP - Cut Her Off,,16k,+12%
126,Tech N9ne - Fragile,,15k,+2%
127,Alicia Keys - It's On Again,,5k,+22%
128,Jhene Aiko - The Worst,8,16k,-4%
129,Migos - Fight Night,3,16k,+264%
130,Enrique Iglesias - Bailando,,14k,+50%
131,Cole Swindell - Hope You Get Lonely Tonight,16,15k,-0%
132,Craig Morgan - Wake Up Lovin' You,,15k,+3%
133,One Direction - You & I,6,13k,+0%
134,Josh Gad - In Summer,65,14k,-10%
135,Chase Rice - Ready Set Roll,30,15k,-15%
136,Sara Evans - Slow Me Down,10,15k,-6%
137,Demi Lovato - Let It Go,152,15k,-25%
138,"Drake - Hold On, We're Going Home",161,16k,+43%
139,Robin Thicke - Blurred Lines,183,14k,+0%
140,Jason Aldean - When She Says Baby,139,15k,-7%
141,Fall Out Boy - My Songs Know What You Did In the D...,145,14k,-3%
142,Jennifer Lopez - First Love,2,9k,
143,Eli Young Band - Dust,,14k,+3%
144,Christina Perri - A Thousand Years,6,14k,+2%
145,David Nail - Whatever She's Got,191,14k,-8%
146,The Cadillac Three - The South,1,14k,+3%
147,Daft Punk - Get Lucky,119,13k,+4%
148,Craig Campbell - Keep Them Kisses Comin',,14k,+2%
149,Newsboys - God's Not Dead,15,12k,-24%
150,Darius Rucker - Wagon Wheel,65,13k,-7%
